年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
29,2017,0,13000,,総数,Tokyo-to,4261,2857,218,-,4,1182,214,219,2074,22096,51,83,762,5078191
30,2018,0,13000,,総数,Tokyo-to,4025,2725,227,3,4,1066,180,170,1875,20297,442,88,808,6116531
30,2018,1,13100,,区部,All ku　,2913,2049,161,3,-,700,120,131,1360,11024,-,63,515,2344853
30,2018,2,13101,1,千代田区,Chiyoda-ku ,136,106,7,-,-,23,9,-,11,99,-,-,12,17562
30,2018,2,13102,2,中央区,Chuo-ku,115,88,4,2,-,21,1,-,18,48,-,1,11,119495
30,2018,2,13103,3,港区,Minato-ku,194,150,13,-,-,31,3,2,57,158,-,-,26,102305
30,2018,2,13104,4,新宿区,Shinjuku-ku,179,132,4,-,-,43,1,2,69,130,-,2,26,81980
30,2018,2,13105,5,文京区,Bunkyo-ku,48,35,3,-,-,10,3,-,18,138,-,1,11,85539
30,2018,2,13106,6,台東区,Taito-ku,96,66,5,-,-,25,2,1,46,93,-,3,14,24299
30,2018,2,13107,7,墨田区,Sumida-ku,80,59,6,-,-,15,4,5,35,242,-,2,21,52847
30,2018,2,13108,8,江東区,Koto-ku,152,109,12,-,-,31,5,12,82,410,-,3,15,103751
30,2018,2,13109,9,品川区,Shinagawa-ku ,130,86,8,1,-,35,5,6,52,372,-,3,28,86853
30,2018,2,13110,10,目黒区,Meguro-ku,70,54,4,-,-,12,2,1,39,251,-,1,8,42786
30,2018,2,13111,11,大田区,Ota-ku,196,142,11,-,-,43,16,21,119,1576,-,5,35,265482
30,2018,2,13112,12,世田谷区,Setagaya-ku,188,123,12,-,-,53,10,13,106,609,-,7,41,170360
30,2018,2,13113,13,渋谷区,Shibuya-ku,129,84,7,-,-,38,-,-,25,224,-,-,11,22528
30,2018,2,13114,14,中野区,Nakano-ku,86,53,3,-,-,30,5,4,48,182,-,1,14,25975
30,2018,2,13115,15,杉並区,Suginami-ku,98,80,3,-,-,15,12,4,71,566,-,4,22,276476
30,2018,2,13116,16,豊島区,Toshima-ku,112,84,3,-,-,25,2,2,39,110,-,-,24,47374
30,2018,2,13117,17,北区,Kita-ku,99,72,4,-,-,23,1,1,52,548,-,3,18,104235
30,2018,2,13118,18,荒川区,Arakawa-ku,59,42,2,-,-,15,10,12,41,228,-,3,9,97415
30,2018,2,13119,19,板橋区,Itabashi-ku,131,91,7,-,-,33,10,3,81,804,-,4,42,177862
30,2018,2,13120,20,練馬区,Nerima-ku,126,85,11,-,-,30,3,6,98,230,-,7,19,43269
30,2018,2,13121,21,足立区,Adachi-ku,187,115,12,-,-,60,8,20,97,1040,-,6,39,163013
30,2018,2,13122,22,葛飾区,Katsushika-ku,129,83,5,-,-,41,7,6,76,1723,-,3,29,130799
30,2018,2,13123,23,江戸川区,Edogawa-ku ,173,110,15,-,-,48,1,10,80,1243,-,4,40,102648
30,2018,1,13200,,市部,All shi ,1063,650,63,-,1,349,54,39,501,7437,11,23,282,3716340
30,2018,2,13201,1,八王子市,Hachioji-shi,148,84,15,-,1,48,10,8,61,852,11,1,28,325193
30,2018,2,13202,2,立川市,Tachikawa-shi,66,53,2,-,-,11,9,1,49,644,-,-,22,139206
30,2018,2,13203,3,武蔵野市,Musashino-shi,30,23,1,-,-,6,1,-,32,306,-,2,15,60616
30,2018,2,13204,4,三鷹市,Mitaka-shi,50,34,4,-,-,12,5,2,26,368,-,2,14,48696
30,2018,2,13205,5,青梅市,Ome-shi,31,16,1,-,-,14,-,-,13,8,-,-,6,4830
30,2018,2,13206,6,府中市,Fuchu-shi,65,39,6,-,-,20,6,2,30,977,-,-,16,75590
30,2018,2,13207,7,昭島市,Akishima-shi,40,26,-,-,-,14,3,1,27,308,-,2,12,57155
30,2018,2,13208,8,調布市,Chofu-shi,49,37,3,-,-,9,1,-,24,244,-,3,10,31605
30,2018,2,13209,9,町田市,Machida-shi,108,52,7,-,-,49,1,5,34,337,-,-,17,136706
30,2018,2,13210,10,小金井市,Koganei-shi,28,20,2,-,-,6,3,1,16,135,-,-,4,30300
30,2018,2,13211,11,小平市,Kodaira-shi,32,19,4,-,-,9,1,4,11,101,-,-,2,43621
30,2018,2,13212,12,日野市,Hino-shi ,49,24,2,-,-,23,2,2,19,192,-,3,6,25358
