年度(平成),Fiscal year,組織,Form of organization,業種,Contractor classification,資本金階層別 ,By size of capital,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
25,2013,総数,Total,,,,,22412,19989660,15406621,1725819,11533349,2147453,4583040,2547723,1320464,714854,7617115,1908827,4828895,879393
26,2014,総数,Total,,,,,20406,20522428,15584408,2070528,11820537,1693344,4938020,2628885,1499727,809407,7686176,2090000,4752476,843700
27,2015,総数,Total,,,,,20645,21437350,16405046,1968115,12417850,2019081,5032304,2766000,1580200,686105,7937073,2004828,5076453,855792
28,2016,総数,Total,,,,,19509,21645108,16631260,2037028,12306367,2287863,5013848,2815448,1522425,675975,7943345,1973324,4965187,1004834
29,2017,総数,Total,,,,,19125,22241032,17078547,2110811,12947932,2019805,5162485,3040106,1455338,667041,7958430,1928315,5106498,923617
29,2017,許可業者,Licensed contractors,総数,Total,,,19125,22241032,17078547,2110811,12947932,2019805,5162485,3040106,1455338,667041,7958430,1928315,5106498,923617
29,2017,許可業者,Licensed contractors,大臣許可,Licensed by minister,,,1716,20042740,15369274,1900358,11749200,1719716,4673466,2809517,1238458,625491,5654054,1468451,3500029,685574
29,2017,許可業者,Licensed contractors,知事許可,Licensed by governor,,,17409,2198292,1709273,210453,1198732,300089,489019,230589,216880,41550,2304376,459864,1606469,238043
29,2017,総合工事業,General construction work,総数,Total,,,5820,15763129,11769381,1266133,10304484,198764,3993748,2908480,975722,109546,2323272,1401939,859403,61930
29,2017,総合工事業,General construction work,一般土木建築工事業,General civil engineering work and building work,,,81,8933038,6140169,822098,5317757,314,2792869,2042750,749844,275,261847,104778,156318,751
