年次(平成),Year,月次 ,Month,交換高 Clearings／枚数 (千枚) Number (thousand),交換高 Clearings／金額 (億円) Value (hundred million yen),交換高 Clearings／差額 (億円) Balance (hundred million yen),手形1枚の平均金額 (千円) Average value of a bill (thousand yen),交換日数 Transaction days,1日平均交換高 Daily average clearings／枚数 (千枚) Number (thousand),1日平均交換高 Daily average clearings／金額 (億円) Value (hundred  million yen)
26,2014,総数,Total,22034,2384046,943598,10820,244,90,9770
27,2015,総数,Total,20591,2097815,854645,10188,244,84,8597
28,2016,総数,Total,19001,1625781,675633,8556,245,77,6635
29,2017,総数,Total,17668,1362734,570459,7713,247,71,5517
30,2018,総数,Total,16329,1245978,549844,7630,245,66,5085
30,2018,1,Jan.,1453,91077,29886,6268,19,76,4793
30,2018,2,Feb.,1310,107416,50295,8200,19,68,5653
30,2018,3,Mar.,1219,117675,51487,9653,21,58,5603
30,2018,4,Apr.,1336,103834,51808,7772,20,66,5191
30,2018,5,May,1597,119538,40727,7485,21,76,5692
30,2018,6,June,1229,117646,59059,9572,21,58,5602
30,2018,7,July,1670,101916,43497,6103,21,79,4853
30,2018,8,Aug.,1342,96436,45882,7186,23,58,4192
30,2018,9,Sept.,1069,94425,46071,8833,18,59,5245
30,2018,10,Oct.,1512,90792,33907,6005,22,68,4126
30,2018,11,Nov.,1308,99063,47974,7574,21,62,4717
30,2018,12,Dec.,1280,106155,49246,8293,19,67,5587
,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,,,,
15-8  東京手形交換所扱い手形交換高 (平成26～30年) 15-8  AMOUNT OF BILLS CLEARED AT THE TOKYO CLEARING HOUSE ( 2014-2018 ),,,,,,,,,,
資料：（一社）全国銀行協会 「決済統計年報」 Source: Japanese Bankers Associations,,,,,,,,,,
