項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13～29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,総数,Total,,171042,51462,41382,19419,15018,12336,9443,7647,4255,2973,6765,342,70693,62658,6425,1088,522
,区部,All ku,区部,All ku,,145319,42216,32917,16977,13381,11086,8755,6977,3760,2744,6174,332,60390,53062,5805,1022,501
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,198,17,13,6,4,10,21,15,12,4,70,26,242,65,55,38,84
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1990,197,308,297,255,261,254,174,53,44,136,11,1286,926,267,56,37
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4752,494,863,734,626,664,610,360,96,115,185,5,2316,1969,295,42,10
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3585,273,475,428,445,522,536,394,143,158,206,5,2193,1652,429,71,41
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3769,304,548,523,497,489,497,391,176,150,189,5,1857,1539,222,66,30
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,637,108,92,59,57,101,38,39,17,33,64,29,210,160,35,7,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,4020,474,634,488,455,499,541,323,154,123,285,44,2138,1723,296,79,40
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2462,568,499,312,279,239,189,109,70,55,134,8,1759,1501,209,32,17
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1993,416,385,261,207,204,192,134,58,33,91,12,1676,1363,240,56,17
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1333,322,263,134,121,118,86,76,43,37,109,24,820,670,108,31,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,2065,435,419,241,196,200,211,175,81,29,78,-,1274,1078,163,31,2
12,新宿区,Shinjuku-ku,牛込署,Ushigome F. Sta.,,2553,660,668,315,237,168,131,126,63,59,121,5,1305,1149,132,17,7
13,新宿区,Shinjuku-ku,新宿署,Shinjuku F. Sta.,,5155,1527,1148,558,409,370,346,290,135,103,232,37,2945,2396,423,77,49
14,文京区,Bunkyo-ku,小石川署,Koishikawa F. Sta.,,2592,706,577,295,218,167,167,134,114,68,144,2,1198,1040,130,18,10
15,文京区,Bunkyo-ku,本郷署,Hongo F. Sta.,,2649,541,526,318,246,252,193,182,100,82,209,-,1316,1157,130,20,9
16,台東区,Taito-ku,上野署,Ueno F. Sta.,,3405,590,690,476,391,349,285,224,118,93,186,3,1356,1213,120,9,14
17,台東区,Taito-ku,浅草署,Asakusa F. Sta.,,3108,602,702,414,290,265,265,207,123,73,167,-,882,832,39,10,1
18,台東区,Taito-ku,日本堤署,Nihonzutsumi F. Sta.,,1823,544,399,225,146,134,112,100,55,36,71,1,359,339,13,6,1
19,墨田区,Sumida-ku,本所署,Honjo F. Sta.,,4948,1195,1078,624,727,353,328,244,141,108,146,4,717,664,39,10,4
20,墨田区,Sumida-ku,向島署,Mukojima F. Sta.,,1108,378,222,94,95,55,83,51,29,31,67,3,181,157,21,2,1
21,江東区,Koto-ku,深川署,Fukagawa F. Sta.,,4250,989,980,553,433,340,212,204,144,105,255,35,743,645,72,18,8
22,江東区,Koto-ku,城東署,Joto F. Sta.,,2579,642,570,249,191,226,149,141,127,59,223,2,458,426,28,2,2
23,品川区,Shinagawa-ku,品川署,Shinagawa F. Sta.,,2506,596,482,250,222,226,181,154,113,76,192,14,1335,1130,177,19,9
24,品川区,Shinagawa-ku,大井署,Oi F. Sta.,,1610,423,355,195,140,130,89,65,43,40,129,1,499,457,32,5,5
25,品川区,Shinagawa-ku,荏原署,Ebara F. Sta.,,2004,859,515,164,135,71,49,53,47,32,79,-,770,731,34,4,1
26,目黒区,Meguro-ku,目黒署,Meguro F. Sta.,,3812,1456,971,426,333,182,125,127,63,48,76,5,2206,2027,153,23,3
27,大田区,Ota-ku,大森署,Omori F. Sta.,,2891,1095,664,346,236,177,103,96,71,29,74,-,996,903,84,7,2
28,大田区,Ota-ku,田園調布署,Denenchofu F. Sta.,,1783,771,448,214,151,83,41,29,18,9,18,1,821,775,40,6,-
29,大田区,Ota-ku,蒲田署,Kamata F. Sta.,,2292,819,568,250,149,144,93,82,51,41,95,-,508,472,30,5,1
30,大田区,Ota-ku,矢口署,Yaguchi F. Sta.,,1767,692,400,242,146,94,61,41,25,11,54,1,414,385,25,2,2
31,世田谷区,Setagaya-ku,世田谷署,Setagaya F. Sta.,,4210,1857,1138,398,252,180,106,120,37,37,83,2,2308,2192,106,8,2
32,世田谷区,Setagaya-ku,玉川署,Tamagawa F. Sta.,,2284,978,700,241,168,81,46,26,15,9,18,2,1466,1386,67,11,2
33,世田谷区,Setagaya-ku,成城署,Seijo F. Sta.,,1773,786,549,164,111,59,39,37,7,6,15,-,843,795,42,6,-
34,渋谷区,Shibuya-ku,渋谷署,Shibuya F. Sta.,,7345,1938,1587,913,750,684,534,375,153,116,286,9,5180,4394,663,89,34
35,中野区,Nakano-ku,中野署,Nakano F. Sta.,,2833,1108,719,258,215,165,109,98,63,41,54,3,1271,1174,84,10,3
36,中野区,Nakano-ku,野方署,Nogata F. Sta.,,1577,770,345,174,115,83,39,19,15,6,10,1,752,725,23,2,2
37,杉並区,Suginami-ku,杉並署,Suginami F. Sta.,,3196,1341,815,365,246,181,85,62,37,22,42,-,1538,1462,66,9,1
38,杉並区,Suginami-ku,荻窪署,Ogikubo F. Sta.,,2162,964,587,234,137,96,58,35,16,14,21,-,1090,1045,41,4,-
39,豊島区,Toshima-ku,豊島署,Toshima F. Sta.,,3534,694,766,478,374,358,275,213,111,87,170,8,1653,1471,152,26,4
40,豊島区,Toshima-ku,池袋署,Ikebukuro F. Sta.,,2481,938,531,277,184,178,128,112,38,30,61,4,1195,1061,99,27,8
41,北区,Kita-ku,王子署,Oji F. Sta.,,1497,527,387,138,98,104,44,68,36,31,64,-,531,497,31,3,-
42,北区,Kita-ku,赤羽署,Akabane F. Sta.,,1567,483,404,181,135,95,62,54,44,29,80,-,358,327,25,4,2
