年次（平成）,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
26,2014,,,総数, Total,1654096,-,26147,-,1236,494758,265393,61867,22096,56113,1053516,22326
27,2015,,,総数, Total,1729087,-,31090,795,904,506371,271690,62361,27211,50004,1120483,19440
28,2016,,,総数, Total,1850074,6,33010,-,1118,550469,312057,59026,28688,56218,1203149,6104
29,2017,,,総数, Total,1904071,-,35303,414,-,583284,328555,57181,32566,58653,1223903,2514
30,2018,,,総数, Total,1885575,273,36018,-,-,556174,313075,53407,29351,60409,1185580,47121
30,2018,1,Jan.,総数, Total,61482,-,2431,-,-,-,-,-,-,2898,48020,8133
30,2018,2,Feb.,総数, Total,77905,-,1639,-,-,29515,23766,2532,855,4049,42702,-
30,2018,3,Mar.,総数, Total,127043,-,4100,-,-,46987,35256,3976,2364,6166,69516,274
30,2018,4,Apr.,総数, Total,128191,-,3357,-,-,35831,21764,3700,2040,4569,81153,3281
30,2018,5,May,総数, Total,156379,-,3386,-,-,51308,27640,5292,3234,4340,93288,4057
30,2018,6,June,総数, Total,144769,273,1818,-,-,36341,22656,4387,1357,5326,93798,7213
30,2018,7,July,総数, Total,216862,-,1899,-,-,67201,31332,5366,3320,6964,140798,-
30,2018,8,Aug.,総数, Total,315279,-,5893,-,-,112065,45803,8488,7620,8419,187200,1702
30,2018,9,Sept.,総数, Total,217280,-,2727,-,-,63997,30307,5568,3225,5496,141393,3667
30,2018,10,Oct.,総数, Total,159891,-,3201,-,-,41273,25032,4863,1894,5086,102738,7593
30,2018,11,Nov.,総数, Total,148353,-,2660,-,-,38972,25834,5253,1997,3289,92594,10838
30,2018,12,Dec.,総数, Total,132141,-,2907,-,-,32684,23685,3982,1445,3807,92380,363
26,2014,,,乗船者, Embarked,912188,-,13364,-,842,260499,132345,33842,14490,27673,599612,10198
27,2015,,,乗船者, Embarked,949578,-,15645,400,511,267228,135247,34528,17565,24607,632829,8358
28,2016,,,乗船者, Embarked,939144,-,17493,-,706,289810,155180,33047,18784,28319,601690,1126
29,2017,,,乗船者, Embarked,968339,-,18529,414,-,306658,162828,32064,21089,29260,612308,1170
30,2018,,,乗船者, Embarked,977282,-,18394,-,-,292399,155783,29706,19667,30004,614227,22258
30,2018,1,Jan.,乗船者, Embarked,29580,-,839,-,-,-,-,-,-,1119,24010,3612
30,2018,2,Feb.,乗船者, Embarked,39990,-,966,-,-,15700,11697,1538,657,1973,21351,-
30,2018,3,Mar.,乗船者, Embarked,64682,-,2203,-,-,24790,17348,2242,1517,2931,34758,-
30,2018,4,Apr.,乗船者, Embarked,66705,-,1933,-,-,19853,11158,2158,1531,2389,40658,1872
30,2018,5,May,乗船者, Embarked,77712,-,1596,-,-,26272,13779,2971,1950,1766,46644,1434
30,2018,6,June,乗船者, Embarked,74487,-,953,-,-,19515,11592,2523,983,3040,47037,3942
30,2018,7,July,乗船者, Embarked,131454,-,901,-,-,35870,15585,3094,2409,3458,91225,-
30,2018,8,Aug.,乗船者, Embarked,158769,-,2941,-,-,57461,22518,4602,4541,4253,93600,514
30,2018,9,Sept.,乗船者, Embarked,108240,-,1229,-,-,31569,14548,2788,2074,2881,70646,1915
30,2018,10,Oct.,乗船者, Embarked,82176,-,1678,-,-,22347,12911,2692,1410,2644,51574,3933
30,2018,11,Nov.,乗船者, Embarked,75253,-,1361,-,-,21020,12675,2882,1494,1539,46297,5036
30,2018,12,Dec.,乗船者, Embarked,68234,-,1794,-,-,18002,11972,2216,1101,2011,46427,-
26,2014,,,降船者, Left,741908,-,12783,-,394,234259,133048,28025,7606,28440,453904,12128
27,2015,,,降船者, Left,779509,-,15445,395,393,239143,136443,27833,9646,25397,487654,11082
28,2016,,,降船者, Left,910930,6,15517,-,412,260659,156877,25979,9904,27899,601459,4978
29,2017,,,降船者, Left,935732,-,16774,-,-,276626,165727,25117,11477,29393,611595,1344
30,2018,,,降船者, Left,908293,273,17624,-,-,263775,157292,23701,9684,30405,571353,24863
