品目,Item,区分,Classification,区分,Classification,区分,Classification,単位 ,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,　　　　　,,,26343063,,11656455,,14686608
食料品及び動物,Foodstuffs and animals,,,,,,,　　　　　,,,1745168,,1585872,,159297
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,,1，000t,,986,503529,986,503529,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,622,617002,581,539107,41,77896
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,,1，000t,,1579,327477,1529,289529,50,37949
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,485681,,472539,,13142
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,1，000kl,,235,131416,235,131416,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,323867,,323867,,-
原材料,Raw material,,,,,,,,,,325325,,257233,,68092
鉱物性燃料,Mineral fuels,,,,,,,　　　　　,,,15034,,12589,,2445
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,123,31652,122,29728,1,1924
化学製品,Chemical products,,,,,,,,,,3503329,,1131988,,2371341
化学製品,Chemical products,元素及び化合物,Element and compounds,,,,,　　　　　,,,698816,,269933,,428883
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,526455,,144531,,381924
化学製品,Chemical products,医薬品,Medical products,,,,,1，000t,,37,1825983,29,202425,8,1623558
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,1050,346425,1033,283586,17,62840
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1930439,,1122851,,807588
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,,1，000t,,556,110687,556,110687,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,　　　　　,,,229417,,201025,,28392
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,　　　　　,,,281459,,113460,,167998
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,93,652882,87,167936,6,484946
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,360891,,286576,,74314
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,　　　　　,,,12256727,,3955341,,8301386
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,4357754,,1575952,,2781801
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,　　　　　,,,2025323,,777679,,1247644
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類（含周辺機器））,(Computers (including peripheral devices)),100万台,1mil.units,60,1647186,31,565980,29,1081205
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,,,,,　　　　　,,,7165541,,2096341,,5069199
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,重電機器,Heavy electrical power machinery,,,,,,271451,,170888,,100562
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,音響・映像機器（含部品）,Audio/visual apparatuses (including parts),,,,,,660388,,384052,,276336
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,通信機,Communication instruments,,,          ,,,2185272,,233338,,1951934
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,家庭用電気機器,Domestic electrical equipment,,,          ,,,243511,,243511,,-
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,,,,,,1899547,,354194,,1545353
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10 mil. units,1340,1658534,177,250442,1163,1408092
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electrical machinery,電気計測機器,Electrical measuring and instruments,,,1億個,100 mil. units,,506038,,130023,,376015
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,,,,,　　　　　,,,733432,,283047,,450385
機械類及び輸送用機器,Machinery and transport equipment,輸送用機器,Transport equipment,自動車の部分品,Parts of motor vehicles,,,1，000t,,190,221808,178,172842,11,48966
雑製品,Miscellaneous manufactured goods,,,,,,,,,,5404170,,2974290,,2429880
雑製品,Miscellaneous manufactured goods,バッグ類,Bags,,,,,1，000t,,83,428017,75,182903,8,245114
雑製品,Miscellaneous manufactured goods,衣類及び同付属品,Clothing and accessories,,,,,　　　　　,,,1382048,,1009028,,373020
雑製品,Miscellaneous manufactured goods,はき物,Footwear,,,,,1，000t,,139,371879,132,305259,7,66620
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,,,,,　　　　　,,,1644064,,413257,,1230807
雑製品,Miscellaneous manufactured goods,精密機器類,Precision instruments,科学光学機器,Scientific and optical instruments,,,,,,1355251,,376686,,978565
雑製品,Miscellaneous manufactured goods,プラスチック製品,Plastics products,,,,,1，000t,,488,298546,479,248895,8,49651
雑製品,Miscellaneous manufactured goods,がん具及び遊戯用具,Toy and indoor games,,,,,1，000t,,96,215463,96,215463,-,-
特殊取扱品,Special commodities,,,,,,,,,,645538,,114024,,531514
特殊取扱品,Special commodities,再輸入品,Re-import goods,,,,,,,,590108,,105080,,485028
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,
12-7  主要品目別輸出入数量及び金額 (2)輸入 (平成30年) 12-7  QUANTITY AND VALUE OF IMPORTS AND EXPORTS BY SELECTED COMMODITY (2) IMPORTS ( 2018 ),,,,,,,,,,,,,,,
この表は， 輸出入申告書， 積みもどし申告書及び船舶， 航空機の入出港届等を資料として作成されたものである。輸出は本船渡価額 (F.O.B.)，輸入は到着価額 (C.I.F.) である。 なお，「海上」 は東京税関管内の「東京港」であり，「航空」は「東京国際空港(羽田)」 と「成田国際空港」分を合計したものである。,,,,,,,,,,,,,,,
