年次（平成）,Year,月次,Month,旅客数 Passenger／国内線 Domestic／乗客 Embarked,旅客数 Passenger／国内線 Domestic／降客 Disembarked,旅客数 Passenger／国際線 International／乗客 Embarked,旅客数 Passenger／国際線 International／降客 Disembarked,旅客数 Passenger／国際線 International／通過 Direct transit,貨物 Freight／国内線 Domestic／積荷 Loaded(t),貨物 Freight／国内線 Domestic／降荷 Unloaded(t),貨物 Freight／国際線 International／積荷 Loaded(t),貨物 Freight／国際線 International／降荷 Unloaded(t),郵便物 Mail／国内線 Domestic／積荷 Loaded(t),郵便物 Mail／国内線 Domestic／降荷 Unloaded(t),郵便物 Mail／国際線 International／積荷 Loaded(t),郵便物 Mail／国際線 International／降荷 Unloaded(t)
26,2014,,,2914555,3029015,12098300,12148567,2676461,29729,25899,938797,1104602,3119,1066,12663,19122
27,2015,,,3325095,3395648,12710355,12791426,2528697,28004,21304,960847,1075121,2931,302,18195,15614
28,2016,,,3468273,3536303,13515299,13629812,2429158,27621,20007,985088,1098132,3009,148,14508,16915
29,2017,,,3730869,3809380,14500368,14582634,2008307,19633,17005,1093196,1169703,1628,156,14408,20701
30,2018,,,3599014,3650073,15732580,15815526,1878207,11376,11946,1094656,1103356,858,176,16799,21843
30,2018,1,Jan.,272729,290975,1190677,1221486,177225,985,931,84474,90642,115,14,1385,1868
30,2018,2,Feb.,282223,285225,1214115,1158679,142908,743,786,83338,84142,106,12,1118,1392
30,2018,3,Mar.,328079,337571,1328197,1465415,126997,1077,1361,100738,103808,119,15,1586,1616
30,2018,4,Apr.,286251,287433,1360096,1284789,124630,1008,1028,99522,99642,52,13,1365,1540
30,2018,5,May,287009,295984,1206320,1268186,176577,904,880,98608,95360,53,13,1408,1654
30,2018,6,June,277077,275583,1239676,1265382,192926,1008,1113,92752,85855,52,13,1314,1684
30,2018,7,July,307362,304388,1376666,1336060,182506,1062,1045,86231,87404,51,12,1187,1721
30,2018,8,Aug.,350641,357387,1519644,1449062,161268,777,771,83355,85155,53,13,1179,1621
30,2018,9,Sept.,291829,300528,1373075,1451085,140475,1017,974,97870,93111,29,19,1494,1909
30,2018,10,Oct.,306114,312300,1329393,1353995,149658,927,847,95113,98578,58,14,1666,2192
30,2018,11,Nov.,294705,300580,1287875,1281449,135184,910,1023,88796,92010,60,16,1453,2116
30,2018,12,Dec.,314995,302119,1306846,1279938,167853,958,1187,83859,87649,109,22,1644,2530
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,
4-23　航空輸送量 (2)　成田国際空港 （平成26～30年） 4-23 TRANSPORTATION BY ＡIR (2) NARITA INTERNATIONAL AIRPORT ( 2014-2018 ),,,,,,,,,,,,,,,,
資料：国土交通省「空港管理状況調書」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,
