年次(平成),Year,総数 Total,建設業 Construction,製造業 Manufacturing,情報通信業 Information and communications,運輸業，郵便業 Transport and postal activities,卸売業，小売業 Wholesale and retail trade,金融業，保険業 Finance and insurance,不動産業，物品賃貸業 Real estate and goods rental and leasing,学術研究，専門・技術サービス業 Scientific research， professional and technical services,宿泊業，飲食サービス業 Accommodations， eating and drinking services,生活関連サービス業，娯楽業 Living-related and personal services and amusement services,教育，学習支援業 Education， learning support,医療，福祉 Medical， health care and welfare,複合サービス事業 Compound services,サービス業 (他に分類されないもの) Services， n.e.c.,その他 Others
28,2016,183,5,41,26,11,12,2,3,2,4,4,16,37,5,15,-
29,2017,172,2,29,19,19,6,-,-,4,8,3,8,57,5,12,-
30,2018,148,3,30,20,11,9,2,-,2,2,1,8,46,-,14,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　7  労働 7  LABOR,,,,,,,,,,,,,,,,,
7-8  産業別労働争議件数 (平成28～30年) 7-8  LABOR DISPUTES BY INDUSTRY ( 2016-2018 ),,,,,,,,,,,,,,,,,
資料：都産業労働局雇用就業部労働環境課 Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,,,,,,,,,,
