年度末(平成),End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1) 
27,2015,0,13000,総数,Tokyo-to,,545524,255620,468,3875,22587,21595,9274,60,1143,63622,167280
28,2016,0,13000,総数,Tokyo-to,,538881,253622,451,3875,17571,21842,8747,60,1133,64949,166631
29,2017,0,13000,総数,Tokyo-to,,530227,251693,446,3875,13872,21809,7937,60,1133,65169,164241
30,2018,0,13000,総数,Tokyo-to,,525740,251980,445,3875,9476,21754,7372,60,1133,67259,162394
30,2018,1,13100,区部,All ku,,327524,162223,50,1907,8475,13986,6824,26,1057,33816,99168
30,2018,2,13101,千代田区,Chiyoda-ku,,1363,292,-,14,-,424,289,-,144,150,50
30,2018,2,13102,中央区,Chuo-ku,,8636,1453,-,-,345,130,1190,-,75,479,4964
30,2018,2,13103,港区,Minato-ku,,9787,4815,-,175,420,323,682,-,-,859,2513
30,2018,2,13104,新宿区,Shinjuku-ku,,9392,7106,-,4,75,991,506,-,-,359,351
30,2018,2,13105,文京区,Bunkyo-ku,,1761,555,-,1,114,225,143,-,-,264,459
30,2018,2,13106,台東区,Taito-ku,,1715,921,-,-,220,197,218,-,-,-,159
30,2018,2,13107,墨田区,Sumida-ku,,11448,6547,-,122,769,388,318,-,61,269,2974
30,2018,2,13108,江東区,Koto-ku,,44424,19910,-,352,1209,570,45,-,-,5608,16730
30,2018,2,13109,品川区,Shinagawa-ku,,10117,3409,-,27,18,409,1089,-,147,924,4094
30,2018,2,13110,目黒区,Meguro-ku,,2607,637,-,119,157,697,217,-,-,-,780
30,2018,2,13111,大田区,Ota-ku,,13977,6402,25,94,427,1663,537,-,-,1870,2959
30,2018,2,13112,世田谷区,Setagaya-ku,,18868,6244,-,1,185,1470,392,-,-,4805,5771
30,2018,2,13113,渋谷区,Shibuya-ku,,3629,2382,-,-,19,498,86,-,-,130,514
30,2018,2,13114,中野区,Nakano-ku,,5323,2228,-,12,269,567,76,-,20,1949,202
30,2018,2,13115,杉並区,Suginami-ku,,5841,3062,-,3,20,1176,136,-,-,666,778
30,2018,2,13116,豊島区,Toshima-ku,,3301,1337,-,-,40,380,142,-,85,146,1171
30,2018,2,13117,北区,Kita-ku,5),27607,13094,-,76,403,872,83,-,8,1011,12068
30,2018,2,13118,荒川区,Arakawa-ku,,6640,4190,-,131,423,86,204,-,-,85,1521
30,2018,2,13119,板橋区,Itabashi-ku,,26961,11240,21,30,635,637,251,-,-,3061,11086
30,2018,2,13120,練馬区,Nerima-ku,,21388,12215,-,98,501,890,71,26,-,1642,5945
30,2018,2,13121,足立区,Adachi-ku,,45938,29461,-,411,707,764,77,-,73,2270,12175
30,2018,2,13122,葛飾区,Katsushika-ku,,20611,12064,4,54,738,564,52,-,240,116,6779
30,2018,2,13123,江戸川区,Edogawa-ku,,26190,12659,-,183,781,65,20,-,204,7153,5125
