品目階層,品目,Item,平成28年 2016／数量 Quantity,平成28年 2016／金額 Value,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value,平成30年 2018／数量 Quantity,平成30年 2018／金額 Value
0,総数,Total,434290,454698901,407653,453152704,385102,437815390
1,鮮魚,Fresh fish,148631,157211514,144099,156935327,139162,157260331
2,まぐろ類,Tuna,10601,23894274,10274,24188217,10643,26317412
2,かじき類,Swordfish,1449,2241808,1290,2068424,1320,2096431
2,かつお類,Skipjack,8492,5535605,8309,5372584,6453,4068786
2,ぶり類,Yellowtail,29965,19456426,31487,19965142,29023,19309894
2,あじ類,Horse mackerel,15588,8955736,14496,8584388,13701,8317034
2,さわら類,King mackerel,2171,2277000,2131,2366590,1864,2243060
2,いわし類,Sardine,8233,3091709,9668,3073745,8528,2986065
2,いか類,Squid,6609,5963530,6037,5790537,6018,5894691
2,かれい類,Flounder,3507,2641542,3796,2702557,3455,2429721
2,たい類,Sea bream,11621,13499588,10992,13547683,10191,13235820
2,めぬけ類,Rock fish,935,1752770,1026,1817616,1087,1843701
2,さめ類,Shark,383,152618,438,174164,359,148387
2,さけ・ます類,Salmon and trout,8469,11472205,7972,12006130,8071,11849024
2,たら類,Cod,4456,3927076,4068,3695815,3973,3446443
2,えび類,Shrimp and lobster,1671,6140881,1712,6282671,1601,5850598
2,かに類,Crab,1266,3318680,1182,3471843,1100,3517770
2,あなご類,Conger eel,308,490444,313,424326,251,379642
2,ふぐ類,Puffer,569,2267790,603,2129268,597,1861178
2,その他鮮魚類,Other fresh fish,32337,40131833,28306,39273627,30927,41464673
1,活魚類,Live fish ,15083,21175667,15129,21376936,14243,21762210
1,貝類,Shellfish,28296,34934044,26988,32505390,25612,30761850
2,生鮮貝類,Fresh shellfish,24551,28023731,23594,26540396,22101,25075197
2,冷凍貝類,Frozen shellfish,3745,6910313,3394,5964994,3511,5686653
1,冷凍魚,Frozen fish,87810,106686829,79858,107789434,73978,99528143
2,冷まぐろ類,Frozen tuna,29831,43565699,27169,44402014,26179,41409491
2,冷かじき類,Frozen swordfish,1971,1904875,2040,2057636,1856,2002149
2,冷いか類,Frozen squid,4856,3959695,3208,3582897,3655,3730565
2,冷かれい類,Frozen flounder,2894,2600727,2972,2760015,2779,2737236
2,冷たい類,Frozen sea bream,34,45863,46,56810,29,41023
2,冷さめ類,Frozen shark,2,1064,1,546,2,756
2,冷さけ・ます類,Frozen salmon and trout,18000,15396446,15528,15876702,13691,13752246
2,冷えび類,Frozen shrimp and lobster,8284,13321890,8329,13624252,7637,11653033
2,冷かに類,Frozen crab,1730,5293678,1853,5970313,1614,5694507
2,その他冷凍魚類,Other frozen fish,20208,20596891,18713,19458248,16537,18507137
1,淡水魚,Freshwater fish,1376,2646920,1358,2535685,1302,2523502
2,生鮮淡水魚類,Fresh freshwater fish,1278,2547108,1269,2444679,1206,2431465
2,冷凍淡水魚類,Frozen freshwater fish,97,99812,89,91007,96,92037
1,海そう類,Seaweed,8023,3963459,6911,3722145,7716,4196848
1,加工品,Processed foods,145071,128080469,133311,128287786,123088,121782506
2,塩蔵品類,Salted,17559,27263122,16153,28744069,14874,24952475
2,塩干品類,Salted and dried,20481,13284237,19115,12547930,17757,11888081
2,煮干製品類,Boiled and dried,11275,12734740,9728,12178662,8500,13476250
2,練製品類,"""Surimi""",19061,12043980,16836,11480932,15749,10885528
2,その他加工品類,Other processed foods,76696,62754389,71479,63336193,66208,60580172
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-2  品目別水産物の入荷数量 （平成28～30年） 10-1 RECEIVED FISHERY PRODUCTS BY ITEM（ 2016-2018 ）,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:鮮魚・活魚類・貝類・冷凍魚・淡水魚・海そう類・加工品　2:水産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen)  ,,,,,,,,
