年度（平成）,Fiscal Year,会社名,Company name,系統,Line,駅,Station,マーク Mark,乗車人員 Passengers getting on trains／総数 Total,乗車人員 Passengers getting on trains／定期 Commuter Pass,乗車人員 Passengers getting on trains／普通 Tickets,降車人員Passengers getting off trains／総数 Total,降車人員Passengers getting off trains／定期 Commuter Pass,降車人員Passengers getting off trains／普通 Tickets
26,2014,総数,Total,,,,,,3045449,1797090,1248358,3026377,1786973,1239403
27,2015,総数,Total,,,,,,3130488,1848213,1282278,3111206,1837856,1273352
28,2016,総数,Total,,,,,,3171756,1880366,1291391,3152656,1869545,1283111
29,2017,総数,Total,,,,,,3226788,1917000,1309787,3208970,1905917,1303052
30,2018,総数,Total,,,,,,3280132,1949811,1330324,3260021,1938555,1321467
30,2018,区部,Ku area only,,,,,,2646605,1569988,1076621,2626695,1558732,1067967
30,2018,小田急電鉄,Odakyu Electric Railway,,,,,,351239,212755,138484,351529,212755,138774
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,,,,332718,200805,131913,333476,200805,132672
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,新宿,Shinjuku,※,96469,57631,38838,93754,57631,36123
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,南新宿,Minami-Shinjuku,※,658,183,475,811,183,628
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,参宮橋,Sangubashi,※,2755,1042,1713,2874,1042,1832
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木八幡,Yoyogi-Hachiman,※,3554,1832,1723,3887,1832,2055
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,代々木上原,Yoyogi-Uehara,※,48875,32261,16614,51941,32261,19681
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,東北沢,Higashi-Kitazawa,※,1281,530,752,1299,530,770
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,下北沢,Shimo-Kitazawa,※,21560,10971,10589,21826,10971,10855
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,世田谷代田,Setagaya-Daita,※,1600,785,815,1622,785,838
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,梅ヶ丘,Umegaoka,※,6209,3948,2261,6131,3948,2183
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,豪徳寺,Gotokuji,※,5199,2873,2326,5076,2873,2203
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,経堂,Kyodo,※,14770,9209,5561,14773,9209,5564
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,千歳船橋,Chitose-Funabashi,※,11061,6966,4095,10873,6966,3907
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,祖師ヶ谷大蔵,Soshigaya-Okura,※,9306,5689,3617,9302,5689,3614
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,成城学園前,Seijogakuen-Mae,※,16505,10205,6301,16292,10205,6087
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,喜多見,Kitami,※,6272,3937,2336,6291,3937,2354
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,狛江,Komae,,8793,5660,3133,8853,5660,3194
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,和泉多摩川,Izumi-Tamagawa,,2921,1939,982,2857,1939,918
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,鶴川,Tsurukawa,,12657,8238,4419,12616,8238,4378
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,玉川学園前,Tamagawagakuen-Mae,,8714,5823,2891,8803,5823,2980
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,町田,Machida,,53559,31085,22473,53595,31085,22510
30,2018,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,,,,18521,11951,6570,18053,11951,6102
30,2018,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,小田急永山,Odakyu Nagayama,,5760,3422,2338,5679,3422,2257
30,2018,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,小田急多摩ｾﾝﾀｰ,Odakyu Tama Center,,9560,6243,3317,9171,6243,2928
30,2018,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,唐木田,Karakida,,3201,2286,915,3203,2286,917
30,2018,西武鉄道,Seibu Railway,,,,,,555266,353582,201685,555206,353582,201624
30,2018,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,,,,237225,149369,87857,235860,149369,86491
