学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female
総数,Total,…,65925,30581,35344,…,…,…,7822,…,…
幼稚園,Kindergartens,1125,840,24,816,249,60,189,36,9,27
幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),208,194,9,185,9,-,9,5,-,5
小学校,Elementary schools,42115,32922,12750,20172,5495,1521,3974,3698,1559,2139
中学校,Junior high schools,20598,14972,8319,6653,4140,1851,2289,1486,680,806
義務教育学校,Compulsory education schools,461,373,171,202,55,15,40,33,13,20
高等学校,Senior high schools,13484,9407,6042,3365,2722,1410,1312,1355,756,599
中等教育学校,Secondary education schools,593,443,283,160,105,49,56,45,22,23
大学,Colleges and universities,…,703,562,141,…,…,…,394,171,223
高等専門学校,Colleges of technology,…,129,117,12,…,…,…,41,…,…
特別支援学校,Special needs schools,6921,5727,2270,3457,509,185,324,685,315,370
高等学校（通信制）,Senior high schools (Correspondence course),79,43,26,17,30,16,14,6,3,3
専修学校,Specialized training schools,1040,172,8,164,830,426,404,38,10,28
,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成30年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2018 ),,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」， 都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG ,,,,,,,,,,,
