項目,Item,平成28年度 Fiscal year 2016／実数 Value,平成28年度 Fiscal year 2016／構成比 Percentage Distribution (%),平成28年度 Fiscal year 2016／対前年度増加率 Percent changes from previous fiscal year (%),平成29年度 Fiscal year 2017／実数 Value,平成29年度 Fiscal year 2017／構成比 Percentage Distribution (%),平成29年度 Fiscal year 2017／対前年度増加率 Percent changes from previous fiscal year (%)
雇用者報酬（都内活動による）,Compensation of employees (from activities in Tokyo),52998,50.4,3.7,54138.9,51,2.2
営業余剰・混合所得,Operating surplus and mixed income,28955.3,27.5,-5,28702.8,27,-0.9
固定資本減耗,Consumption of fixed capital,17679.1,16.8,0.5,17831.3,16.8,0.9
生産･輸入品に課される税,Taxes on production and imports,5865.9,5.6,2.8,5851.1,5.5,-0.3
（控除）補助金,(less) Subsidies,339.7,0.3,-7.4,285.9,0.3,-15.8
都内総生産 (生産側),Gross prefectural domestic product (production approach),105158.5,100,0.6,106238.2,100,1
民間最終消費支出,Private final consumption expenditure,43924.5,41.8,0.5,45231.6,42.6,3
政府最終消費支出,Government final consumption expenditure,16182.3,15.4,0.5,15987.6,15,-1.2
都内総固定資本形成,Gross prefectural domestic fixed capital formation,15389.4,14.6,1.8,15959,15,3.7
在庫変動,Changes in inventories,232.2,0.2,-,440.5,0.4,-
財貨・サービスの移出入(純）,Outflows of goods and services， net,32532.7,30.9,-4.4,31756.3,29.9,-2.4
統計上の不突合,Statistical discrepancy,-3102.6,-3,-,-3136.8,-3,-
都内総生産 (支出側),Gross prefectural domestic product (expenditure approach),105158.5,100,0.6,106238.2,100,1
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,
16-1  都内総生産勘定 (生産側及び支出側) (平成28，29年度) 16-1  GROSS PREFECTURAL DOMESTIC PRODUCT ACCOUNT (PRODUCTION AND EXPENDITURE APPROACH) ( Fiscal Years 2016 and 2017 ),,,,,,,
令和元年11月13日までに公表された各種指数等を基に推計している。毎月勤労統計調査地方調査結果の再集計値反映前のデータであり，今後改訂される場合がある。,,,,,,,
Figures are estimated from indices and other figures published up to November 13， 2019. As this is data prior to reflection of the re-tabulated figures of the Results of the Monthly Labor Prefectural Survey， they may be revised at a later time.,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」 Source: Bureau of General Affairs， TMG,,,,,,,
（単位  金額 10 億円） (Value in billions of yen),,,,,,,
