品目階層,品目,Item,平成28年 2016／数量 Quantity,平成28年 2016／金額 Value,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value,平成30年 2018／数量 Quantity,平成30年 2018／金額 Value
0,総数,Total,1993439,599267617,2029671,582649839,1942026,580696885
1,野菜,Vegetables,1521456,408082203,1550922,389505379,1495440,388696477
2,根菜類,Root vegetables,253711,39588134,257669,35531673,236863,36434851
3,だいこん,Japanese radish,131049,13657670,131725,12576898,119393,12647384
3,かぶ,Turnip,15613,2265348,15019,2172186,14764,2099861
3,にんじん,Carrot,88391,14253521,92577,11887559,84493,13480618
3,ごぼう,Edible burdock,8262,3124242,8825,3018109,7709,2912353
3,れんこん,Lotus root,7556,4703068,7390,4428299,7941,3844886
3,その他,Others,2839,1584284,2132,1448622,2563,1449749
2,キャベツ類,Cabbage varieties,192189,19316600,195808,19239446,193673,20533013
2,レタス類,Lettuce varieties,97581,21780498,95782,19231609,96036,18024437
2,葉茎菜類,Leaf and stem vegetables,285637,91153504,299060,89706973,295140,91286576
3,はくさい,Chinese cabbage,114729,10000675,125987,11150952,126779,12004770
3,こまつな,"""Komatsuna""",13687,4523538,13775,4560951,13511,4445039
3,ほうれんそう,Spinach,14412,8321812,14776,8122233,14956,8103436
3,ねぎ,Welsh onion,54176,19155640,53077,18437248,51661,18847418
3,ブロッコリー,Broccoli,23618,10801080,28765,11308873,28114,11425424
3,その他,Others,65015,38350759,62681,36126716,60118,36460490
2,果菜類,Fruit vegetables,314494,121257419,317211,114898915,305692,118473982
3,きゅうり,Cucumber,78208,26092192,77515,24049604,76742,26316642
3,かぼちゃ,Pumpkin　,34468,6723255,33477,6239678,29600,6275921
3,なす,Eggplant,31629,12808677,32164,12498784,31308,12689609
3,トマト,Tomato,84558,33059467,84868,30656528,82726,30712962
3,ピーマン,Bell pepper,23466,10720888,24220,10368102,23653,11148896
3,その他,Others,62165,31852940,64967,31086221,61662,31329952
2,豆科野菜類,Legumes,13644,11843985,14250,11809846,13034,11585701
3,いんげん,String bean,3550,3143452,3367,2912409,3178,2862757
3,えだまめ,Green soybean,5884,4934610,5741,4649945,5217,4835338
3,その他,Others,4210,3765923,5142,4247492,4639,3887606
2,ばれいしょ類,Potatoes,87809,16084840,92733,14483378,86998,9677776
2,土物類,Sweet potatoes/onions， etc.,188334,34843219,191756,33302386,182627,32076477
3,かんしょ,Sweet potato,29054,6967364,29477,6484224,27990,6441361
3,たまねぎ,Onion,129363,13585295,134150,13269505,126123,13211799
3,その他,Others,29916,14290560,28129,13548657,28514,12423318
2,香辛つま物類,Spices/garnishes,13310,19297283,13000,18678624,12271,18802048
3,根しょうが,Ginger,5081,3309672,4831,3006912,4419,2807415
3,その他,Others,8229,15987612,8169,15671712,7851,15994632
2,きのこ山菜類,Mushrooms/Wild plants,42940,23959303,43207,23632761,41127,23115793
3,なましいたけ,"""Shiitake"" mushroom， fresh",7077,7278598,7452,7653929,7532,7151541
3,えのきだけ,"""Enokidake"" mushroom",14071,3302538,14944,3042586,13895,3043341
3,しめじ,"""Shimeji"" mushroom",10314,4338614,9928,4137826,8848,3879825
3,その他,Others,11478,9039553,10883,8798421,10852,9041086
2,その他野菜類,Others,5453,3252049,5090,3468031,5960,3320743
3,うめ,"""Ume"" apricot",2022,874079,1934,1086515,2277,1011794
3,その他,Others,3431,2377970,3155,2381516,3683,2308949
2,野菜加工品,Processed vegetables,26353,5705368,25356,5521736,26020,5365081
1,果実,Fruits,434623,178406506,443165,180635919,411839,180112020
2,みかん類,Mandarins,94062,29225253,99023,30588697,93298,29946065
2,かんきつ類,Citrus varieties,52700,17136389,55335,17421700,50770,16606226
3,いよかん,"""Iyo""tangor",6780,1573053,5774,1289289,5511,1403790
3,グレープ,Grapefruit,5191,1049843,4495,823005,4183,800229
3,その他,Others,40729,14513494,45066,15309406,41075,14402207
2,りんご類,Apples,65455,21750032,68142,19758220,58404,19224100
2,日本なし類,Japanese pears,23927,7311237,24533,7435597,23737,7501620
2,西洋なし類,European pears,3346,1089812,3011,1026466,2629,939820
2,かき類,Japanese persimmons,22071,6296181,22938,5857849,20395,5715382
2,びわ類,Loquats,259,480373,483,686116,320,539981
2,もも類,Peaches,15027,7707879,15101,8306097,13749,8386952
2,すもも類,Plums,3581,1863079,2775,1737377,3412,1990658
2,おうとう類,Cherries,2331,3870878,2178,3848306,1916,3707771
2,あんず類,Apricots,97,57195,76,51495,114,67873
2,ぶどう類,Grapes,14857,14246323,14649,15467449,13984,16488901
2,くり類,Chestnuts,773,635694,934,703853,1143,658915
2,いちぢく類,Figs,1209,968775,1185,1007760,1000,925889
2,いちご類,Strawberries,22990,30350899,24821,32440591,24636,33750628
2,メロン類,Melons,20601,10656101,19286,10356451,18817,9715443
2,すいか類,Watermelons,44705,9541418,42692,9461306,40521,9672720
2,その他果実,Other fruits,42997,11734629,42510,11104449,39690,11186678
2,果実加工品,Processed fruits,3633,3484358,3494,3376138,3304,3086401
1,つけ物,Pickles,11569,6702721,11041,6562786,11212,6414472
1,その他の食料品,Other foods,13824,2983996,12749,2884470,11858,2703133
1,鳥卵,Poultry eggs,11968,3092191,11794,3061285,11677,2770782
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成28～30年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2016-2018 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
