年度末(平成),End of fiscal year,商工組合中央金庫 Shoko Chukin Bank／預金 Deposits,商工組合中央金庫 Shoko Chukin Bank／貸出 Loans ,信用組合 Credit Co-operatives／預金 Deposits,信用組合 Credit Co-operatives／貸出 Loans ,労働金庫 Labour Banks／預金 Deposits,労働金庫 Labour Banks／貸出 Loans 
26,2014,1354968,2487765,2776084,1547712,1898567,1204295
27,2015,1302988,2498103,2818174,1587487,2002759,1211226
28,2016,1253616,2432166,2870275,1648268,2085104,1237603
29,2017,1240305,2243499,2936378,1714230,2133030,1308407
30,2018,1339391,2170296,2980318,1794858,2219207,1416738
,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　15  金融 15  FINANCE,,,,,,,
15-2  中小企業金融機関の主要勘定 (2) 商工組合中央金庫， 信用組合及び労働金庫 (平成26～30年度末) 15-2  MAIN ACCOUNTS OF FINANCIAL INSTITUTIONS FOR SMALL BUSINESSES (2) SHOKO CHUKIN BANK， CREDIT CO-OPERATIVES AND LABOUR BANKS ( End of Fiscal Years 2014-2018 ),,,,,,,
資料：東京都信用組合協会業務部， 商工組合中央金庫総務部， 中央労働金庫総合企画部,,,,,,,
Source: Tokyo Society of Credit Associations， Shoko Chukin Bank， Chuo Labour Bank,,,,,,,
  (単位  百万円) (In millions of yen),,,,,,,
