地域階層,地域コード,地域,District,マーク Mark,平成26年度 FY 2014,平成27年度 FY 2015,平成28年度 FY 2016,平成29年度 FY 2017,平成30年度 FY 2018
0,13000,総額,Total,,4739939,5183569,5236011,5273012,5446357
1,13100,区部,All ku,,3927213,4085773,4198674,4215531,4479698
3,13101,千代田区,Chiyoda-ku,,696003,752348,773772,701884,836260
3,13102,中央区,Chuo-ku,,563612,579987,558945,600981,611447
3,13103,港区,Minato-ku,,621654,633615,667681,700005,742245
3,13104,新宿区,Shinjuku-ku,,301965,323064,343056,344834,349048
3,13105,文京区,Bunkyo-ku,,48791,49621,50952,51843,53503
3,13106,台東区,Taito-ku,,100259,110887,112808,116163,119303
3,13107,墨田区,Sumida-ku,,42433,40333,41064,41734,43314
3,13108,江東区,Koto-ku,,100291,102229,105622,107907,109661
3,13109,品川区,Shinagawa-ku,,187332,180686,194037,194042,216903
3,13110,目黒区,Meguro-ku,,58549,58973,59455,60968,62798
3,13111,大田区,Ota-ku,,114127,119405,118449,120647,124683
3,13112,世田谷区,Setagaya-ku,,153300,156452,161073,161724,166117
3,13113,渋谷区,Shibuya-ku,,264981,292235,309305,296730,310189
3,13114,中野区,Nakano-ku,,45737,46014,46642,47660,48579
3,13115,杉並区,Suginami-ku,,81052,82539,84380,85587,88260
3,13116,豊島区,Toshima-ku,,107096,109997,113592,114306,118904
3,13117,北区,Kita-ku,,40180,40236,42634,43119,44594
3,13118,荒川区,Arakawa-ku,,50511,51653,53630,57562,58338
3,13119,板橋区,Itabashi-ku,,65586,66917,68091,69230,70738
3,13120,練馬区,Nerima-ku,,89105,91085,92404,93584,95635
3,13121,足立区,Adachi-ku,,72281,74058,74976,76595,78484
3,13122,葛飾区,Katsushika-ku,,46530,47088,48150,49433,50068
3,13123,江戸川区,Edogawa-ku,,75839,76351,77954,78992,80628
1,,市郡部,All shi and gun,,265889,270337,278340,280896,284593
3,13201,八王子,Hachioji ,1),106017,108068,111307,112246,112415
3,13202,立川,Tachikawa,2),159873,162268,167033,168651,172178
1,13350,島部,All islands,,1209,1269,1301,1305,1201
2,13360,大島支庁,Oshima-shicho,,556,587,591,598,521
2,13380,三宅支庁,Miyake-shicho,,121,138,152,146,138
2,13400,八丈支庁,Hachijo-shicho,,335,335,346,338,320
2,13420,小笠原支庁,Ogasawara-shicho,,197,209,213,224,221
1,,都税総合事務ｾﾝﾀｰ,Tax Operations Center,3),110497,114309,113989,117115,118450
1,,都主税局課税部,Bureau of Taxation,,422696,700423,632652,647365,552271
1,,都主税局資産税部,Bureau of Taxation,,11232,10182,10120,9780,9722
1,,都主税局徴収部,Bureau of Taxation,,1203,1276,936,1019,422
,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,
21-7  都税収入済額 (2) 地域別 (平成26～30年度) 21-7  METROPOLITAN TAXES RECEIVED  (2) BY DISTRICT ( Fiscal Years 2014-2018 ) ,,,,,,,,,
この表の税額は，各年度とも決算額（還付未済額を含む。）による。数字は各地域所在の都税事務所及び支庁の徴収額である。ただし，都主税局課税部，資産税部，徴収部及び都税総合事務センター扱いの都税及び交付金は地域別に算出せず一括して計上した。,,,,,,,,,
The tax amount refers to the settled account (including amount not refunded) each year. Figures are taxes collected  from the metropolitan tax offices and shicho (branch offices). However， metropolitan taxes and taxes serving as revenue sources for financial adjustments between the metropolitan government and wards， which  are collected by the Bureau of Taxation's Taxation， Property Tax， and Tax Collection divisions， and the Tax Operations Center are not calculated by district， but shown as an overall total.,,,,,,,,,
注 1) 八王子…八王子市，青梅市，町田市，日野市，福生市，多摩市，稲城市，羽村市，あきる野市，瑞穂町，日の出町，檜原村，奥多摩町,,,,,,,,,
2) 立川…立川市，武蔵野市，三鷹市，府中市，昭島市，調布市，小金井市，小平市，東村山市，国分寺市，国立市，狛江市，東大和市，清瀬市，東久留米市，武蔵村山市，西東京市,,,,,,,,,
3) 平成19年度に「自動車税総合事務所」と「都税還付管理室」の統合により設置。,,,,,,,,,
Note: 1) Hachioji: Hachioji-shi， Ome-shi， Machida-shi， Hino-shi， Fussa-shi， Tama-shi， Inagi-shi， Hamura-shi， Akiruno-shi， Mizuho-machi， Hinode-machi， Hinohara-mura， Okutama-machi,,,,,,,,,
2) Tachikawa: Tachikawa-shi， Musashino-shi， Mitaka-shi， Fuchu-shi， Akishima-shi， Chofu-shi， Koganei-shi， Kodaira-shi， Higashimurayama-shi， Kokubunji-shi， Kunitachi-shi， Komae-shi， Higashiyamato-shi， Kiyose-shi， Higashikurume-shi， Musashimurayama-shi， Nishitokyo-shi,,,,,,,,,
"3) Established with the merger of the ""General Automobile Taxation Office"" and the ""Metropolitan Tax Rebate Office"" in FY 2007．",,,,,,,,,
資料：都主税局税制部歳入課 Source: Bureau of Taxation， TMG,,,,,,,,,
地域階層（0:総額　1:区部・市郡部・島部・都税総合事務ｾﾝﾀｰ・都主税局課税部・都主税局資産税部・都主税局徴収部　2:各支庁　3:区市町村),,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,
