種類,Kind,項番,区分,Classification,マーク Mark,総額 Total value,土地 Lands／面積 Area(m2),土地 Lands／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Growing trees,船舶 Vessels,航空機 Aircrafts,浮標，浮さん橋，浮ドック Floats， floating piers and docks,地上権等 Superficies， etc.,特許権等 Patent right， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,不動産信託の受益権 Rights based in trusts of real estate
一般財産 ,General assets,1,総額,Total,,10931226,89584033,6531761,27337385,2575385,747259,841,6675,1877,765,6640,10364,240832,628178,180648
一般財産 ,General assets,2,行政財産,Administrative assets,,8996615,81348865,5981329,26331121,2301879,697907,747,6675,1877,757,5443,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,1934611,8235168,550432,1006265,273506,49352,94,-,-,8,1196,10364,240832,628178,180648
準公営企業用財産 ,Semipublic enterprises assets,4,総額,Total,,2593692,14256939,1593227,2196205,370352,483141,1835,71,-,-,-,48,112417,6,32595
準公営企業用財産 ,Semipublic enterprises assets,5,行政財産,Administrative assets,,1668416,7192056,861179,2142558,369431,435900,1835,71,-,-,-,-,-,-,-
準公営企業用財産 ,Semipublic enterprises assets,6,普通財産,Non-administrative assets,,925276,7064883,732048,53647,920,47242,-,-,-,-,-,48,112417,6,32595
公営企業用財産,Public enterprise assets,,,,1),13954260,261482366,1031011,3034167,1170819,11666696,2128,150,-,-,295,-,80921,2240,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成30年度末) 21-9  METROPOLITAN AND Ｋu ASSETS  (1) METROPOLITAN ASSETS ( End of Fiscal Year 2018 ) ,,,,,,,,,,,,,,,,,,,,
a) Floats， floating piers and docks  b) Rights based on investments,,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures refer to the totals of “administrative assets” and “non-administrative assets”.,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
