年度（平成）,Fiscal Year,会社名,Company name,系統,Line,旅客営業キロ Kilometer length of track operated for passengers,駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
26,2014,総数,Total,,,406.8,373,32627385,20465914,12161471
27,2015,総数,Total,,,406.8,373,33388283,20959882,12428401
28,2016,総数,Total,,,406.8,373,33780108,21255283,12524827
29,2017,総数,Total,,,406.8,373,34327818,21611883,12715934
30,2018,総数,Total,,,406.8,373,34836197,21922207,12913990
30,2018,小田急電鉄,Odakyu Electric Railway,,,26.5,23,5095908,3250614,1845294
30,2018,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,4977999,3169642,1808357
30,2018,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,117909,80972,36937
30,2018,西武鉄道,Seibu Railway,,,93.4,71,7049658,4726791,2322867
30,2018,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,3307395,2197426,1109969
30,2018,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,135539,88113,47426
30,2018,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,5305,2790,2515
30,2018,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,279,59,220
30,2018,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2917990,1990626,927364
30,2018,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,348019,229042,118977
30,2018,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,3204,1671,1533
30,2018,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,190837,131784,59053
30,2018,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,79874,45794,34080
30,2018,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,61216,39486,21730
30,2018,東京急行電鉄,Tokyu Corporation,,,60,75,6061772,3908569,2153203
30,2018,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1852119,1116558,735561
30,2018,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,578805,379777,199027
