年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 (指定区間外) General national highways (outside designated sections)／橋数 Number,一般国道 (指定区間外) General national highways (outside designated sections)／橋長 Length,一般国道 (指定区間外) General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area
27,2015,0,13000,,総数,Tokyo-to,713,40007,77043,25,1741,3170,455,24345,44579,233,13921,29294
28,2016,0,13000,,総数,Tokyo-to,703,39349,75752,25,1741,3170,447,23869,43617,231,13739,28965
29,2017,0,13000,,総数,Tokyo-to,698,39071,75250,25,1741,3170,443,23565,43041,230,13765,29038
30,2018,0,13000,,総数,Tokyo-to,696,38998,75081,24,1698,3091,443,23573,43014,229,13727,28973
31,2019,0,13000,,総数,Tokyo-to,695,38974,74933,24,1698,3091,443,23573,43014,228,13703,28825
31,2019,1,13100,,区部,All ku,477,29687,57595,18,1494,2703,324,18249,32417,135,9944,22472
31,2019,2,13101,1,千代田区,Chiyoda-ku,7,547,1242,-,-,-,6,415,760,1,132,482
31,2019,2,13102,2,中央区,Chuo-ku,11,1205,2705,-,-,-,10,939,2323,1,266,382
31,2019,2,13103,3,港区,Minato-ku,19,1214,1832,-,-,-,7,495,736,12,719,1096
31,2019,2,13104,4,新宿区,Shinjuku-ku,22,1632,5254,-,-,-,14,749,2215,8,883,3039
31,2019,2,13105,5,文京区,Bunkyo-ku,10,662,1208,-,-,-,4,226,322,6,436,886
31,2019,2,13106,6,台東区,Taito-ku,4,409,308,-,-,-,3,256,122,1,153,186
31,2019,2,13107,7,墨田区,Sumida-ku,5,229,445,-,-,-,2,21,48,3,208,395
31,2019,2,13108,8,江東区,Koto-ku,33,2248,4509,-,-,-,21,589,893,12,1660,3615
31,2019,2,13109,9,品川区,Shinagawa-ku,9,977,2051,-,-,-,7,880,1910,2,97,141
31,2019,2,13110,10,目黒区,Meguro-ku,20,769,1089,-,-,-,16,593,839,4,176,250
31,2019,2,13111,11,大田区,Ota-ku,32,2006,3670,1,43,41,30,1929,3575,1,34,54
31,2019,2,13112,12,世田谷区,Setagaya-ku,49,2806,4793,6,376,754,40,2304,3846,3,126,193
31,2019,2,13113,13,渋谷区,Shibuya-ku,19,1120,2035,-,-,-,12,608,1102,7,512,933
31,2019,2,13114,14,中野区,Nakano-ku,19,794,1112,-,-,-,11,536,741,8,258,371
31,2019,2,13115,15,杉並区,Suginami-ku,39,1583,2696,-,-,-,33,1251,2209,6,332,487
31,2019,2,13116,16,豊島区,Toshima-ku,9,364,693,-,-,-,6,212,392,3,152,301
31,2019,2,13117,17,北区,Kita-ku,27,3544,4493,9,962,1747,9,1814,1368,9,768,1378
31,2019,2,13118,18,荒川区,Arakawa-ku,5,189,905,-,-,-,3,46,45,2,143,860
31,2019,2,13119,19,板橋区,Itabashi-ku,32,1928,5783,-,-,-,12,568,1057,20,1360,4726
31,2019,2,13120,20,練馬区,Nerima-ku,32,1917,5073,-,-,-,23,1477,4062,9,440,1011
31,2019,2,13121,21,足立区,Adachi-ku,33,1486,2674,-,-,-,23,1075,2078,10,411,596
31,2019,2,13122,22,葛飾区,Katsushika-ku,11,543,228,-,-,-,8,226,71,3,317,157
31,2019,2,13123,23,江戸川区,Edogawa-ku,30,1514,2797,2,113,161,24,1040,1703,4,361,933
31,2019,1,,,市郡部,All shi and gun,215,9217,17132,6,204,388,118,5302,10499,91,3711,6245
31,2019,1,13350,,島部,All islands,3,70,206,-,-,-,1,22,98,2,48,108
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,
4-4  地域， 道路の種類別歩道橋数， 橋長及び橋面積(平成27～31年) 4-4  NUMBER， LENGTH， AND AREA OF PEDESTRIAN BRIDGES BY DISTRICT AND KIND OF ROADS ( 2015-2019 ),,,,,,,,,,,,,,,,,,
この表は， 知事管理道路についての数値である。 各年4月1日現在,,,,,,,,,,,,,,,,,,
Figures refer only to the roads under control of Tokyo metropolitan governor. As of  Apr. 1 of the year stated.,,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部保全課 Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,
（単位　延長　メートル， 面積　平方メートル） (Length in meters， Area in square meters),,,,,,,,,,,,,,,,,,
