年次(平成),Year,受理 Received／総数 Total,受理 Received／総務 General Affairs,受理 Received／財政 Finance,受理 Received／文教 Education,受理 Received／都市整備 Urban Development,受理 Received／厚生 Welfare,受理 Received／経済・港湾 Economic Affairs， Ports & Harbors,受理 Received／環境・建設 Environment and Construction,受理 Received／公営企業 Public Enterprises,受理 Received／警察・消防 Police and Fire Fighting,受理 Received／議会運営 Rules and Administration of the Assembly,処理 Disposed／総数 Total,処理 Disposed／総務 General Affairs,処理 Disposed／財政 Finance,処理 Disposed／文教 Education,処理 Disposed／都市整備 Urban Development,処理 Disposed／厚生 Welfare,処理 Disposed／経済・港湾 Economic Affairs， Ports & Harbors,処理 Disposed／環境・建設 Environment and Construction,処理 Disposed／公営企業 Public Enterprises,処理 Disposed／警察・消防 Police and Fire Fighting,処理 Disposed／議会運営 R. and A. of the Assembly,取下げ With-drawal,審議未了 Shelved,継続審査 Continuing
26,2014,170,12,52,23,26,11,5,29,1,2,9,168,10,52,25,17,13,5,24,5,8,9,7,-,89
27,2015,152,5,55,24,34,16,-,11,1,4,2,121,3,53,14,17,12,-,15,1,4,2,4,-,116
28,2016,178,28,54,24,15,22,9,13,3,7,3,155,16,54,32,12,16,3,12,3,7,-,10,-,129
29,2017,170,13,53,24,16,30,14,10,2,-,8,146,20,53,22,10,16,15,8,1,-,1,5,60,88
30,2018,139,1,51,18,18,22,6,14,2,2,5,121,2,51,21,9,16,6,11,2,2,1,3,-,103
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,
22-3  都議会委員会別請願及び陳情件数 (平成26～30年) 22-3  ACCEPTANCE AND DISPOSAL OF PETITIONS BY COMMITTEES OF METROPOLITAN ASSEMBLY ( 2014-2018 ),,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都議会局議事部議案法制課 Source: Secretariat to the Metropolitan Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,
