地域階層,地域コード,地域,District,項番 Item number,警察署,Police station,総数 Total,凶悪犯 Felonious offenses／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 a)／殺人 Homicide,凶悪犯 Felonious offenses／侵入強盗 a)／傷人 Bodily injury,凶悪犯 Felonious offenses／侵入強盗 a)／強制性交等 c) 3),凶悪犯 Felonious offenses／侵入強盗 a)／普通 Others,凶悪犯 Felonious offenses／非侵入強盗 b)／殺人 Homicide,凶悪犯 Felonious offenses／非侵入強盗 b)／傷人 Bodily injury,凶悪犯 Felonious offenses／非侵入強盗 b)／強制性交等 c) 3),凶悪犯 Felonious offenses／非侵入強盗 b)／普通 Others,凶悪犯 Felonious offenses／放火 Arson,凶悪犯 Felonious offenses／強制性交等 c) 3),粗暴犯 Violent offenses／凶器準備集合 d),粗暴犯 Violent offenses／暴行 Violence,粗暴犯 Violent offenses／傷害 Bodily injury,粗暴犯 Violent offenses／傷害致死 e),粗暴犯 Violent offenses／脅迫 Intimidation,粗暴犯 Violent offenses／恐喝 Extortion,窃盗犯 f)／侵入窃盗 g),窃盗犯 f)／非侵入窃盗 h),知能犯 Intellectual offenses／詐欺 Fraud,知能犯 Intellectual offenses／横領 Embezzlement,知能犯 Intellectual offenses／偽造 Counterfeiting,知能犯 Intellectual offenses／汚職 Corruption,知能犯 Intellectual offenses／背任 Breach of trust,風俗犯 i)／賭博 Gambling,風俗犯 i)／わいせつ Indecency,その他 Others／占有離脱物横領 j),その他 Others／公務執行妨害 k),その他 Others／住居侵入 l),その他 Others／盗品等 m),その他 Others／器物損壊等 n),その他 Others／その他 Others
0,13000,総数,Tokyo-to,,,,114492,91,-,9,3,47,-,101,5,167,50,211,1,4668,3026,7,496,239,4575,74349,7950,178,605,2,7,17,1004,3866,462,835,97,10848,576
1,13100,区部,All ku,,,,86093,70,-,6,3,38,-,84,3,136,29,168,-,3812,2480,4,390,186,3197,55711,5970,142,539,1,6,14,796,2969,377,602,71,7824,465
2,13101,千代田区,Chiyoda-ku,1,麹町署,Kojimachi P. Sta．,399,-,-,-,-,1,-,-,-,-,-,1,-,29,11,-,3,2,16,195,61,3,2,-,-,-,6,14,6,6,1,29,13
2,13101,千代田区,Chiyoda-ku,2,丸の内署,Marunouchi P. Sta. ,1239,1,-,-,-,-,-,2,-,1,-,2,-,93,24,-,7,3,11,856,111,5,21,-,-,-,9,20,3,7,3,46,14
2,13101,千代田区,Chiyoda-ku,3,神田署,Kanda P. Sta.,449,-,-,-,-,1,-,-,-,1,-,1,-,33,25,-,3,2,28,230,43,-,4,-,-,-,8,17,2,5,-,42,4
2,13101,千代田区,Chiyoda-ku,4,万世橋署,Manseibashi P. Sta.,1147,-,-,-,-,-,-,1,-,-,-,-,-,58,22,-,4,2,54,754,78,-,15,-,-,-,6,57,4,8,1,74,9
2,13102,中央区,Chuo-ku,5,中央署,Chuo P. Sta.,668,-,-,-,-,1,-,-,-,1,2,1,-,53,23,-,1,3,34,407,56,4,15,-,-,-,4,22,1,2,-,35,3
2,13102,中央区,Chuo-ku,6,久松署,Hisamatsu P. Sta.　,319,-,-,-,-,-,-,-,-,-,-,-,-,14,10,-,-,-,13,182,41,1,2,-,-,-,7,18,3,3,-,22,3
2,13102,中央区,Chuo-ku,7,築地署,Tsukiji P. Sta.,985,-,-,-,-,1,-,1,-,2,-,1,-,69,35,-,9,-,21,693,56,3,13,-,-,-,8,14,10,4,-,40,5
2,13102,中央区,Chuo-ku,8,月島署,Tsukishima P. Sta. ,314,1,-,-,-,-,-,1,-,1,-,2,-,24,7,-,-,-,3,167,46,3,3,-,-,-,2,8,3,6,-,33,4
