地域階層,国名,Country,マーク Mark,総数 Total／輸出 Exports,総数 Total／輸入 Imports,海上 By sea／輸出 Exports,海上 By sea／輸入 Imports,航空 By air／輸出 Exports,航空 By air／輸入 Imports
0,総額,Total,,17861479,26343063,6039750,11656455,11821729,14686608
1,アジア,Asia,,10738903,14737734,3288363,7986694,7450540,6751040
2,大韓民国,Republic of Korea,,1128791,927270,281232,563271,847559,363999
2,中華人民共和国,China,,3176966,7853388,1249575,4455715,1927391,3397673
2,台湾,Taiwan,,1284822,1441199,297155,515020,987667,926179
2,香港,Hong Kong,,1591682,134799,288238,30360,1303444,104439
2,ベトナム,Vietnam,※,314450,874013,128664,622457,185785,251555
2,タイ,Thailand,,807908,1006154,292778,576541,515130,429614
2,シンガポール,Singapore,,1224563,617689,203298,140130,1021264,477560
2,マレーシア,Malaysia,,397050,703787,138954,343555,258096,360231
2,フィリピン,Philippines,※,297931,390286,125024,215336,172907,174950
2,インドネシア,Indonesia,※,244452,301447,160299,253687,84153,47760
2,カンボジア,Cambodia,※,4465,89105,2356,76234,2109,12871
2,ミャンマー,Myanmar,※,6297,56796,4344,47478,1953,9318
2,インド,India,※,186116,189212,77382,72913,108734,116300
2,パキスタン,Pakistan,※,20304,5764,20304,5764,-,-
2,バングラデシュ,Bangladesh,※,8240,69588,3419,55644,4821,13944
2,マカオ,Macau,※,10466,115,-,-,10466,115
1,中東,Middle East,,200227,120022,101304,31463,98924,88559
2,サウジアラビア,Saudi Arabia,※,19397,4721,9195,4689,10202,32
2,イスラエル,Israel,※,103547,99725,55987,17130,47560,82595
2,アラブ首長国連邦,United Arab Emirates,※,55540,7620,27886,4436,27654,3184
1,西欧,Western Europe,,2481315,5316787,773806,1453908,1707509,3862879
2,ノルウェー,Norway,※,7492,69091,2654,35590,4838,33500
2,スウェーデン,Sweden,※,19964,92154,7890,34689,12075,57466
2,デンマーク,Denmark,※,14327,131710,8779,53457,5548,78253
2,英国,Britain,,414360,472016,98154,115249,316205,356767
2,アイルランド,Ireland,,51062,545669,23010,22821,28052,522849
2,オランダ,Netherlands,※,404165,160151,191914,50884,212251,109267
2,ベルギー,Belgium,※,110927,122252,46059,29769,64868,92483
2,ルクセンブルク,Luxembourg,※,59727,1704,59727,1704,-,-
2,フランス,France,,200648,725857,76681,244149,123967,481708
2,ドイツ,Germany,,680528,1204660,157011,330595,523517,874064
2,スイス,Switzerland,※,289360,612164,18573,101720,270787,510444
2,ポルトガル,Portugal,※,3815,10599,-,-,3815,10599
2,スペイン,Spain,※,37615,157835,16882,86069,20733,71765
2,イタリア,Italy,,95086,737519,33697,214184,61388,523335
2,フィンランド,Finland,※,11816,33606,3231,23021,8585,10585
2,オーストリア,Austria,※,36265,95842,9062,46981,27203,48862
2,セルビア,Republic of Serbia,※,66,21016,66,21016,-,-
2,トルコ,Turkey,※,21357,30583,12370,14538,8987,16044
1,中東欧・ロシア等,Eastern Europe， Russia， etc.,,178015,477797,80505,225778,97510,252019
