年次(平成),Year,地域階層,地域コード,項番 Item number,地域,District,総数 Total／延長 Length,総数 Total／面積 Area,規格改良済 Standard improved／計 Total／延長 Length,規格改良済 Standard improved／計 Total／面積 Area,規格改良済 Standard improved／19.5ｍ以上 19.5ｍ and over／延長 Length,規格改良済 Standard improved／19.5ｍ以上 19.5ｍ and over／面積 Area,規格改良済 Standard improved／13.0ｍ以上 13.0ｍ and over／延長 Length,規格改良済 Standard improved／13.0ｍ以上 13.0ｍ and over／面積 Area,規格改良済 Standard improved／5.5ｍ以上 5.5ｍ and over／延長 Length,規格改良済 Standard improved／5.5ｍ以上 5.5ｍ and over／面積 Area,規格改良済 Standard improved／5.5ｍ未満 less than 5.5ｍ／延長 Length,規格改良済 Standard improved／5.5ｍ未満 less than 5.5ｍ／面積 Area,未改良 Unimproved／計 Total／延長 Length,未改良 Unimproved／計 Total／面積 Area,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／延長 Length,未改良 Unimproved／5.5ｍ以上 5.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／延長 Length,未改良 Unimproved／3.5ｍ以上 3.5ｍ and over／面積 Area,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／延長 Length,未改良 Unimproved／3.5ｍ未満 less than 3.5ｍ／面積 Area
27,2015,0,13000,,総数,Tokyo-to,24498186,186379779,18315681,168477508,321895,12731828,1017210,28564585,6239539,68172405,10737037,59008690,6182505,17902271,59159,599983,434140,2128594,5689206,15173694
28,2016,0,13000,,総数,Tokyo-to,24522639,187047726,18361686,169218870,323193,12964269,1019528,28472686,6251788,68580038,10767177,59201877,6160953,17828856,58382,594590,424812,2083669,5677759,15150597
29,2017,0,13000,,総数,Tokyo-to,24557683,187626292,18434055,169867818,321386,12916029,1023368,28597839,6281109,68897682,10808192,59456268,6123628,17758474,58175,592916,425025,2086447,5640428,15079111
30,2018,0,13000,,総数,Tokyo-to,24622612,188402007,18566095,170827557,319358,12838281,1026316,28725240,6281403,68816380,10939018,60447656,6056517,17574450,58032,586681,446645,2162641,5551840,14825128
31,2019,0,13000,,総数,Tokyo-to,24647916,188847170,18615840,171333075,319819,12873358,1026887,28726196,6295371,69037111,10973763,60696410,6032076,17514095,57988,586589,445672,2160330,5528416,14767176
31,2019,1,13100,,区部,All ku,11976665,103599046,10336978,97540566,294328,11758201,761361,19749408,3897127,38177326,5384162,27855631,1639687,6058480,25031,303134,220964,995287,1393692,4760059
31,2019,2,13101,1,千代田区,Chiyoda-ku,175573,2785250,175573,2785250,19575,798551,33860,889855,69355,806991,52783,289853,-,-,-,-,-,-,-,-
31,2019,2,13102,2,中央区,Chuo-ku,194262,2977204,186118,2935625,14770,594583,31410,926113,99943,1175975,39995,238954,8144,41579,999,13636,481,6641,6664,21302
31,2019,2,13103,3,港区,Minato-ku,303739,4392587,284593,4329807,29696,1241396,50738,1328653,87067,1101491,117092,658267,19146,62780,110,815,50,208,18986,61757
31,2019,2,13104,4,新宿区,Shinjuku-ku,356822,3407629,356822,3407629,11711,404645,35843,987528,79941,954117,229327,1061339,-,-,-,-,-,-,-,-
