地域階層,地域コード,地域,District,延べ面積 Area of floor space／29m2以下and under,延べ面積 Area of floor space／30～49m2,延べ面積 Area of floor space／50～69m2,延べ面積 Area of floor space／70～99m2,延べ面積 Area of floor space／100～149m2,延べ面積 Area of floor space／150m2以上 and over,所有関係別主世帯数 Principal households by tenure of dwelling／持ち家 Owner's dwelling,所有関係別主世帯数 Principal households by tenure of dwelling／借家 Rented dwelling
0,13000,総数,Tokyo-to,1385800,1236500,1238000,1226800,673000,302200,2962100,3100300
1,13100,区部,All ku,1077600,942800,892400,772400,390000,196600,1988200,2283600
2,13101,千代田区,Chiyoda-ku,6120,5100,5930,5520,2350,1200,11340,14880
2,13102,中央区,Chuo-ku,15970,20800,20640,12730,2820,890,31310,42560
2,13103,港区,Minato-ku,18940,25290,25960,20930,8330,4010,47060,56400
2,13104,新宿区,Shinjuku-ku,62060,42090,31450,25440,9150,5420,70240,105370
2,13105,文京区,Bunkyo-ku,33890,23190,19350,19460,9260,5230,51720,58670
2,13106,台東区,Taito-ku,20330,28610,21170,12000,5850,5110,49700,43370
2,13107,墨田区,Sumida-ku,29540,26140,26750,18500,8840,5880,53920,61730
2,13108,江東区,Koto-ku,43010,51120,62490,49430,14090,5740,108720,117180
2,13109,品川区,Shinagawa-ku,51970,39970,40610,33530,14830,6950,89350,98490
2,13110,目黒区,Meguro-ku,33340,28970,19240,20750,14280,8760,60950,64380
2,13111,大田区,Ota-ku,93080,76090,60970,53800,29850,15500,154860,174430
2,13112,世田谷区,Setagaya-ku,111130,72130,64790,75670,51420,28510,188700,214940
2,13113,渋谷区,Shibuya-ku,31280,25670,21230,18190,9190,4210,48550,61220
2,13114,中野区,Nakano-ku,63880,39340,22500,21200,14010,7110,64440,103610
2,13115,杉並区,Suginami-ku,89110,56940,35060,42750,33240,14490,114760,156840
2,13116,豊島区,Toshima-ku,49360,31670,27270,24550,11230,5980,66140,83930
2,13117,北区,Kita-ku,37970,44190,35010,27040,12130,6770,67820,95290
2,13118,荒川区,Arakawa-ku,16430,20000,24810,20120,7630,4270,53890,39370
