年度（平成）,Fiscal year,区分,Classification,都バス Metropolitan Buses／使用車両数 Vehicles used(両 Vehicles),都バス Metropolitan Buses／走行キロ数 Running distance km(1000km),都バス Metropolitan Buses／乗車人員 Passengers getting on trams／総数 Total(千人 a)),都バス Metropolitan Buses／乗車人員 Passengers getting on trams／定期 Commuter Pass(千人 a)),都バス Metropolitan Buses／乗車人員 Passengers getting on trams／普通 Tickets(千人 a)),都バス Metropolitan Buses／乗車料収入 Passengers fares revenue／総数 Total(千円 1000yen),都バス Metropolitan Buses／乗車料収入 Passengers fares revenue／定期 Commuter Pass(千円 1000yen),都バス Metropolitan Buses／乗車料収入 Passengers fares revenue／普通 Tickets(千円 1000yen),都バス Metropolitan Buses／燃料消費量 Fuel consumption(kl),都バス Metropolitan Buses／1日1車平均 Per a day per a vehicle／走行キロ数 Running distance(km),都バス Metropolitan Buses／1日1車平均 Per a day per a vehicle／乗車人員 Passengers(人 persons),都バス Metropolitan Buses／1日1車平均 Per a day per a vehicle／乗車料収入 Passenger fares revenue(円 yen)
26,2014,,,438369,46682,213504,89359,124145,35488639,13083646,22404993,20444,107,487,80956
26,2014,消費税差引後,Exclude consumption taxes,,,,,,33532463,12787100,20745363,,,,76494
27,2015,,,439140,46775,217135,90644,126491,36049940,13259034,22790906,21520,107,494,82092
27,2015,消費税差引後,Exclude consumption taxes,,,,,,34045018,12942327,21102691,,,,77516
28,2016,,,437194,46594,219009,91580,127429,36337362,13394787,22942575,21581,107,501,83115
28,2016,消費税差引後,Exclude consumption taxes,,,,,,34310854,13067729,21243125,,,,78466
29,2017,,,443289,46239,231212,102883,128329,38125817,15024831,23100986,21212,104,522,86007
29,2017,消費税差引後,Exclude consumption taxes,,,,,,36075780,14685978,21389802,,,,81382
30,2018,,,444229,45776,233121,104819,128302,38399325,15320431,23078894,22024,103,525,86440
30,2018,消費税差引後,Exclude consumption taxes,,,,,,36339445,14970099,21369346,,,,81808
,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (3)　都バスの運輸成績 （平成26～30年度） 4-9  OPERATION FACILITIES AND OPERATING RESULTS OF METROPOLITAN TRANSPORTATION (3)  OPERATING RESULTS OF METROPOLITAN BUSES ( Fiscal Years 2014-2018 ),,,,,,,,,,,,,,,
a) Thousand persons,,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
