年度(平成),Fiscal Year,地域コード,項番,地域,District,総額 Total,地方税 Local taxes,地方譲与税 Local transferred tax,利子割交付金 Interest income rate,配当割交付金等 Dividend income rate etc.,地方消費税 交付金 Grants to local consumption tax,ｺﾞﾙﾌ場利用税交付金 Grants to utilization tax for golf course,特別地方消費税交付金 Grants to special local consumption tax,自動車取得税交付金 Automobile acquisition tax grants,地方特例交付金 Exception grants to local government,地方交付税 Local allocation tax,交通安全対策特別交付金 Special grants for counter plan for traffic safety,分担金及び負担金 Shares and charges,使用料 Fees,手数料 Charges,国庫支出金 National grants-in-aid,国有提供施設等所在市町村助成交付金 Grants-in-aid for cities(shi)， towns(machi) and villages(mura) where national institutions are located,都支出金 Metropolitan grants-in-aid,財産収入 Revenues from properties,寄附金 Contributions,繰入金 Transferred,繰越金 Brought forward,諸収入 Miscellaneous,地方債 Debt service
28,2016,13200,,市部,All shi,1560674,715409,6525,1226,6319,84332,417,-,2969,2806,34709,475,14854,16170,14567,269398,2895,201360,4727,2327,46170,52938,14491,65589
29,2017,13200,,市部,All shi,1580644,719510,6495,1295,10662,85522,407,-,3724,3100,36723,459,15918,16245,14941,271306,2903,206855,6399,3059,50982,44560,16159,63421
30,2018,13200,,市部,All shi,1589009,726643,6537,1366,8250,72960,403,-,3895,3561,40408,433,17119,16426,15164,268864,2887,211017,6288,2686,42026,50402,17616,74058
30,2018,13201,1,八王子市,Hachioji-shi,200598,90603,984,163,980,10284,94,-,588,474,4688,70,2021,1957,2461,37254,-,26329,275,61,3724,4043,1365,12180
30,2018,13202,2,立川市,Tachikawa-shi,78903,40308,268,57,345,3545,-,-,159,163,27,22,719,903,562,14519,256,8922,64,97,124,5121,579,2143
30,2018,13203,3,武蔵野市,Musashino-shi,66479,40813,184,78,470,2827,-,-,109,46,33,13,539,922,713,8067,-,7229,151,49,723,2876,559,77
30,2018,13204,4,三鷹市,Mitaka-shi,69518,38294,263,78,471,3211,-,-,155,123,41,19,678,1014,465,10806,-,8490,1107,53,50,1828,539,1835
30,2018,13205,5,青梅市,Ome-shi,51420,19841,269,35,211,2449,52,-,160,111,2927,18,1090,493,557,8453,-,7241,203,45,766,1562,1284,3652
30,2018,13206,6,府中市,Fuchu-shi,102394,52827,380,89,538,4748,-,-,226,242,43,22,970,1498,1057,16515,4,11034,563,932,2355,2589,4031,1730
30,2018,13207,7,昭島市,Akishima-shi,44768,19847,171,31,189,2039,27,-,102,110,781,13,634,440,442,8843,13,6016,119,18,1488,1359,444,1642
30,2018,13208,8,調布市,Chofu-shi,95256,44352,333,88,533,3968,10,-,197,189,51,21,1484,1288,664,14981,-,12060,181,572,4589,4477,607,4612
30,2018,13209,9,町田市,Machida-shi,153407,68407,722,139,839,7444,41,-,431,410,2490,47,1686,1027,1873,28000,-,20043,362,64,6278,4872,1021,7210
30,2018,13210,10,小金井市,Koganei-shi,47376,21451,163,48,291,2012,-,-,97,88,39,9,421,544,437,8259,-,7068,17,15,1597,2637,270,1914
30,2018,13211,11,小平市,Kodaira-shi,66310,31652,262,61,366,3264,15,-,156,200,957,18,664,772,432,11696,-,8946,43,5,1344,1547,575,3336
30,2018,13212,12,日野市,Hino-shi,70562,30881,299,58,353,3203,-,-,178,177,684,19,632,745,721,11444,-,9627,304,112,3314,3208,1381,3224
30,2018,13213,13,東村山市,Higashimurayama-shi,56003,20966,230,42,253,2512,-,-,137,133,4264,14,356,694,557,10297,-,8154,97,80,1777,1336,415,3690
30,2018,13214,14,国分寺市,Kokubunji-shi,46589,23054,178,49,297,2084,-,-,106,85,40,9,707,657,435,6248,-,6047,105,32,2143,1376,1448,1490
30,2018,13215,15,国立市,Kunitachi-shi,31627,15070,115,31,188,1305,-,-,69,54,87,9,309,418,372,5315,-,4579,594,77,1100,579,255,1101
30,2018,13218,16,福生市,Fussa-shi,24951,7977,91,15,93,1009,-,-,54,39,2423,9,260,184,191,4994,1615,3638,26,3,1031,537,146,616
30,2018,13219,17,狛江市,Komae-shi,29697,12503,111,29,174,1300,-,-,66,68,1645,6,327,259,333,4407,0,4615,62,135,787,1076,212,1582
30,2018,13220,18,東大和市,Higashiyamato-shi,32418,12790,146,24,146,1439,-,-,87,81,2018,11,393,136,330,5934,-,4742,15,10,956,1421,183,1555
30,2018,13221,19,清瀬市,Kiyose-shi,31025,9595,117,20,118,1249,-,-,70,71,3949,6,222,213,179,6207,34,4607,9,28,812,1148,149,2223
30,2018,13222,20,東久留米市,Higashikurume-shi,43067,17055,185,34,203,1942,-,-,110,112,2837,12,392,403,336,7545,-,6184,42,73,1744,831,329,2699
30,2018,13223,21,武蔵村山市,Musashimurayama-shi,28348,10273,125,16,99,1257,-,-,75,86,2047,10,302,133,135,5899,459,4661,28,10,368,725,269,1371
30,2018,13224,22,多摩市,Tama-shi,54930,29238,251,48,288,2667,33,-,151,120,61,14,638,342,663,8348,24,7052,1177,65,1170,1568,442,571
30,2018,13225,23,稲城市,Inagi-shi,34627,15479,151,31,186,1469,78,-,91,87,825,8,410,362,341,4748,229,6094,67,8,20,767,287,2888
30,2018,13227,24,羽村市,Hamura-shi,23469,10524,102,16,96,1033,-,-,61,44,269,7,234,205,204,3656,251,3465,19,5,1307,608,205,1158
30,2018,13228,25,あきる野市,Akiruno-shi,29525,10735,174,20,121,1378,53,-,104,72,4095,11,401,171,271,4038,-,4995,99,21,131,656,173,1804
30,2018,13229,26,西東京市,Nishitokyo-shi,75743,32106,262,66,401,3324,-,-,156,175,3087,17,630,648,435,12391,-,9179,560,116,2328,1658,446,7759
