年次(平成),Year,総数 Total／一戸建 Detached／戸数 Number,総数 Total／一戸建 Detached／床面積の合計 Total floor space,総数 Total／長屋建 Tenement／戸数 Number,総数 Total／長屋建 Tenement／床面積の合計 Total floor space,総数 Total／共同 Apartment／戸数 Number,総数 Total／共同 Apartment／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／一戸建 Detached／戸数 Number,専用住宅 Exclusive dwellings／一戸建 Detached／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／長屋建 Tenement／戸数 Number,専用住宅 Exclusive dwellings／長屋建 Tenement／床面積の合計 Total floor space,専用住宅 Exclusive dwellings／共同 Apartment／戸数 Number,専用住宅 Exclusive dwellings／共同 Apartment／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／一戸建 Detached／戸数 Number,併用住宅 Multi-use dwellings／一戸建 Detached／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／長屋建 Tenement／戸数 Number,併用住宅 Multi-use dwellings／長屋建 Tenement／床面積の合計 Total floor space,併用住宅 Multi-use dwellings／共同 Apartment／戸数 Number,併用住宅 Multi-use dwellings／共同 Apartment／床面積の合計 Total floor space,その他の住宅 Others／一戸建 Detached／戸数 Number,その他の住宅 Others／一戸建 Detached／床面積の合計 Total floor space,その他の住宅 Others／長屋建 Tenement／戸数 Number,その他の住宅 Others／長屋建 Tenement／床面積の合計 Total floor space,その他の住宅 Others／共同 Apartment／戸数 Number,その他の住宅 Others／共同 Apartment／床面積の合計 Total floor space
26,2014,37319,3963140,12358,583132,92740,5145260,36853,3908554,12276,578628,87638,4907571,461,54169,82,4504,5076,236130,5,417,-,-,26,1559
27,2015,34456,3669279,14076,646910,93446,4933459,34077,3625833,13985,641101,88551,4681643,379,43446,91,5809,4892,251711,-,-,-,-,3,105
28,2016,34506,3650255,13558,597728,100211,4902798,34121,3604364,13472,593229,92689,4478796,383,45462,86,4499,7522,424002,2,429,-,-,-,-
29,2017,33340,3493450,13929,602387,103081,5427428,32997,3452666,13786,596796,95281,4935379,343,40784,143,5591,7798,491782,-,-,-,-,2,267
30,2018,34769,3614038,12748,568513,97296,4620040,34394,3565651,12668,563835,91017,4316953,366,47754,80,4678,6277,303016,9,633,-,-,2,71
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-10  着工新設住宅数（平成26～30年）3-10  NEW DWELLING CONSTRUCTION STARTS （ 2014～2018 ）,,,,,,,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「住宅着工統計」 Source: Ministry of Land， Infrastructure， Transport and Tourism ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル）(Space in m2),,,,,,,,,,,,,,,,,,,,,,,,,
