年次（平成）,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 a) 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 a) 1)
28,2016,総数,Total,42179951,21081603,10869976,10086896,124731,21098348,10883323,10090107,124918
29,2017,総数,Total,45804387,22918869,11401733,11386683,130453,22885518,11406313,11348794,130411
30,2018,総数,Total,49324276,24695537,11912527,12648140,134870,24628739,11915579,12580147,133013
30,2018,東京, Tokyo,6605,5929,3045,2884,-,676,232,431,13
30,2018,羽田（空港）, Haneda(Airport),17769557,8874080,4752140,4082250,39690,8895477,4819298,4036119,40060
30,2018,成田（空港）, Narita(Airport),31548114,15815528,7157342,8563006,95180,15732586,7096049,8543597,92940
,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成28～30年） 4-25 PERSONS WHO ENTERED OR DEPARTED FROM TOKYO BY SEAPORT OR AIRPORT ( 2016-2018 ),,,,,,,,,,,,
a) Under the agreement,,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) The foreign military forces， military civilians and their families who entered or departed Japan by civilian ships or aircraft under the agreements relating to the status of U.S. and U.N. military forces stationed in Japan.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
