地域階層,地区コード,項番,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く)  a),事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) b),事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 c),事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 d),事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 e),事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 f),事業所数 Establishments／電気機械器具 g),事業所数 Establishments／情報通信機械器具 h),事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) a),従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) b),従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 c),従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 d),従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 e),従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 f),従業者数 Persons engaged／電気機械器具 g),従業者数 Persons engaged／情報通信機械器具 h),従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) a),製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) b),製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 c),製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 d),製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 e),製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 f),製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 g),製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 h),製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,10322,251310,114874501,410310281,762831766,329856642,703,42,380,49,221,409,1807,197,17,600,194,236,182,108,121,1424,335,968,514,270,586,120,278,561,30903,1172,4347,560,3335,5876,42769,10767,342,8077,2456,3663,3720,2757,2503,18148,7531,16989,13079,10124,23423,8057,21250,9462,71621313,10837129,5154125,1065941,9773452,13569405,77096447,36096772,3376643,12438906,3455210,7531077,17374697,16652241,9073109,27548962,17302011,40136668,31813349,39725331,74479933,57269411,158660805,20778829
1,13100,,区部,All ku,7837,138638,60906980,153113913,291295370,129008478,470,17,329,36,174,367,1632,150,9,456,188,235,117,87,87,1152,248,663,324,86,335,49,168,458,13238,264,3445,436,1741,5066,37396,8491,219,5615,2183,3654,2402,2221,1305,13770,3839,9752,6701,1400,5549,1191,2651,6109,27354931,x,4262467,930432,3043437,11832458,65807271,28479227,2015583,8559445,3098523,x,10860471,13003241,5559465,21055011,7617539,19356312,18693478,2123784,10561088,2242683,4773673,11931906
2,13101,1,千代田区,Chiyoda-ku,91,2098,970132,2154523,4268193,1962855,1,-,3,-,-,6,70,-,-,1,-,-,-,-,-,1,-,1,1,3,1,-,-,3,5,-,41,-,-,37,1885,-,-,5,-,-,-,-,-,7,-,6,29,20,9,-,-,54,x,-,52989,-,-,42374,3862350,-,-,x,-,-,-,-,-,x,-,x,x,23240,x,-,-,191665
2,13102,2,中央区,Chuo-ku,108,1816,850616,1536897,3286719,1629179,14,-,6,-,-,5,69,1,-,1,-,-,-,-,-,2,-,2,1,1,1,-,-,5,235,-,66,-,-,39,1287,6,-,25,-,-,-,-,-,56,-,13,29,10,6,-,-,44,281370,-,90896,-,-,36986,2564844,x,-,x,-,-,-,-,-,x,-,x,x,x,x,-,-,123949
2,13103,3,港区,Minato-ku,84,1279,613291,1629011,3068374,1337029,9,2,2,-,3,-,47,-,-,-,-,-,3,1,-,3,3,4,-,-,4,-,-,3,226,15,12,-,25,-,739,-,-,-,-,-,61,4,-,21,61,45,-,-,50,-,-,20,228333,x,x,-,32945,-,1288325,-,-,-,-,-,1109329,x,-,17967,143957,83036,-,-,68626,-,-,74340
2,13104,4,新宿区,Shinjuku-ku,247,5986,2743211,5441410,10497973,4695495,12,2,12,-,2,15,174,2,-,3,-,-,-,-,-,4,-,1,5,2,3,3,-,7,594,39,88,-,8,237,4576,20,-,44,-,-,-,-,-,46,-,6,100,15,34,115,-,64,355719,x,92871,-,x,500130,8696645,x,-,79616,-,-,-,-,-,24616,-,x,241266,x,80491,227901,-,85839
2,13105,5,文京区,Bunkyo-ku,216,5257,2447233,5005846,9878811,4523681,10,-,7,3,1,3,141,3,-,5,1,1,3,-,-,1,-,1,15,-,3,1,1,16,180,-,81,30,7,13,4068,32,-,49,5,63,46,-,-,5,-,6,440,-,42,6,19,165,235623,-,101286,30024,x,11339,7350437,106098,-,80767,x,x,128882,-,-,x,-,x,1118614,-,91597,x,x,219087
2,13106,6,台東区,Taito-ku,362,3827,1419890,3489297,6315019,2619518,27,-,28,3,9,29,68,3,-,10,4,67,4,-,2,32,-,2,5,-,6,1,3,59,441,-,263,21,110,287,786,25,-,92,34,754,21,-,13,234,-,28,61,-,51,10,18,578,509491,-,415079,6778,140408,360335,1202401,53348,-,66826,42686,1663983,13142,-,x,224915,-,x,142443,-,83784,x,12442,1269553
2,13107,7,墨田区,Sumida-ku,703,12187,5552887,12460999,26576924,13136292,31,3,56,3,13,44,128,18,1,35,50,49,9,8,4,129,12,37,4,2,7,1,7,52,441,60,544,24,93,439,2311,3096,16,448,556,791,338,238,37,1291,192,530,30,14,80,9,88,521,864023,94446,1041584,38298,130644,592178,3459126,10483483,x,627322,781225,1645962,635176,1831800,106938,1906191,375499,687030,47875,x,135575,x,134155,831655
2,13108,8,江東区,Koto-ku,469,9242,4051423,13815654,27773378,12977010,40,1,14,17,15,32,159,7,3,21,7,2,21,14,4,52,5,19,3,1,10,1,9,12,1710,7,115,271,202,355,3197,539,64,304,60,20,381,273,140,559,94,373,117,40,136,8,166,111,4350310,x,262502,714874,471618,490237,6328696,3720041,x,716535,87825,x,2949720,1669083,1126705,1285202,142233,984807,296688,x,270058,x,406631,217048
2,13109,9,品川区,Shinagawa-ku,322,5216,2309136,4588918,9400327,4486897,15,1,3,-,2,6,52,6,-,34,3,1,5,1,5,47,15,57,14,11,23,2,10,9,226,6,34,-,28,55,678,389,-,431,40,8,75,11,51,534,335,808,292,156,474,23,484,78,285102,x,14356,-,x,86918,889863,1153765,-,691095,64967,x,308651,x,64184,662016,808423,1690095,518242,247256,881346,x,766884,185507
2,13110,10,目黒区,Meguro-ku,122,2478,1152245,2281940,4391392,1972778,15,-,2,-,3,3,8,5,-,7,-,-,1,-,2,19,9,12,8,5,11,2,3,7,484,-,9,-,40,14,68,68,-,52,-,-,23,-,26,341,175,284,186,75,259,48,33,293,625091,-,x,-,92339,11122,84541,182489,-,44423,-,-,x,-,x,564136,245208,546969,232294,162398,437705,x,35956,806370
2,13111,11,大田区,Ota-ku,1207,19736,8893359,21351190,40430356,17767604,51,3,13,2,9,16,52,17,1,96,10,3,17,26,26,240,95,220,75,30,103,12,62,28,1406,83,168,24,102,245,1078,837,46,1400,225,60,295,379,321,3517,1495,3308,1086,425,1771,295,774,396,3331139,341416,178594,x,189864,385406,1579749,2814996,x,2135623,482761,116265,1432484,1716596,1845410,5478035,3191878,6158034,1942269,633871,3509826,596938,1267628,612285
2,13112,12,世田谷区,Setagaya-ku,138,2015,852919,1987221,3894650,1774175,22,-,4,-,5,2,18,7,-,3,1,-,6,-,1,16,2,10,14,4,15,2,1,5,308,-,42,-,42,10,342,127,-,25,4,-,105,-,7,153,29,104,235,106,191,39,6,140,781480,-,24211,-,60191,x,504669,295736,-,13056,x,-,569979,-,x,198476,x,166938,415502,211927,270525,x,x,194545
2,13113,13,渋谷区,Shibuya-ku,42,827,351818,545008,1305762,705627,3,-,1,-,1,1,16,1,-,2,-,-,-,-,-,1,-,-,3,-,6,1,-,6,39,-,7,-,7,8,551,9,-,11,-,-,-,-,-,12,-,-,42,-,69,4,-,68,x,-,x,-,x,x,939679,x,-,x,-,-,-,-,-,x,-,-,x,-,74098,x,-,118220
2,13114,14,中野区,Nakano-ku,63,811,335956,639295,1289632,606756,8,2,7,-,1,3,14,2,-,-,-,-,1,-,-,5,-,4,5,1,3,-,1,6,120,14,107,-,4,45,144,17,-,-,-,-,4,-,-,89,-,54,100,5,36,-,19,53,212837,x,82896,-,x,76225,224828,x,-,-,-,-,x,-,-,99025,-,96619,267545,x,x,-,x,87301
2,13115,15,杉並区,Suginami-ku,88,1081,446455,717189,1720876,934808,9,-,6,-,5,3,19,-,-,3,-,-,1,2,-,3,1,4,9,1,8,2,3,9,105,-,88,-,31,15,178,-,-,36,-,-,5,12,-,17,6,37,235,12,127,49,32,96,212757,-,123152,-,41307,22412,393453,-,-,34347,-,-,x,x,-,13641,x,44037,311185,x,220107,x,48682,134375
2,13116,16,豊島区,Toshima-ku,122,2350,1008582,2079107,4411700,2182363,6,-,11,1,3,7,49,3,-,3,2,1,1,-,-,7,3,1,7,1,5,3,-,8,90,-,98,13,80,69,1293,51,-,41,16,6,9,-,-,56,71,12,103,71,50,84,-,137,170468,-,82121,x,142291,48904,2412066,132772,-,62833,x,x,x,-,-,62850,116730,x,139063,x,273681,137518,-,401999
2,13117,17,北区,Kita-ku,236,8399,4308420,8531965,17074780,7968529,14,-,11,-,1,10,73,6,-,8,2,7,1,1,2,20,7,12,15,2,13,2,8,21,200,-,140,-,11,106,4365,886,-,69,12,56,9,29,24,253,108,202,788,23,227,90,201,600,246218,-,167744,-,x,131725,8048590,1367596,-,63286,x,91730,x,x,x,551618,261934,633473,2356753,x,385977,x,580432,1723339
2,13118,18,荒川区,Arakawa-ku,409,5280,2023580,4662355,8391592,3477207,15,1,12,-,10,29,102,5,-,22,14,12,4,3,3,67,12,21,16,4,15,-,4,38,541,22,100,-,71,277,1481,109,-,227,132,162,43,15,34,649,225,178,192,90,279,-,31,422,1164645,x,106789,-,92317,372892,2533365,203648,-,238657,126392,231555,45286,27091,43921,861695,304284,257115,248002,x,578912,-,65079,708486
2,13119,19,板橋区,Itabashi-ku,589,14889,7338636,21033702,37825193,15933818,32,-,18,-,9,31,186,26,2,29,4,3,7,7,13,45,11,42,53,6,16,5,12,32,1140,-,299,-,92,542,5736,834,63,374,39,45,382,895,146,529,188,648,1707,35,286,39,252,618,2503371,-,190863,-,195943,925365,9542375,2265811,x,597562,54196,x,1249528,5434023,281209,738717,436055,1595931,8741685,39823,699689,22248,696683,1277568
2,13120,20,練馬区,Nerima-ku,168,3065,1299016,3725594,6618588,2730436,30,-,11,-,8,12,20,3,-,12,-,2,5,-,2,13,3,7,12,1,12,2,4,9,852,-,102,-,157,216,369,87,-,126,-,15,55,-,170,147,64,81,128,16,180,172,35,93,1351882,-,85945,-,378350,509744,470908,1124835,-,174205,-,x,335027,-,x,198844,127036,111357,193237,x,297578,x,47780,85962
2,13121,21,足立区,Adachi-ku,748,12851,4726087,13930750,25397428,10696688,47,-,38,2,39,49,61,18,2,55,24,55,8,5,7,151,24,59,16,2,23,4,14,45,2209,-,426,13,380,840,794,996,30,676,299,1127,267,184,152,1632,256,851,297,182,301,50,233,656,3406785,-,388471,x,672217,1695827,1479712,3601794,x,940020,466731,2502329,696326,1775666,483988,2247677,403647,1634299,533817,x,588861,76635,351241,1154278
2,13122,22,葛飾区,Katsushika-ku,643,8584,3277281,9999573,17368831,6868854,25,2,20,2,14,30,51,7,-,59,54,22,6,4,9,149,10,63,24,4,24,4,10,50,465,18,202,16,91,595,622,162,-,663,586,395,93,18,75,1995,157,665,296,60,630,142,71,567,2177217,x,320847,x,82506,3108818,954388,491465,-,1281201,704371,551024,344290,51693,97214,2884329,288390,1088577,440831,67355,1082932,297899,121299,904110
2,13123,23,江戸川区,Edogawa-ku,660,9364,3934807,11506469,20108872,8020879,34,-,44,3,21,31,55,10,-,47,12,10,14,15,7,145,36,84,19,5,23,1,16,28,1221,-,413,24,160,622,848,201,-,517,175,152,190,163,109,1627,383,1513,208,45,261,8,189,335,4004490,-,404971,x,233096,2409837,996261,389173,-,668788,233011,248443,678273,376756,682607,2935253,646694,3497203,360531,110445,459102,x,212783,524425
1,13200,,市部,All shi,2177,103752,49983905,232083281,408040739,165171571,191,20,47,7,43,36,168,39,5,125,6,1,48,14,31,232,78,273,168,173,236,68,85,83,16572,866,860,80,1529,690,5051,1988,88,2133,273,9,979,421,1110,3951,3570,6702,5654,8485,17336,6670,15725,3010,41734497,10159912,875362,96423,6501169,1538936,10637310,6869690,907020,3320292,356687,x,4690358,3281701,3341768,x,9492243,19782235,11832170,37306302,62023167,54647292,104310297,8332113
2,13201,1,八王子市,Hachioji-shi,509,15579,6621915,19085194,37349707,17483304,34,4,20,2,12,6,31,13,2,33,-,-,11,1,7,54,18,71,48,47,52,15,16,12,2555,111,332,30,137,94,1569,909,29,629,-,-,164,6,209,804,388,2205,1287,1303,1740,371,487,220,6951888,287425,362502,x,180493,140468,3751716,3227740,x,1020105,-,-,590518,x,653793,986657,660114,7803742,2779214,2784891,2798913,659070,907958,321237
2,13202,2,立川市,Tachikawa-shi,81,3909,1847297,6943221,9127051,2351311,14,-,-,-,3,3,8,1,-,5,-,-,2,-,1,8,4,6,5,5,7,1,5,3,974,-,-,-,980,53,451,43,-,184,-,-,18,-,6,118,83,56,118,186,309,11,283,36,1737494,-,-,-,4575704,36911,473426,x,-,373018,-,-,x,-,x,160254,235170,146703,117109,308697,537597,x,223852,34032
2,13203,3,武蔵野市,Musashino-shi,27,364,153689,259989,564145,281793,4,-,-,-,-,-,6,-,-,1,-,1,1,-,-,1,1,2,1,3,4,-,-,2,39,-,-,-,-,-,108,-,-,8,-,9,16,-,-,4,20,21,16,54,57,-,-,12,39583,-,-,-,-,-,132208,-,-,x,-,x,x,-,-,x,x,x,x,92049,105121,-,-,x
2,13204,4,三鷹市,Mitaka-shi,73,1733,759729,1658239,3232075,1480835,5,-,1,-,-,1,12,1,-,4,1,-,-,-,-,9,2,9,8,5,9,3,2,1,354,-,5,-,-,8,219,42,-,51,6,-,-,-,-,170,36,103,150,87,163,153,180,6,366324,-,x,-,-,x,362911,x,-,78281,x,-,-,-,-,205907,x,113586,343664,152621,241331,582462,x,x
2,13205,5,青梅市,Ome-shi,229,7244,3295465,11356631,18620324,6940893,14,2,7,-,2,4,9,2,1,25,1,-,5,6,2,27,7,51,13,13,21,6,6,5,718,89,213,-,15,58,160,56,15,499,19,-,127,115,28,417,151,1012,558,1485,656,182,542,129,1296543,x,164607,-,x,52767,440844,x,x,783330,x,-,230370,1170991,x,625050,226154,2299220,1219071,4756218,1796336,304736,2677493,215038
2,13206,6,府中市,Fuchu-shi,111,13081,6284452,41512521,78623456,32644675,8,2,2,-,1,-,11,-,1,5,1,-,5,-,6,10,6,5,4,8,24,8,-,4,1100,164,36,-,16,-,318,-,22,64,6,-,90,-,545,110,433,136,235,581,5609,3518,-,98,2517166,x,x,-,x,-,1248340,-,x,128335,x,-,321907,-,1920230,163477,728134,457938,303825,1727634,18623932,44940030,-,187861
2,13207,7,昭島市,Akishima-shi,114,9169,4896759,30667747,48387252,18021877,12,-,-,1,4,2,2,1,-,1,-,-,2,1,2,19,4,21,8,5,14,1,7,7,2586,-,-,8,100,38,14,11,-,26,-,-,213,7,22,324,41,547,294,1779,2870,18,163,108,6117780,-,-,x,345819,x,x,x,-,x,-,-,x,x,x,369647,49646,1538507,861328,22727216,13662744,x,195267,89489
