年次(平成),Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
26,2014,移出 ,Leaving,,総数,Total,154808,44155,12281,4862,1916,12970,-,9478,7861,3153,29641,310,2787,17983,7411
27,2015,移出 ,Leaving,,総数,Total,146116,16297,11493,6620,1718,37146,-,4698,6483,6482,25598,802,2268,20560,5951
28,2016,移出 ,Leaving,,総数,Total,135171,19305,10396,4816,2247,19292,-,3350,12521,4651,28762,604,2006,18819,8402
29,2017,移出 ,Leaving,,総数,Total,168028,15471,11115,4095,54633,8536,-,12955,5630,4084,25848,862,2824,14049,7926
30,2018,移出 ,Leaving,,総数,Total,114277,18806,10715,4514,4974,7370,-,4977,6406,4934,25651,1060,2113,16459,6298
30,2018,移出 ,Leaving,1,農水産品,Agriculture and aquatic products,12457,848,1397,47,190,575,-,1253,786,194,5297,480,30,1102,258
30,2018,移出 ,Leaving,2,林産品,Forestry products,2681,6,1,-,-,207,-,28,16,49,1435,84,86,577,192
30,2018,移出 ,Leaving,3,鉱産品,Mineral products,342,-,-,330,-,-,-,10,-,-,-,-,-,1,1
30,2018,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,21388,2980,569,1011,1369,2765,-,1933,1833,2080,2535,29,157,3152,975
30,2018,移出 ,Leaving,5,化学工業品,Chemical industrial products,2394,5,1,-,508,441,-,140,31,136,813,8,161,100,50
30,2018,移出 ,Leaving,6,軽工業品,Light industrial products,563,-,-,-,-,11,-,40,-,148,50,8,6,281,19
30,2018,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,5340,495,349,23,206,288,-,-,119,352,1572,44,14,1538,340
30,2018,移出 ,Leaving,8,特殊品,Special goods,59394,7560,7468,3077,2689,2399,-,1541,3514,1786,13131,399,1659,9708,4463
30,2018,移出 ,Leaving,9,分類不能のもの,Unclassified goods,9718,6912,930,26,12,684,-,32,107,189,818,8,-,-,-
26,2014,移入,Entering,,総数,Total,705898,142336,46735,47629,35697,78404,-,26571,64698,41970,136573,11253,19139,44175,10718
27,2015,移入,Entering,,総数,Total,698534,111706,36878,65827,21736,180116,-,19384,40802,16280,126905,9721,15502,37185,16492
28,2016,移入,Entering,,総数,Total,1031278,119176,35921,47634,126616,80874,-,11071,62576,350942,113071,19146,10475,41252,12524
29,2017,移入,Entering,,総数,Total,569625,95126,36021,65512,26984,66237,-,23518,36338,35928,94094,21561,16170,40502,11634
30,2018,移入,Entering,,総数,Total,534941,79560,22583,27576,70250,67206,-,15439,42729,16271,97812,28008,15314,40329,11864
30,2018,移入,Entering,1,農水産品,Agriculture and aquatic products,29330,6542,5177,96,567,3165,-,763,1634,422,8043,729,19,1860,313
30,2018,移入,Entering,2,林産品,Forestry products,9448,2571,282,108,198,683,-,97,435,462,3746,39,450,284,93
30,2018,移入,Entering,3,鉱産品,Mineral products,247242,16707,7257,16632,62338,47623,-,1,26814,4714,23970,25571,6500,5907,3208
30,2018,移入,Entering,4,金属機械工業品,Metal and machinery products,52332,10221,1398,2888,2295,4835,-,3222,3114,3158,10729,112,1268,6989,2103
30,2018,移入,Entering,5,化学工業品,Chemical industrial products,102541,25927,746,6795,2735,5263,-,8133,5717,3888,25872,120,5615,9183,2547
30,2018,移入,Entering,6,軽工業品,Light industrial products,9654,1813,383,133,262,272,-,281,451,200,2369,182,282,2655,371
30,2018,移入,Entering,7,雑工業品,Miscellaneous industrial products,14777,2357,761,571,311,760,-,341,666,1142,2984,165,180,3709,830
30,2018,移入,Entering,8,特殊品,Special goods,67499,13292,6565,280,1327,4489,-,2429,3689,2112,19095,1080,1000,9742,2399
30,2018,移入,Entering,9,分類不能のもの,Unclassified goods,2118,130,14,73,217,116,-,172,209,173,1004,10,-,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,
12-8  品種別出入貨物量 (島しょ港湾) (平成26～30年) 12-8  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2014-2018 ),,,,,,,,,,,,,,,,,,,,,
注) 品種別出入貨物量には，自動車航送船（フェリー）分は含まない。,,,,,,,,,,,,,,,,,,,,,
Note: Cargoes transported by ferry are not included in this table.,,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,
