年度(平成),Fiscal year,総数 Total,警察官 Police officers／計 Total,警察官 Police officers／警部以上 Police inspectors  or higher ranks,警察官 Police officers／警部補 Assistant Police inspectors,警察官 Police officers／巡査部長 Police sergeants,警察官 Police officers／巡査 Policemen,警察官以外の職員 Staff other than police officers
30,2018,46581,43566,3820,12782,13222,13742,3015
,,,,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,
22-5  職員数 (6) 警察 (平成30年4月1日) 22-5  GOVERNMENT EMPLOYEES (6) POLICE DEPARTMENT ( Apr. 1， 2018 ),,,,,,,,
この表の職員数は定数である。,,,,,,,,
Figures are the authorized number of staff.,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department,,,,,,,,
