年次(平成),Year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,国有 National forest／計 Total,国有 National forest／林野庁 Forestry Agency,国有 National forest／その他官庁 Other government agencies,民有 Non-national forests／計 Total,民有 Non-national forests／独立行政法人等 Incorporated administrative agency 1),民有 Non-national forests／公有 Publicly owned／都道府県 Prefecture,民有 Non-national forests／公有 Publicly owned／森林整備法人 Forest improvement corporation,民有 Non-national forests／公有 Publicly owned／市区町村 Cities， wards， towns and villages,民有 Non-national forests／公有 Publicly owned／財産区 Property wards,民有 Non-national forests／私有 Privately owned
12,2000,0,13000,総数,Tokyo-to,,78403,4993,4582,411,73410,32,11903,19,7581,1700,52175
17,2005,0,13000,総数,Tokyo-to,2),73463,5217,4768,449,68246,38,11776,630,5523,1670,48609
22,2010,0,13000,総数,Tokyo-to,,78729,7162,6969,193,71567,158,11473,666,7670,1666,49934
27,2015,0,13000,総数,Tokyo-to,,76285,5011,4837,174,71274,194,12247,1072,7643,1660,48458
27,2015,1,13100,区部,All ku,,-,-,-,-,-,-,-,-,-,-,-
27,2015,1,13200,市部,All shi,,20297,1279,1127,152,19018,64,1050,222,1034,216,16432
27,2015,2,13201,八王子市,Hachioji-shi,,7815,1176,1127,49,6639,56,587,36,262,-,5698
27,2015,2,13202,立川市,Tachikawa-shi,,4,1,-,1,3,-,-,-,-,-,3
27,2015,2,13203,武蔵野市,Musashino-shi,,-,-,-,-,-,-,-,-,-,-,-
27,2015,2,13204,三鷹市,Mitaka-shi,,2,1,-,1,1,-,-,-,-,-,1
27,2015,2,13205,青梅市,Ome-shi,,6464,33,-,33,6431,-,30,160,59,-,6182
27,2015,2,13206,府中市,Fuchu-shi,,-,-,-,-,-,-,-,-,-,-,-
27,2015,2,13207,昭島市,Akishima-shi,,11,-,-,-,11,-,-,-,-,-,11
27,2015,2,13208,調布市,Chofu-shi,,12,-,-,-,12,-,3,-,-,-,9
27,2015,2,13209,町田市,Machida-shi,,771,1,-,1,770,1,56,-,40,-,673
27,2015,2,13210,小金井市,Koganei-shi,,5,-,-,-,5,-,-,-,-,-,5
27,2015,2,13211,小平市,Kodaira-shi,,6,-,-,-,6,-,-,-,1,-,5
27,2015,2,13212,日野市,Hino-shi,,100,1,-,1,99,-,11,-,1,-,87
27,2015,2,13213,東村山市,Higashimurayama-shi,,80,-,-,-,80,-,1,-,-,-,79
27,2015,2,13214,国分寺市,Kokubunji-shi,,6,-,-,-,6,-,-,-,-,-,6
27,2015,2,13215,国立市,Kunitachi-shi,,3,-,-,-,3,-,1,-,1,-,1
27,2015,2,13218,福生市,Fussa-shi,,6,1,-,1,5,-,-,-,3,-,2
27,2015,2,13219,狛江市,Komae-shi,,1,-,-,-,1,-,-,-,-,-,1
27,2015,2,13220,東大和市,Higashiyamato-shi,,202,-,-,-,202,-,172,-,9,-,21
27,2015,2,13221,清瀬市,Kiyose-shi,,9,-,-,-,9,-,-,-,-,-,9
27,2015,2,13222,東久留米市,Higashikurume-shi,,16,-,-,-,16,-,-,-,-,-,16
27,2015,2,13223,武蔵村山市,Musashimurayama-shi,,172,-,-,-,172,-,78,-,-,-,94
27,2015,2,13224,多摩市,Tama-shi,,36,-,-,-,36,-,-,-,-,-,36
27,2015,2,13225,稲城市,Inagi-shi,,146,65,-,65,81,-,3,-,-,-,78
27,2015,2,13227,羽村市,Hamura-shi,,7,-,-,-,7,-,-,-,-,-,7
27,2015,2,13228,あきる野市,Akiruno-shi,,4413,-,-,-,4413,-,106,26,658,216,3407
27,2015,2,13229,西東京市,Nishitokyo-shi,,10,-,-,-,10,7,2,-,-,-,1
