年(平成),Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）
28,2016,総数,Tokyo-to,…,89274124
29,2017,総数,Tokyo-to,…,85554275
30,2018,総数,Tokyo-to,…,83952048
30,2018,切花（本）,Cut flowers (stems),851050753,56277053
30,2018,切葉（枚）,Cut leaves (pieces),64830854,2203325
30,2018,切枝（束）,Cut tree branches (bundles),27844647,5573162
30,2018,鉢物（鉢）,Potted flowers (pots),26673629,14809860
30,2018,苗物（箱）,Bedding plants (boxes),2803921,4657254
30,2018,その他花き（箱）,Others (boxes),666968,431395
,,,,,
東京都統計年鑑（平成30年）TOKYO STATISTICAL YEARBOOK ( 2018 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,
10-4  花きの部類別取扱高 （平成28～30年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（ 2016-2018 ）,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,
