品目,Item,区分,Classification,区分,Classification,区分,Classification,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,　　　　　,,,17861479,,6039750,,11821729
食料品及び動物,Foodstuffs and animals,,,,,,,　　　　　,,,145115,,100834,,44281
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,159,36744,158,32056,1,4688
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,19623,,15493,,4130
原材料,Raw material,,,,,,,,,,118468,,106144,,12324
原材料,Raw material,パルプ及び古紙,Pulp and waste papers,,,,,1，000t,,1573,36232,1573,36232,-,-
原材料,Raw material,金属鉱及びくず,Metalliferous ores and metal scraps,,,,,1，000t,,434,28351,434,28351,-,-
鉱物性燃料,Mineral fuels,,,,,,,,,,4852,,4040,,812
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,27,4427,27,4062,0,365
化学製品,Chemical products,,,,,,,　　　　　,,,1948737,,683882,,1264856
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,　　　　　,,,165783,,44445,,121338
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,704,500336,673,272789,31,227548
原料別製品,Manufactured goods by raw materials,,,,,,,　　　　　,,,1210998,,471337,,739661
原料別製品,Manufactured goods by raw materials,ゴム製品,Rubber goods,,,,,1，000t,,68,91806,66,67576,3,24230
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,　　　　　,,,239445,,66862,,172583
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,ガラス及び同製品,Glass and glasswares,,,          ,,,117449,,25543,,91906
原料別製品,Manufactured goods by raw materials,鉄鋼,Iron and steel products,,,,,1，000t,,192,48017,192,48017,-,-
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,79,376086,60,89664,19,286422
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,　　　　　,,,341296,,136329,,204967
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,　　　　　,,,8598043,,3720279,,4877765
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,　　　　　,,,3979648,,2104120,,1875529
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,原動機,Power generating machinery,,,1，000t,,202,621147,170,351035,32,270112
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,　　　　　,,,614911,,426301,,188610
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,（電算機類 (含周辺機器)),(Computers (including peripheral devices)),100万台,1mil.units,6,169088,1,81442,5,87646
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,,,,,　　　　　,,,4012354,,1083849,,2928505
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,重電機器,Heavy electrical power machinery,,,　　　　　,,,217588,,85919,,131669
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気回路等の機器,Electrical apparatuses,,,　　　　　,,,695857,,198555,,497302
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,映像機器,Visual apparatuses,,,10，000台,10，000 units,345,135800,110,41255,235,94545
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,音響・映像機器の部分品,Parts of audio/visual apparatuses,,,1，000t,,4,136662,2,32348,2,104314
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,通信機,Communication instruments,,,          ,,,221582,,31283,,190299
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,,,          ,,,990590,,124725,,865865
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,半導体等電子部品,Semiconductors and other electronic parts,(IC）,(Integrated circuits),1，000万個,10 mil. Units,3356,580565,1190,73252,2165,507313
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,電気計測機器,Electrical measuring instruments,,,　　　　　,,,572740,,184329,,388411
機械類及び輸送用機器,Machinery and transport equipment,電気機器,Electric machinery,コンデンサー,Condensers,,,1億個,100 mil. units,944,157536,34,28907,911,128629
