"選挙名称","時現在","投票者数[人]","投票率[%]"
"令和2年7月5日執行　東京都知事選挙","8時現在","1545","0.77 "
"令和2年7月5日執行　東京都知事選挙","9時現在","3997","1.99"
"令和2年7月5日執行　東京都知事選挙","10時現在","7773","3.88"
"令和2年7月5日執行　東京都知事選挙","11時現在","14556","7.26"
"令和2年7月5日執行　東京都知事選挙","12時現在","21393","10.67"
"令和2年7月5日執行　東京都知事選挙","13時現在","27260","13.59"
"令和2年7月5日執行　東京都知事選挙","14時現在","32867","16.39"
"令和2年7月5日執行　東京都知事選挙","15時現在","39361","19.63"
"令和2年7月5日執行　東京都知事選挙","16時現在","46329","23.10"
"令和2年7月5日執行　東京都知事選挙","17時現在","53114","26.48"
"令和2年7月5日執行　東京都知事選挙","18時現在","60551","30.19"
"令和2年7月5日執行　東京都知事選挙","19時現在","67459","33.64 "
"令和2年7月5日執行　東京都知事選挙","20時終了(最終結果)","98917","49.32 "

"令和2年7月5日執行　東京都知事選挙投票結果","Ver202007",,
