区分,２８年度決算額Ａ（億円）,２８年度補正後予算額Ｂ（億円）,２７年度決算額Ｃ（億円）,比較増減対２８年度補正後Ａ－Ｂ（億円）,比較増減対２８年度増減率（％）,比較増減対２７年度決算額Ａ－Ｃ（億円）,比較増減対２７年度増減率（％）
都税総額,52360,52215,51836,145,0.3,524,1
法人二税,18926,18747,17635,179,1,1291,7.3
固定・都市計,14095,14082,13927,12,0.1,167,1.2
個人都民税,8788,8804,8819,-17,-0.2,-32,-0.4
繰入地方消費税,6327,6389,7004,-63,-1,-678,-9.7
その他,4225,4191,4449,34,0.8,-224,-5
