区分,平成２７年度決算額（億円）,平成２７年度補正後予算額（億円）,平成２６年度決算額（億円）,差引増減額等対２７年度補正後（億円）,差引増減額等増減率（％）,差引増減額等対２６年度決算（億円）,差引増減額等増減率（％）
個人都民税,8819,8910,8624,-91,-1,195,2.3
法人都民税,8708,8977,9155,-269,-3,-448,-4.9
都民税利子割,363,375,440,-11,-3,-76,-17.4
個人事業税,492,489,483,2,0.4,8,1.7
法人事業税,8928,8789,7287,138,1.6,1641,22.5
繰入地方消費税,7004,7022,4227,-18,-0.3,2777,65.7
不動産取得税,777,770,766,7,0.9,10,1.3
都たばこ税,179,178,181,0,0.2,-3,-1.5
ゴルフ場利用税,6,6,6,0,-0.2,0,2.8
自動車取得税,138,138,92,0,0.1,47,50.8
軽油引取税,409,407,412,1,0.3,-3,-0.7
自動車税,1056,1055,1068,1,0.1,-12,-1.1
鉱区税,0,0,0,0,0,-,0
固定資産税,11673,11669,11447,4,0,226,2
特別土地保有税,0,0,0,0,-94.4,0,-91.9
狩猟税,0,0,0,0,0,0,-17.9
事業所税,1009,996,984,12,1.2,25,2.5
都市計画税,2255,2253,2210,1,0.1,45,2
宿泊税,21,21,16,-1,-2.5,5,27.9
旧法による税,0,0,-,0,-94.9,0,皆増
計,51836,52058,47399,-222,-0.4,4436,9.4
法人二税,17635,17766,16442,-131,-0.7,1193,7.3
固定・都市計,13927,13922,13657,6,0,271,2
