区分,２６年度決算額Ａ（億円）,２６年度補正後予算額Ｂ（億円）,２５年度決算額Ｃ（億円）,比較増減対２６年度補正後A-B（億円）,比較増減対２６年度増減率（％）,比較増減対２５年度決算額A-C（億円）,比較増減対２５年度増減率（％）
都税総額,47399 ,47218 ,44910 ,182 ,0.4 ,"2,489",5.50
法人二税,16442 ,16306 ,15230 ,137 ,0.8 ,"1,212",8.00
固定一都市計,13657 ,13640 ,13428 ,16 ,0.1 ,229 ,1.70
個人都民税,8624 ,8611 ,8242 ,13 ,0.2 ,382 ,4.60
繰入地方消費税,4227 ,4283 ,3489 ,-56,-1.3,738 ,21.1
その他,4449 ,4378 ,4521 ,71 ,1.6 ,-72,-1.6
