区名,昭和58年(%),昭和59年(%),昭和60年(%),昭和61年(%),昭和62年(%),昭和63年(%),昭和64年(%),平成２年(%),平成３年(%),平成４年(%),平成５年(%),平成６年(%),平成７年(%),平成８年(%),平成９年(%),平成10年(%),平成11年(%),平成12年(%),平成13年(%),平成14年(%),平成15年(%),平成16年(%),平成17年(%),平成18年(%),平成19年(%),平成20年(%),平成21年(%),平成22年(%),平成23年(%),平成24年(%),平成25年(%),平成26年(%),平成27年(%),平成28年(%),平成29年(%),平成30年(%),平成31年(%),令和2年(%),令和3年(%),令和4年(%)
千代田区,2.16,3.71,3.17,2.14,3.22,4.06,5.92,4.66,3.23,3.66,2.08,4.04,2.99,1.35,0.94,0.48,-0.01,0.47,2.85,-0.02,0.99,2.76,1.04,0.69,1.5,1.01,0.62,1.19,-0.18,1.07,-1.55,0.72,3.97,1.53,0.3,1.67,1.42,3.71,1.29,-0.13
中央区,1.84,2.21,2.16,0.8,3.44,3.4,3.53,4.24,1.99,7.08,3.4,3.41,2.59,4.34,4.63,0.63,0.62,-0.27,0.38,-0.06,4.95,0.4,-0.3,0.81,-1.37,0.02,0.11,-0.09,-0.34,0.31,0.6,-1.17,1.61,-0.98,0.16,-0.09,-0.24,1.67,-0.06,-0.64
港区,6.63,4,3.46,5.99,8.5,10.5,6.56,5.87,8.44,4.33,4.11,8.16,5.4,4.81,1.95,3.09,3.04,0.87,0.92,1.04,3,10.78,5.19,0.01,2.95,2.9,1.9,0.14,0.2,0.02,0.17,-0.06,-0.39,1.65,0.04,1.29,0.96,0.14,-0.4,-0.43
新宿区,2.7,1.06,6.78,2.38,7.27,4.75,4.43,5.55,5.12,4.87,9.99,5.18,4.05,7.68,10.59,0.65,-0.26,1.58,-0.36,0.11,-0.06,0.96,1.97,-1.81,-0.48,0.57,-0.39,-0.17,0.41,-0.2,3.53,1.96,-0.06,-0.33,0.08,-0.38,0.05,0.22,0.47,-1.37
文京区,3.14,9.29,6.51,0.25,9.2,8.43,9.77,9.76,6.1,10.35,6.25,10.86,9.1,4.87,3.2,2.14,12.74,0.35,4.76,2.04,-0.11,0.13,-0.2,-1.85,-0.02,0.93,0.03,-1.48,0.52,1.44,-0.68,0.43,-0.34,-0.2,-0.62,-0.55,-0.53,-0.75,-0.48,-0.01
台東区,4.82,1.75,1.72,1.16,12.04,11.22,7.9,4.18,7.28,5.91,11.1,8.9,9.13,1.42,1.15,1.14,2.18,-0.2,-0.1,0.54,0.83,-0.83,0.12,-1.36,-0.1,2.46,-0.96,0.68,1.71,-0.04,-0.84,0.39,-0.13,-0.44,1.78,-0.07,-0.49,0.23,-0.68,-0.4
墨田区,2.08,3.31,2.46,3.85,13.43,3.67,6.69,6.64,5.02,7.41,19.17,16.22,14.29,2.13,0.57,17.92,0.88,0.03,5.28,0.63,-0.44,-0.41,4.79,-1.5,0.51,-0.12,-0.51,1.36,-0.57,-0.22,-0.63,-0.82,-0.04,-0.18,-0.56,-0.59,0.32,-0.61,-0.21,0.56
江東区,2.19,4.29,1.76,4.91,7.98,12.87,10.27,21.8,18.74,11.25,15.2,27.94,17.74,5.06,14.52,6.67,-0.2,0.76,0.21,3.53,0.6,3.77,1.47,0.28,6.94,4.52,2.69,1.08,1.61,7.45,2.71,1.06,-0.06,1.98,-0.28,-0.61,0.14,-0.25,-0.15,3.42
品川区,4.09,2.48,6.05,2.85,8.04,4.62,13.33,4.83,12.94,18.65,20.29,20.11,13.51,7.61,6.2,2.66,1.52,8.24,0.02,0.67,2.39,7.56,3.72,0.02,0.28,1.63,3.52,1.41,0.54,1.7,4.12,-0.82,-0.52,2.1,-0.98,-0.6,3.36,0.55,-0.08,-0.31
目黒区,1.07,2.82,1.03,0,14.24,6.23,2.37,1.91,5.49,9.9,5.31,18.64,6.65,1.91,15.39,2.36,0.36,0.32,-0.32,2.05,1.54,-1.6,-0.72,-1.73,0.63,0.21,-1.4,0.95,-1.83,0.58,0.43,-0.96,-1.16,-0.47,-0.83,-0.4,-0.2,-2.31,-0.48,-0.3
