区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,10741,9,771,2,317,9,16,0,11058,9,786,2
八王子市／200m2未満,65824,57,9741,32,584,17,93,1,66408,56,9834,25
八王子市／300m2未満,22460,20,5220,17,410,12,100,1,22870,19,5320,14
八王子市／500m2未満,7764,7,2905,9,551,16,214,3,8315,7,3118,8
八王子市／1000m2未満,4677,4,3227,10,611,18,436,6,5288,4,3663,9
八王子市／2000m2未満,2330,2,3127,10,407,12,567,7,2737,2,3695,10
八王子市／5000m2未満,1121,1,3261,11,285,8,892,12,1406,1,4152,11
八王子市／10000m2未満,142,0,891,3,119,3,835,11,261,0,1727,4
八王子市／10000m2以上,91,0,1766,6,121,4,4507,59,212,0,6272,16
八王子市／計,115150,100,30908,100,3405,100,7660,100,118555,100,38568,100
立川市／100m2未満,6595,21,487,6,172,13,10,0,6767,21,498,5
立川市／200m2未満,17746,57,2305,29,330,25,48,2,18076,56,2353,22
立川市／300m2未満,2750,9,661,8,183,14,45,1,2933,9,706,6
立川市／500m2未満,1775,6,661,8,198,15,76,3,1973,6,737,7
立川市／1000m2未満,973,3,680,9,196,15,140,5,1169,4,820,8
立川市／2000m2未満,611,2,863,11,121,9,170,6,732,2,1033,10
立川市／5000m2未満,413,1,1268,16,81,6,242,8,494,2,1510,14
立川市／10000m2未満,79,0,515,7,23,2,164,5,102,0,679,6
立川市／10000m2以上,18,0,397,5,28,2,2134,70,46,0,2531,23
立川市／計,30960,100,7838,100,1332,100,3029,100,32292,100,10868,100
武蔵野市／100m2未満,5045,23,350,7,149,14,10,1,5194,23,360,6
武蔵野市／200m2未満,10475,48,1462,29,268,25,40,3,10743,47,1502,24
武蔵野市／300m2未満,3123,14,754,15,167,16,41,3,3290,14,795,13
武蔵野市／500m2未満,1949,9,730,14,185,17,71,6,2134,9,801,13
武蔵野市／1000m2未満,798,4,544,11,140,13,95,8,938,4,639,10
武蔵野市／2000m2未満,309,1,432,8,76,7,109,9,385,2,541,9
武蔵野市／5000m2未満,144,1,418,8,45,4,135,11,189,1,553,9
武蔵野市／10000m2未満,31,0,223,4,17,2,120,10,48,0,343,5
武蔵野市／10000m2以上,13,0,188,4,15,1,604,49,28,0,792,13
武蔵野市／計,21887,100,5101,100,1062,100,1224,100,22949,100,6325,100
三鷹市／100m2未満,7803,24,564,8,143,13,9,1,7946,24,573,7
三鷹市／200m2未満,17619,55,2279,31,279,26,41,3,17898,54,2320,27
三鷹市／300m2未満,2996,9,718,10,135,13,33,2,3131,9,752,9
三鷹市／500m2未満,1690,5,640,9,151,14,59,4,1841,6,699,8
三鷹市／1000m2未満,970,3,682,9,160,15,114,8,1130,3,796,9
三鷹市／2000m2未満,465,1,649,9,89,8,123,9,554,2,772,9
三鷹市／5000m2未満,334,1,1011,14,79,7,259,18,413,1,1270,15
三鷹市／10000m2未満,76,0,490,7,24,2,157,11,100,0,647,7
三鷹市／10000m2以上,15,0,228,3,18,2,648,45,33,0,876,10
三鷹市／計,31968,100,7261,100,1078,100,1444,100,33046,100,8705,100
青梅市／100m2未満,3640,11,260,2,75,8,4,0,3715,11,264,2
青梅市／200m2未満,17471,52,2449,23,167,17,25,1,17638,51,2474,20
青梅市／300m2未満,4595,14,1114,11,89,9,22,1,4684,13,1136,9
青梅市／500m2未満,3642,11,1387,13,149,15,58,3,3791,11,1445,11
青梅市／1000m2未満,2672,8,1852,18,197,20,137,6,2869,8,1989,16
青梅市／2000m2未満,1196,4,1641,16,134,13,191,9,1330,4,1832,14
青梅市／5000m2未満,452,1,1298,12,97,10,328,15,549,2,1625,13
青梅市／10000m2未満,62,0,400,4,53,5,377,17,115,0,777,6
青梅市／10000m2以上,4,0,53,1,39,4,1076,49,43,0,1128,9
青梅市／計,33734,100,10453,100,1000,100,2217,100,34734,100,12670,100
府中市／100m2未満,11247,26,827,8,192,14,11,0,11439,26,839,6
府中市／200m2未満,22270,52,2901,29,314,23,46,1,22584,51,2946,23
府中市／300m2未満,4355,10,1034,11,160,12,39,1,4515,10,1073,8
府中市／500m2未満,2167,5,817,8,208,15,81,3,2375,5,899,7
府中市／1000m2未満,1424,3,1000,10,209,15,149,5,1633,4,1149,9
府中市／2000m2未満,745,2,1039,11,117,9,165,5,862,2,1205,9
府中市／5000m2未満,474,1,1424,14,93,7,268,8,567,1,1692,13
府中市／10000m2未満,66,0,438,4,35,3,240,8,101,0,678,5
府中市／10000m2以上,16,0,360,4,36,3,2167,68,52,0,2528,19
府中市／計,42764,100,9840,100,1364,100,3167,100,44128,100,13007,100
昭島市／100m2未満,3803,18,276,5,118,15,6,0,3921,18,282,4
昭島市／200m2未満,12022,58,1577,30,126,16,18,1,12148,56,1595,21
昭島市／300m2未満,2116,10,510,10,91,11,22,1,2207,10,533,7
昭島市／500m2未満,1375,7,516,10,114,14,45,2,1489,7,561,7
昭島市／1000m2未満,789,4,552,11,131,16,94,4,920,4,646,9
昭島市／2000m2未満,379,2,529,10,93,11,135,6,472,2,664,9
昭島市／5000m2未満,217,1,650,12,63,8,190,8,280,1,840,11
昭島市／10000m2未満,46,0,290,6,27,3,190,8,73,0,480,6
昭島市／10000m2以上,13,0,299,6,48,6,1682,71,61,0,1981,26
昭島市／計,20760,100,5200,100,811,100,2381,100,21571,100,7581,100
調布市／100m2未満,11382,31,1205,14,284,22,78,4,11666,30,1283,13
調布市／200m2未満,19483,53,2934,35,381,29,164,9,19864,52,3098,30
調布市／300m2未満,3229,9,1083,13,178,14,98,5,3407,9,1180,12
調布市／500m2未満,1525,4,989,12,169,13,148,8,1694,4,1137,11
調布市／1000m2未満,948,3,966,11,141,11,204,11,1089,3,1170,11
調布市／2000m2未満,364,1,538,6,99,8,226,13,463,1,764,7
調布市／5000m2未満,90,0,276,3,33,3,235,13,123,0,511,5
調布市／10000m2未満,31,0,220,3,7,1,123,7,38,0,344,3
調布市／10000m2以上,13,0,254,3,17,1,519,29,30,0,773,8
調布市／計,37065,100,8465,100,1309,100,1795,100,38374,100,10260,100
町田市／100m2未満,7058,8,505,2,255,11,11,0,7313,8,517,2
町田市／200m2未満,60232,64,8798,36,480,21,73,2,60712,63,8871,31
町田市／300m2未満,15043,16,3516,15,304,13,74,2,15347,16,3590,13
町田市／500m2未満,5797,6,2160,9,319,14,124,3,6116,6,2284,8
町田市／1000m2未満,3107,3,2166,9,354,16,257,6,3461,4,2422,9
町田市／2000m2未満,1614,2,2248,9,265,12,368,8,1879,2,2616,9
町田市／5000m2未満,881,1,2610,11,159,7,479,11,1040,1,3090,11
町田市／10000m2未満,168,0,1085,4,65,3,450,10,233,0,1535,5
町田市／10000m2以上,45,0,1032,4,55,2,2518,58,100,0,3550,12
町田市／計,93945,100,24120,100,2256,100,4355,100,96201,100,28475,100
小金井市／100m2未満,5266,22,389,8,89,13,6,1,5355,22,395,7
小金井市／200m2未満,13346,56,1737,34,154,23,22,3,13500,55,1759,30
小金井市／300m2未満,2737,11,661,13,105,15,26,4,2842,11,687,12
小金井市／500m2未満,1455,6,541,11,116,17,46,7,1571,6,587,10
小金井市／1000m2未満,702,3,482,9,111,16,78,12,813,3,560,10
小金井市／2000m2未満,282,1,390,8,51,7,72,11,333,1,462,8
小金井市／5000m2未満,211,1,639,12,30,4,87,13,241,1,726,13
小金井市／10000m2未満,39,0,238,5,21,3,147,22,60,0,385,7
小金井市／10000m2以上,3,0,45,1,7,1,172,26,10,0,217,4
小金井市／計,24041,100,5123,100,684,100,656,100,24725,100,5778,100
小平市／100m2未満,14742,31,1111,13,447,28,42,2,15189,31,1153,11
小平市／200m2未満,25254,54,3449,40,453,28,141,8,25707,53,3589,35
小平市／300m2未満,3638,8,1002,12,211,13,71,4,3849,8,1073,10
小平市／500m2未満,1958,4,968,11,215,13,138,8,2173,4,1106,11
小平市／1000m2未満,1012,2,1000,12,133,8,325,19,1145,2,1325,13
小平市／2000m2未満,393,1,606,7,71,4,313,18,464,1,919,9
小平市／5000m2未満,62,0,178,2,41,3,186,11,103,0,364,4
小平市／10000m2未満,11,0,84,1,17,1,140,8,28,0,223,2
小平市／10000m2以上,10,0,173,2,14,1,398,23,24,0,571,6
小平市／計,47080,100,8571,100,1602,100,1752,100,48682,100,10323,100
日野市／100m2未満,7150,19,625,7,122,14,8,0,7272,18,633,6
日野市／200m2未満,22593,59,3307,37,248,29,58,2,22841,58,3365,30
日野市／300m2未満,5490,14,1464,17,148,17,59,2,5638,14,1523,13
日野市／500m2未満,1998,5,1049,12,124,14,99,4,2122,5,1148,10
日野市／1000m2未満,912,2,1211,14,121,14,164,7,1033,3,1375,12
