区分,昭和58年（％）,昭和59年（％）,昭和60年（％）,昭和61年（％）,昭和62年（％）,昭和63年（％）,昭和64年（％）,平成2年（％）,平成3年（％）,平成4年（％）,平成5年（％）,平成6年（％）,平成7年（％）,平成8年（％）,平成9年（％）,平成10年（％）,平成12年（％）,平成13年（％）,平成14年（％）,平成15年（％）,平成16年（％）,平成17年（％）,平成18年（％）,平成19年（％）,平成20年（％）,平成21年（％）,平成22年（％）,平成23年（％）,平成24年（％）,平成25年（％）,平成26年（％）,平成27年（％）,平成28年（％）,平成29年（％）
区部＿千代田区,399.9,410.6,419.5,417,425.9,422.7,467.5,482.7,495.6,510.5,517.6,530.7,542.8,547.4,550.9,550,554.2,563.6,563.9,562.8,576,584.2,589.9,598.7,598.8,598.7,604.5,608.5,613.1,606.2,612.2,636.9,645.3,644.9
区部＿中央区,341.2,347.4,354.4,353.8,358.5,363.6,372,383.4,386.5,403.9,412.3,421.3,429.8,444.3,464.8,467.4,474.4,481.1,480.2,499.7,504.1,513.4,517.6,523.3,525.1,536.3,537.3,537.6,543.8,548.3,545.3,548.6,546.2,561.3
区部＿港区,188.2,192.7,196.5,197.5,203,212.5,221.4,219.9,236.8,244.4,249.2,262.3,274,279.8,284.8,292.2,294.2,300.5,302.3,311.6,332.2,346.7,350.4,360,372.8,381.9,386.4,387.1,389.7,392.7,395.8,398,403,401.8
区部＿新宿区,155.1,157.4,162.4,164,169.3,172.7,175.1,178.6,183.8,189.7,195.1,199.2,203.8,209.5,220.2,222.5,226.8,228.3,230.8,229.8,232.4,237.3,236.5,236.9,239.4,242.2,244.6,246,247.5,251.8,253.9,259.1,260.5,262.3
区部＿文京区,121.6,124.3,127.8,127.2,131.6,134.5,137.5,140.7,146.2,150.5,153.8,157.5,161.3,164.8,169.3,173.4,179.2,184.7,187.3,189.4,191.9,194.5,194.8,197.2,198.8,200.5,202,204.3,207.1,208.4,210.4,211.7,213.1,213.7
区部＿台東区,187.4,189.4,191.5,191.8,197.7,202.2,212.4,209.6,222.7,227.8,235.8,241.7,247.9,250.3,254.6,259.2,264,266.8,273.6,278.7,278.9,281.1,277.3,279.2,281.1,282.4,284.8,287.2,288.8,291.2,293.7,294.3,296.8,300.2
区部＿墨田区,115.9,117.4,118.8,118.4,124,124.8,126.7,129.2,134,137.9,139.8,145.6,149.4,151.5,156,161.9,164.5,168.2,169.7,170.5,171.5,174.5,174.2,180.2,182.3,183.6,186.2,187.5,188.4,188.8,192.9,195.5,197.2,199.4
区部＿江東区,87.3,89.2,92.4,93.3,95.9,98.1,101,104.4,109.1,112.1,115,119.5,125.8,129,133.2,138.3,144.7,148.3,151,154,156.7,159.9,164.4,172.4,178,181.3,186.9,189.8,192.6,193.8,195.5,196.1,198.5,202.9
区部＿品川区,97.5,98.9,102.6,103.8,108.8,107.4,108.1,112.2,116.6,120.6,124.9,129.8,134.1,138.2,141.7,144.2,150.5,152.5,154.5,156.5,161.3,165.1,165.6,166.9,180.6,183.4,185.9,187.3,190,193.5,193.5,198.3,201.6,198.1
区部＿目黒区,87.3,88.8,90.3,90.6,93.4,94.9,95.8,96.7,98.9,102.5,104.9,108.8,111.8,114.3,119.7,123.4,126.9,128.8,130.9,133,133.9,135,134.3,135.5,136.7,137.6,139.3,140.7,141.7,143.1,144.6,145,145.3,146
区部＿大田区,80.5,82.2,84,85.6,87.9,89.5,91.5,95.5,96.4,99.4,102.2,105.2,109.7,112,113.7,117.1,120.2,121.4,122.4,123.6,125.3,128,129.1,130.7,132.2,133.4,134.8,135.6,137.2,138.4,138.6,140.4,140.5,141.4
区部＿世田谷区,60,61.5,63.4,64.2,65.9,67.7,67.7,70.3,72.4,73.2,74.9,77.8,79.3,81.2,83.9,87.2,89.8,90.9,92.1,93.3,94.7,96.4,96.4,97.8,99.3,100.4,101.5,102.8,105.1,105,105.4,106.4,107.3,108.6
