区名,買主／個人／件数（件）,買主／個人／面積（m2）,買主／法人／件数（件）,買主／法人／面積（m2）,買主／国等／件数（件）,買主／国等／面積（m2）,買主／合計／件数（件）,買主／合計／面積（m2）
千代田区,83,4639,709,79626,5,1385,797,85650
中央区,244,8881,1041,78082,3,1725,1288,88688
港区,504,23312,1069,196032,186,28958,1759,248302
新宿区,1031,48373,1732,192934,38,3017,2801,244324
文京区,819,35684,865,87939,17,1030,1701,124653
台東区,514,25607,1473,121117,12,1113,1999,147837
墨田区,829,38755,1150,120018,97,3756,2076,162529
江東区,1139,51323,1491,206711,5,3750,2635,261784
品川区,1582,59074,1357,162688,115,7784,3054,229546
目黒区,1271,60970,1080,146733,46,4384,2397,212087
大田区,3308,168825,2675,360638,53,9508,6036,538971
世田谷区,4637,270984,3428,458976,337,40066,8402,770026
渋谷区,851,41720,1266,151592,33,5612,2150,198924
中野区,1303,65018,1427,158424,79,5762,2809,229204
杉並区,3296,173052,2353,286945,86,11840,5735,471837
豊島区,1215,51831,1266,117702,154,8683,2635,178216
北区,1384,56432,1430,211386,156,9998,2970,277816
荒川区,1045,40621,943,96019,121,8958,2109,145598
板橋区,2216,105792,1858,240469,61,17579,4135,363840
練馬区,4111,232304,3031,410250,235,42810,7377,685364
足立区,3642,195273,3646,444776,158,51475,7446,691524
葛飾区,2573,128986,2384,233144,241,9193,5198,371323
江戸川区,2918,156790,2825,295266,248,19910,5991,471966
合計,40515,2044246,40499,4857467,2486,298296,83500,7200009
