区分,実数／個人（件）,実数／法人（件）,実数／国等（件）,実数／合計（件）,平成２年との比（実数/平成２年値×100)／個人,平成２年との比（実数/平成２年値×100)／法人,平成２年との比（実数/平成２年値×100)／国等,平成２年との比（実数/平成２年値×100)／合計,,,,
平成2年,21238,25324,1771,48333,100,100,100,100,,,,
平成3年,20905,17674,2677,41256,98,70,151,85,,,,
平成4年,18846,11759,3232,33837,89,46,182,70,,,,
平成5年,24098,14711,2915,41724,113,58,165,86,,,,
平成6年,25199,13897,2597,41693,119,55,147,86,,,,
平成7年,28914,15736,2466,47116,136,62,139,97,,,,
平成8年,32872,17648,2484,53004,155,70,140,110,,,,
平成9年,39235,22166,2667,64068,185,88,151,133,,,,
平成10年,34137,19261,2056,55454,161,76,116,115,,,,
平成11年,41123,24592,2105,67820,194,97,119,140,,,,
平成12年,41762,25911,1727,69400,197,102,98,144,,,,
平成13年,35630,22878,1205,59713,168,90,68,124,,,,
平成14年,36468,22765,1491,60724,172,90,84,126,,,,
平成15年,39247,27449,1489,68185,185,108,84,141,,,,
平成16年,38848,29135,1141,69124,183,115,64,143,,,,
平成17年,36556,31890,1092,69538,172,126,62,144,,,,
平成18年,38594,36607,1639,76840,182,145,93,159,,,,
平成19年,36500,36997,1511,75008,172,146,85,155,,,,
平成20年,35865,24772,1880,62517,169,98,106,129,,,,
平成21年,38543,20638,1953,61134,181,81,110,126,,,,
平成22年,38526,25856,1366,65748,181,102,77,136,,,,
平成23年,37574,25293,1489,64356,177,100,84,133,,,,
平成24年,41755,29529,2017,73301,197,117,114,152,,,,
平成25年,46351,35258,1856,83465,218,139,105,173,,,,
平成26年,43055,34353,1881,79289,203,136,106,164,,,,
平成27年,44584,36810,2314,83708,210,145,131,173,,,,
平成28年,42176,37452,2483,82111,199,148,140,170,,,,
平成29年,42197,40323,2517,85037,202,228,94,206,,,,
