区市町村名　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,18年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年
千代田区,100,123.2,177.3,340.1,452.3,472.2,467.5,474,469.7,386.1,279.2,206,137.8,102.2,89,86.2,82,80,80,80,80.5,81.8,95.4,110.8,119.3,104.7,98.2,97.4,97.2,100.2,105.7,111.8,123,129.2,132.7
中央区,100,109.5,129.2,187.2,187.2,177.7,177.7,180.5,175.3,142.2,89.3,66.3,44.2,31.8,31,30.4,29.2,29,28.3,27.6,27.4,27.4,30.4,37.5,38.6,33.8,33.5,33.2,33.1,33.9,36.4,39.6,41.8,43.7,43.4
港区,100,109.5,129,184.1,323.8,297.2,280.9,271.9,250.4,177.8,125,82.6,64.2,53.2,49.9,48.9,46.8,46,46.3,46.3,46.3,47,61.6,76.5,74.7,65.8,62.5,61.2,61.1,62.7,66.1,69.1,72.1,74.9,75.6
新宿区,100,103.1,108.9,166.7,308.4,303.8,287.7,286.3,266,207.5,151.3,124.5,106.6,94.7,91.1,89.2,86.8,86.1,85.5,83.3,82.1,81.6,84.8,97.2,99.4,88.9,85.3,84.2,83.8,84.8,87.2,89.8,92.6,96.2,97.5
文京区,100,106.6,123.3,188,345.7,336.4,327.3,327.3,319.4,268.3,213,185.5,163.8,144.1,137.3,132.8,128.3,125.2,123.6,123.1,122.6,122.6,138,171.9,172.1,151.4,144.5,140.3,139.6,140.2,143.3,147.6,152,159.8,162.4
台東区,100,100,104.6,135.1,236.8,232.8,230.7,230.7,227,191.4,154.1,135.1,118.1,105.1,98.7,96.7,92.6,90.6,89.6,89,88.7,88.7,95,111.6,116,102.3,97,94.3,93.5,93.7,95.3,97.2,99.8,103.7,106.3
墨田区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江東区,100,103,105.6,113.4,248.7,306.1,306.1,315.6,313.7,247.8,213.4,182,157.2,141,133.1,127.4,121.4,116.2,112.8,111,110.2,110.1,113.5,124.7,128.4,119,116.2,114.3,114,114.9,118.2,120.9,124.3,128.9,130.9
品川区,100,103.2,110.9,160.6,283.9,279.1,261.2,261.2,248.4,202.9,159.5,139.4,127.6,121.3,117.4,115.2,110,105.9,103.2,102,100.9,100.4,112,131.6,128.1,113,107.8,107.2,106.8,108.6,111.7,118.2,122,126.9,128.9
目黒区,100,106.4,120.3,193.6,346,342.2,324.1,324.1,310.2,236.1,176.6,151.5,141.8,134.3,130.3,128.3,123.6,120.3,118.8,118.1,117.5,117.3,127.8,151,149.3,132.7,126.5,125.4,125.4,126.4,129.6,134.3,142.4,149.5,147.7
