区分,区部（人）,区部／指数,市部（人）,市部／指数,計（人）,計／指数
昭和50年,802848,100,362167,100,1165015,100
昭和51年,823074,103,386438,107,1209512,104
昭和52年,847931,106,406439,112,1254370,108
昭和53年,870812,108,424172,117,1294984,111
昭和54年,892491,111,476743,132,1369234,118
昭和55年,912730,114,492103,136,1404833,121
昭和56年,927386,116,502372,139,1429758,123
昭和57年,941458,117,473940,131,1415398,121
昭和58年,954585,119,484464,134,1439049,124
昭和59年,967202,120,486905,134,1454107,125
昭和60年,962799,120,497389,137,1460188,125
昭和61年,971163,121,508318,140,1479481,127
昭和62年,967543,121,517978,143,1485521,128
昭和63年,974732,121,526381,145,1501113,129
昭和64年,979497,122,532314,147,1511811,130
平成2年,986816,123,539813,149,1526629,131
平成3年,993863,124,576359,159,1570222,135
平成4年,1004879,125,559605,155,1564484,134
平成5年,1011843,126,577843,160,1589686,136
平成6年,1012542,126,580604,160,1593146,137
平成7年,1020638,127,590706,163,1611344,138
平成8年,1015784,127,607727,168,1623511,139
平成9年,1025415,128,637228,176,1662643,143
平成10年,1036454,129,656235,181,1692689,145
平成11年,1048220,131,665841,184,1714061,147
平成12年,1061129,132,675064,186,1736193,149
平成13年,1074086,134,687935,190,1762021,151
平成14年,1086575,135,702067,194,1788642,154
平成15年,1099572,137,712868,197,1812440,156
平成16年,1113689,139,725897,200,1839586,158
平成17年,1126197,140,739638,204,1865835,160
平成18年,1145957,143,758921,210,1904878,164
平成19年,1155216,144,771696,213,1926912,165
平成20年,1165008,145,784667,217,1949675,167
平成21年,1174086,146,798331,220,1972417,169
平成22年,1185876,148,809192,223,1995068,171
平成23年,1216753,152,837220,231,2053973,176
平成24年,1227000,153,842822,233,2069822,178
平成25年,1238181,154,860325,238,2098506,180
平成26年,1249180,156,885351,244,2134531,183
平成27年,1260357,157,896971,248,2157328,185
平成28年,1268963,158,906961,250,2175924,187
平成29年,1275862,155,920319,238,2196181,182
