区分,木造（防火木造を除く。）／空き家数（戸数）,木造（防火木造を除く。）／木造住宅総数（戸数）,木造（防火木造を除く。）／空き家率（％）,防火木造／空き家数（戸数）,防火木造／防火木造住宅総数（戸数）,防火木造／空き家率（％）,鉄筋鉄骨コンクリート造／空き家数（戸数）,鉄筋鉄骨コンクリート造／鉄筋鉄骨Co住宅総数（戸数）,鉄筋鉄骨コンクリート造／空き家率（％）,鉄骨造／空き家数（戸数）,鉄骨造／鉄骨造住宅総数（戸数）,鉄骨造／空き家率（％）,,,
東京都全体,97800,535600,18.3,185200,1799500,10.3,424200,3473900,12.2,104500,655300,15.9,,,
区部,67000,350800,19.1,123100,1086600,11.3,318200,2659600,12.0,75100,498700,15.1,,,
多摩部・島しょ部,30800,184800,16.7,62100,712900,8.7,106000,814300,13.0,29400,156600,18.8,,,
