区市名,平成２９年所有者数／個人（人）,平成２９年所有者数／法人（人）,平成２９年所有者数／計（人）,平成２８年所有者数／個人（人）,平成２８年所有者数／法人（人）,平成２８年所有者数／計（人）,平成２９年－平成２８年／個人（人）,平成２９年－平成２８年／法人（人）,平成２９年－平成２８年／計（人）
区部／千代田区,5067,3467,8534,5214,3464,8678,-147,3,-144
区部／中央区,8115,4462,12577,8335,4424,12759,-220,38,-182
区部／港区,13234,5214,18448,13453,5143,18596,-219,71,-148
区部／新宿区,32918,5427,38345,33006,5284,38290,-88,143,55
区部／文京区,25730,2789,28519,25792,2754,28546,-62,35,-27
区部／台東区,22589,4513,27102,22749,4427,27176,-160,86,-74
区部／墨田区,29445,3300,32745,29475,3231,32706,-30,69,39
区部／江東区,29898,4093,33991,29844,4030,33874,54,63,117
区部／品川区,41434,3713,45147,41587,3595,45182,-153,118,-35
区部／目黒区,36292,2899,39191,36194,2808,39002,98,91,189
区部／大田区,89321,6618,95939,88670,6411,95081,651,207,858
区部／世田谷区,130103,6752,136855,129349,6482,135831,754,270,1024
区部／渋谷区,24104,4498,28602,24191,4420,28611,-87,78,-9
区部／中野区,47755,3165,50920,47675,3036,50711,80,129,209
区部／杉並区,93027,4454,97481,92341,4303,96644,686,151,837
区部／豊島区,35358,3426,38784,35351,3328,38679,7,98,105
区部／北区,39993,2592,42585,39769,2509,42278,224,83,307
区部／荒川区,24167,1889,26056,24040,1842,25882,127,47,174
区部／板橋区,63941,3955,67896,63676,3816,67492,265,139,404
区部／練馬区,120607,4179,124786,119842,4023,123865,765,156,921
区部／足立区,101583,4946,106529,100744,4810,105554,839,136,975
区部／葛飾区,71468,3388,74856,70959,3265,74224,509,123,632
区部／江戸川区,95397,4577,99974,94869,4433,99302,528,144,672
区部／区部計,1181546,94316,1275862,1177125,91838,1268963,4421,2478,6899
市部／八王子市,120544,3960,124504,119569,3896,123465,975,64,1039
市部／立川市,30315,1231,31546,29938,1210,31148,377,21,398
市部／武蔵野市,21902,986,22888,21781,966,22747,121,20,141
市部／三鷹市,31895,1023,32918,31504,996,32500,391,27,418
市部／青梅市,35492,1185,36677,35232,1162,36394,260,23,283
市部／府中市,44150,1369,45519,43632,1325,44957,518,44,562
市部／昭島市,20657,825,21482,20454,790,21244,203,35,238
市部／調布市,36864,1280,38144,36397,1253,37650,467,27,494
市部／町田市,99531,2803,102334,98591,2746,101337,940,57,997
市部／小金井市,23233,703,23936,22944,673,23617,289,30,319
市部／小平市,47428,1585,49013,46835,1535,48370,593,50,643
市部／日野市,46822,1572,48394,45860,1527,47387,962,45,1007
市部／東村山市,32425,797,33222,32192,763,32955,233,34,267
市部／国分寺市,26488,891,27379,26258,869,27127,230,22,252
市部／国立市,13124,586,13710,13031,571,13602,93,15,108
市部／福生市,10626,381,11007,10518,368,10886,108,13,121
市部／狛江市,17715,613,18328,14542,359,14901,3173,254,3427
市部／東大和市,17954,472,18426,17807,442,18249,147,30,177
市部／清瀬市,13965,285,14250,13757,276,14033,208,9,217
市部／東久留米市,32694,698,33392,32328,679,33007,366,19,385
市部／武蔵村山市,18922,567,19489,18660,555,19215,262,12,274
市部／多摩市,39583,828,40411,39188,774,39962,395,54,449
市部／稲城市,13714,464,14178,13572,447,14019,142,17,159
市部／羽村市,12599,358,12957,12473,360,12833,126,-2,124
市部／あきる野市,27191,685,27876,26952,664,27616,239,21,260
市部／西東京市,54914,3425,58339,54556,3184,57740,358,241,599
市部／市部計,890747,29572,920319,878571,28390,906961,12176,1182,13358
区部･市部計,2072293,123888,2196181,2055696,120228,2175924,16597,3660,20257
