区分,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年
50m2未満／件数(件),9367,13603,16603,15062,15419,15056,16212,16198,16398,14836
50m2未満／面積(m2),163097,173854,247495,235299,255073,265158,284848,296109,294504,257764
50m2以上100m2未満／件数(件),5678,5949,7028,7361,8227,8609,9626,9801,10116,8481
50m2以上100m2未満／面積(m2),418045,436505,511598,536448,596331,628889,700136,710406,731438,613521
100m2以上150m2未満／件数(件),3420,3254,3877,4212,4817,5066,5473,5506,5407,4649
100m2以上150m2未満／面積(m2),416938,398648,469535,511805,584350,615747,664374,667907,653735,563019
150m2以上200m2未満／件数(件),1957,2041,2355,2376,2745,2958,3148,3178,3036,2618
150m2以上200m2未満／面積(m2),338020,354816,408014,409575,474404,510089,543500,547289,523905,450756
200m2以上300m2未満／件数(件),1911,1942,2254,2261,2540,2658,2706,2733,2699,2308
200m2以上300m2未満／面積(m2),462701,474210,546060,547253,616938,640130,652243,658288,652829,557981
300m2以上500m2未満／件数(件),1582,1526,1732,1724,1861,1804,1932,1870,1841,1600
300m2以上500m2未満／面積(m2),601257,579455,657157,657279,701084,681179,726793,701651,692110,603074
500m2以上1000m2未満／件数(件),916,812,967,986,867,959,945,923,843,788
500m2以上1000m2未満／面積(m2),631151,551000,659629,670658,591152,653553,638298,624393,572454,537559
1000m2以上2000m2未満／件数(件),273,295,309,242,234,243,204,212,210,183
1000m2以上2000m2未満／面積(m2),364118,394323,412786,324110,313610,326004,270698,289690,278062,244634
2000m2以上5000m2未満／件数(件),148,87,97,99,75,76,62,59,69,48
2000m2以上5000m2未満／面積(m2),479272,250490,276733,294875,223153,219581,169227,174536,192392,138229
5000m2以上10000m2未満／件数(件),25,14,25,19,15,15,11,13,5,6
5000m2以上10000m2未満／面積(m2),166965,96840,177110,130930,108652,112172,68183,83256,30021,41944
10000m2以上／件数(件),16,6,11,11,10,8,4,6,5,7
10000m2以上／面積(m2),360476,93259,150125,185910,176783,172690,55400,103942,88149,98695
合計／件数(件),25293,29529,35258,34353,36810,37452,40323,40499,40629,35524
合計／面積(m2),4402040,3803399,4516242,4504142,4641530,4825192,4773700,4857467,4709599,4107176
