区市町村名,住宅地,商業地,工業地,全用途平均
千代田区,3057.5,5270.1,― ,4993.5
中央区,1263.8,5931.5,― ,5329.2
港区,2033.0,5451.9,587.0,4424.1
新宿区,768.5,4801.2,― ,3620.9
文京区,972.4,1617.3,― ,1366.5
台東区,658.0,1621.6,― ,1514.6
墨田区,439.6,697.4,― ,629.6
江東区,531.3,862.5,422.3,649.7
品川区,838.0,1209.8,― ,1032.0
目黒区,851.0,1695.1,― ,1220.3
大田区,475.0,793.3,520.7,598.3
世田谷区,620.1,1079.7,― ,740.6
渋谷区,1212.3,5646.1,― ,4062.6
中野区,591.5,1355.0,― ,955.0
杉並区,592.8,1012.5,― ,743.5
豊島区,677.4,2533.8,― ,1774.4
北区,519.6,1027.8,343.0,732.9
荒川区,574.3,820.4,― ,714.9
板橋区,437.8,740.8,― ,560.9
練馬区,381.6,732.0,― ,467.4
足立区,337.3,580.9,253.0,436.2
葛飾区,319.8,568.0,228.0,385.1
江戸川区,356.9,683.4,370.0,452.8
区部,620.6,2623.6,405.3,1614.4
八王子市,123.8,375.4,132.0,160.4
立川市,255.0,1723.7,― ,674.6
武蔵野市,525.6,2227.6,― ,1319.9
三鷹市,400.6,1560.3,― ,618.1
青梅市,87.5,170.8,90.4,102.9
府中市,300.6,566.6,― ,372.2
昭島市,178.6,316.0,150.0,206.0
調布市,352.4,677.6,― ,429.9
町田市,148.2,557.2,― ,224.2
小金井市,346.3,1052.5,― ,474.7
小平市,238.3,320.3,― ,251.3
日野市,194.4,321.3,― ,214.5
東村山市,189.6,356.3,― ,222.9
国分寺市,276.0,1203.5,― ,444.6
国立市,341.2,395.0,― ,348.9
福生市,164.0,215.0,― ,183.1
狛江市,336.0,417.0,― ,349.5
東大和市,163.9,185.0,― ,167.4
清瀬市,193.8,442.0,― ,235.2
東久留米市,194.0,373.0,― ,221.5
武蔵村山市,115.1,137.5,― ,119.2
多摩市,174.7,374.3,― ,234.6
稲城市,236.5,312.3,― ,249.9
羽村市,142.2,228.5,97.6,158.2
あきる野市,82.8,131.0,― ,90.2
西東京市,279.6,548.3,― ,339.3
市部,207.1,663.3,115.4,298.2
瑞穂町,96.5,125.0,62.5,95.8
日の出町,59.1,― ,― ,59.1
檜原村,19.4,― ,― ,19.4
奥多摩町,25.5,31.9,― ,28.7
西多摩郡,61.6,62.9,62.5,61.9
大島町,6.9,20.8,―,12.5
新島村,6.1,9.3,―,7.2
神津島村,6.9,9.7,―,7.8
三宅村,7.2,12.3,―,8.9
八丈町,8.9,19.6,―,14.3
小笠原村,20.3,62.0,―,21.4
島しょ,11.3,21.8,―,13.9
東　京　都,389.1,2139.5,295.7,1044.8
