区分,住宅等（千m2）,商業施設（千m2）,工場倉庫（千m2）,娯楽施設（千m2）,農林水産（千m2）,他の目的（千m2）,資産保有（千m2）,その他（千m2）,合計（千m2）,,
平成１１年,1099.7 ,1769.5 ,84.7 ,32.7 ,0.0 ,163.4 ,757.9 ,33.6 ,3941.5 ,,
平成１２年,1226.2 ,228.4 ,31.1 ,16.7 ,40.6 ,64.3 ,582.1 ,99.0 ,2288.4 ,,
平成１３年,1348.9 ,430.9 ,44.0 ,0.0 ,0.0 ,458.9 ,1298.8 ,34.5 ,3615.9 ,,
平成１４年,1416.4 ,232.7 ,47.2 ,0.0 ,50.4 ,311.7 ,3438.2 ,14.4 ,5510.9 ,,
平成１５年,1447.2 ,570.6 ,53.8 ,33.2 ,50.7 ,196.6 ,263.6 ,52.3 ,2668.0 ,,
平成１６年,1803.7 ,819.4 ,84.8 ,20.2 ,378.5 ,190.4 ,598.8 ,106.0 ,4001.8 ,,
平成１７年,2271.3 ,818.5 ,60.6 ,222.4 ,239.8 ,676.4 ,825.9 ,27.9 ,5142.7 ,,
平成１８年,1524.3 ,507.3 ,358.1 ,90.5 ,149.8 ,318.5 ,1271.9 ,8.2 ,4228.6 ,,
平成１９年,1038.4 ,993.4 ,431.8 ,80.0 ,345.1 ,137.0 ,400.3 ,13.0 ,3439.0 ,,
平成２０年,883.0 ,544.5 ,191.5 ,52.3 ,50.6 ,273.9 ,89.0 ,136.4 ,2221.3 ,,
平成２１年,645.2 ,317.4 ,201.9 ,54.2 ,31.5 ,66.5 ,554.6 ,29.2 ,1900.5 ,,
平成２２年,1005.3 ,361.3 ,96.5 ,208.3 ,38.0 ,160.2 ,103.4 ,9.9 ,1983.0 ,,
平成２３年,1111.5 ,374.1 ,339.4 ,22.1 ,38.0 ,369.5 ,370.4 ,12.3 ,2637.4 ,,
平成２４年,1106.2 ,573.0 ,252.3 ,15.6 ,61.6 ,101.0 ,132.2 ,0.0 ,2242.0 ,,
平成２５年,1396.2 ,754.1 ,238.0 ,55.1 ,222.9 ,148.2 ,44.5 ,0.0 ,2859.2 ,,
平成２６年,841.5 ,720.9 ,111.7 ,217.7 ,163.2 ,158.9 ,587.7 ,34.3 ,2836.2 ,,
平成２７年,957.4 ,544.7 ,265.7 ,3.0 ,16.2 ,235.8 ,94.1 ,0.0 ,2116.9 ,,
平成２８年,797.2 ,589.0 ,848.3 ,55.3 ,0.0 ,109.9 ,167.4 ,17.7 ,2584.9 ,,
平成２９年,844.5 ,448.2 ,233.4 ,9.8 ,246.6 ,294.4 ,1898.0 ,2.4 ,3977.3 ,,
