区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
八王子市／100m2未満,2727 ,32 ,95 ,2 ,338 ,29 ,9 ,0 ,3065 ,32 ,104 ,1 
八王子市／200m2未満,1774 ,21 ,260 ,5 ,160 ,14 ,23 ,0 ,1934 ,20 ,283 ,2 
八王子市／300m2未満,1092 ,13 ,267 ,5 ,106 ,9 ,26 ,0 ,1198 ,12 ,293 ,2 
八王子市／500m2未満,1086 ,13 ,417 ,8 ,145 ,12 ,57 ,1 ,1231 ,13 ,475 ,4 
八王子市／1000m2未満,968 ,11 ,676 ,12 ,168 ,14 ,123 ,2 ,1136 ,12 ,798 ,6 
八王子市／2000m2未満,510 ,6 ,717 ,13 ,101 ,9 ,137 ,2 ,611 ,6 ,855 ,7 
八王子市／5000m2未満,223 ,3 ,662 ,12 ,76 ,6 ,230 ,3 ,299 ,3 ,892 ,7 
八王子市／10000m2未満,50 ,1 ,329 ,6 ,24 ,2 ,160 ,2 ,74 ,1 ,489 ,4 
八王子市／10000m2以上,51 ,1 ,2097 ,38 ,58 ,5 ,6273 ,89 ,109 ,1 ,8370 ,67 
八王子市／計,8481 ,100 ,5519 ,100 ,1176 ,100 ,7039 ,100 ,9657 ,100 ,12559 ,100 
立川市／100m2未満,274 ,85 ,3 ,10 ,76 ,84 ,1 ,0 ,350 ,85 ,4 ,1 
立川市／200m2未満,18 ,6 ,3 ,8 ,1 ,1 ,0 ,0 ,19 ,5 ,3 ,1 
立川市／300m2未満,14 ,4 ,3 ,10 ,1 ,1 ,0 ,0 ,15 ,4 ,4 ,1 
立川市／500m2未満,9 ,3 ,3 ,10 ,3 ,3 ,1 ,0 ,12 ,3 ,5 ,1 
立川市／1000m2未満,5 ,2 ,4 ,12 ,1 ,1 ,1 ,0 ,6 ,1 ,5 ,1 
立川市／2000m2未満,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
立川市／5000m2未満,3 ,1 ,9 ,26 ,0 ,0 ,0 ,0 ,3 ,1 ,9 ,2 
立川市／10000m2未満,1 ,0 ,8 ,24 ,0 ,0 ,0 ,0 ,1 ,0 ,8 ,2 
立川市／10000m2以上,0 ,0 ,0 ,0 ,8 ,9 ,464 ,99 ,8 ,2 ,464 ,93 
立川市／計,324 ,100 ,33 ,100 ,90 ,100 ,467 ,100 ,414 ,100 ,500 ,100 
武蔵野市／100m2未満,136 ,90 ,3 ,11 ,9 ,41 ,0 ,0 ,145 ,84 ,3 ,2 
武蔵野市／200m2未満,7 ,5 ,1 ,4 ,0 ,0 ,0 ,0 ,7 ,4 ,1 ,1 
武蔵野市／300m2未満,2 ,1 ,0 ,2 ,2 ,9 ,0 ,0 ,4 ,2 ,1 ,1 
武蔵野市／500m2未満,0 ,0 ,0 ,0 ,2 ,9 ,1 ,0 ,2 ,1 ,1 ,0 
武蔵野市／1000m2未満,2 ,1 ,2 ,6 ,0 ,0 ,0 ,0 ,2 ,1 ,2 ,1 
武蔵野市／2000m2未満,1 ,1 ,1 ,5 ,1 ,5 ,2 ,1 ,2 ,1 ,3 ,2 
武蔵野市／5000m2未満,2 ,1 ,7 ,25 ,1 ,5 ,3 ,2 ,3 ,2 ,9 ,5 
武蔵野市／10000m2未満,0 ,0 ,0 ,0 ,3 ,14 ,20 ,13 ,3 ,2 ,20 ,11 
武蔵野市／10000m2以上,1 ,1 ,13 ,48 ,4 ,18 ,125 ,83 ,5 ,3 ,138 ,78 
武蔵野市／計,151 ,100 ,28 ,100 ,22 ,100 ,151 ,100 ,173 ,100 ,178 ,100 
三鷹市／100m2未満,75 ,64 ,2 ,7 ,8 ,62 ,0 ,0 ,83 ,64 ,2 ,2 
三鷹市／200m2未満,19 ,16 ,3 ,8 ,0 ,0 ,0 ,0 ,19 ,15 ,3 ,2 
三鷹市／300m2未満,7 ,6 ,2 ,5 ,0 ,0 ,0 ,0 ,7 ,5 ,2 ,1 
三鷹市／500m2未満,7 ,6 ,3 ,8 ,1 ,8 ,0 ,0 ,8 ,6 ,3 ,2 
三鷹市／1000m2未満,4 ,3 ,3 ,9 ,1 ,8 ,1 ,1 ,5 ,4 ,3 ,3 
三鷹市／2000m2未満,1 ,1 ,2 ,6 ,0 ,0 ,0 ,0 ,1 ,1 ,2 ,2 
三鷹市／5000m2未満,3 ,3 ,11 ,34 ,0 ,0 ,0 ,0 ,3 ,2 ,11 ,9 
三鷹市／10000m2未満,1 ,1 ,7 ,22 ,1 ,8 ,7 ,8 ,2 ,2 ,14 ,11 
三鷹市／10000m2以上,0 ,0 ,0 ,0 ,2 ,15 ,83 ,91 ,2 ,2 ,83 ,68 
三鷹市／計,117 ,100 ,31 ,100 ,13 ,100 ,92 ,100 ,130 ,100 ,123 ,100 
青梅市／100m2未満,787 ,29 ,33 ,1 ,100 ,29 ,4 ,0 ,887 ,29 ,37 ,0 
青梅市／200m2未満,456 ,17 ,67 ,3 ,37 ,11 ,6 ,0 ,493 ,16 ,72 ,1 
青梅市／300m2未満,236 ,9 ,59 ,2 ,17 ,5 ,4 ,0 ,253 ,8 ,63 ,1 
青梅市／500m2未満,345 ,13 ,137 ,5 ,25 ,7 ,11 ,0 ,370 ,12 ,148 ,2 
青梅市／1000m2未満,340 ,13 ,241 ,10 ,39 ,11 ,29 ,0 ,379 ,12 ,271 ,3 
青梅市／2000m2未満,251 ,9 ,344 ,14 ,33 ,10 ,46 ,1 ,284 ,9 ,390 ,4 
青梅市／5000m2未満,197 ,7 ,602 ,24 ,33 ,10 ,106 ,2 ,230 ,8 ,708 ,8 
青梅市／10000m2未満,56 ,2 ,395 ,16 ,10 ,3 ,71 ,1 ,66 ,2 ,466 ,5 
青梅市／10000m2以上,35 ,1 ,628 ,25 ,53 ,15 ,6141 ,96 ,88 ,3 ,6769 ,76 
青梅市／計,2703 ,100 ,2506 ,100 ,347 ,100 ,6419 ,100 ,3050 ,100 ,8925 ,100 
府中市／100m2未満,1499 ,93 ,29 ,45 ,112 ,76 ,2 ,0 ,1611 ,92 ,31 ,3 
府中市／200m2未満,61 ,4 ,9 ,13 ,8 ,5 ,1 ,0 ,69 ,4 ,10 ,1 
府中市／300m2未満,25 ,2 ,6 ,9 ,2 ,1 ,0 ,0 ,27 ,2 ,6 ,1 
府中市／500m2未満,13 ,1 ,5 ,8 ,1 ,1 ,0 ,0 ,14 ,1 ,5 ,1 
府中市／1000m2未満,9 ,1 ,7 ,11 ,3 ,2 ,2 ,0 ,12 ,1 ,9 ,1 
府中市／2000m2未満,0 ,0 ,0 ,0 ,3 ,2 ,5 ,1 ,3 ,0 ,5 ,1 
府中市／5000m2未満,3 ,0 ,9 ,13 ,5 ,3 ,15 ,2 ,8 ,0 ,24 ,3 
府中市／10000m2未満,0 ,0 ,0 ,0 ,2 ,1 ,14 ,2 ,2 ,0 ,14 ,2 
府中市／10000m2以上,0 ,0 ,0 ,0 ,11 ,7 ,827 ,95 ,11 ,1 ,827 ,89 
府中市／計,1610 ,100 ,64 ,100 ,147 ,100 ,867 ,100 ,1757 ,100 ,931 ,100 
昭島市／100m2未満,60 ,63 ,1 ,7 ,29 ,71 ,0 ,0 ,89 ,65 ,2 ,0 
昭島市／200m2未満,10 ,11 ,2 ,10 ,3 ,7 ,0 ,0 ,13 ,10 ,2 ,0 
昭島市／300m2未満,7 ,7 ,2 ,11 ,2 ,5 ,0 ,0 ,9 ,7 ,2 ,0 
昭島市／500m2未満,10 ,11 ,4 ,25 ,2 ,5 ,1 ,0 ,12 ,9 ,4 ,1 
昭島市／1000m2未満,7 ,7 ,5 ,33 ,1 ,2 ,1 ,0 ,8 ,6 ,6 ,1 
昭島市／2000m2未満,1 ,1 ,2 ,13 ,1 ,2 ,2 ,0 ,2 ,1 ,4 ,1 
昭島市／5000m2未満,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
昭島市／10000m2未満,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
昭島市／10000m2以上,0 ,0 ,0 ,0 ,3 ,7 ,699 ,99 ,3 ,2 ,699 ,97 
昭島市／計,95 ,100 ,14 ,100 ,41 ,100 ,703 ,100 ,136 ,100 ,718 ,100 
調布市／100m2未満,146 ,41 ,5 ,5 ,16 ,35 ,0 ,0 ,162 ,41 ,6 ,1 
調布市／200m2未満,65 ,18 ,10 ,9 ,10 ,22 ,2 ,1 ,75 ,19 ,11 ,3 
調布市／300m2未満,39 ,11 ,10 ,9 ,3 ,7 ,1 ,0 ,42 ,11 ,10 ,3 
調布市／500m2未満,39 ,11 ,15 ,14 ,3 ,7 ,1 ,0 ,42 ,11 ,16 ,4 
調布市／1000m2未満,38 ,11 ,28 ,26 ,3 ,7 ,2 ,1 ,41 ,10 ,30 ,7 
調布市／2000m2未満,25 ,7 ,34 ,31 ,1 ,2 ,1 ,0 ,26 ,7 ,35 ,9 
調布市／5000m2未満,2 ,1 ,6 ,6 ,6 ,13 ,19 ,6 ,8 ,2 ,25 ,6 
調布市／10000m2未満,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
調布市／10000m2以上,0 ,0 ,0 ,0 ,4 ,9 ,271 ,91 ,4 ,1 ,271 ,67 
調布市／計,354 ,100 ,107 ,100 ,46 ,100 ,298 ,100 ,400 ,100 ,405 ,100 
町田市／100m2未満,1070 ,46 ,33 ,4 ,234 ,45 ,6 ,0 ,1304 ,46 ,38 ,1 
町田市／200m2未満,424 ,18 ,62 ,7 ,59 ,11 ,9 ,0 ,483 ,17 ,71 ,2 
町田市／300m2未満,196 ,8 ,48 ,5 ,27 ,5 ,7 ,0 ,223 ,8 ,55 ,2 
町田市／500m2未満,205 ,9 ,78 ,9 ,40 ,8 ,15 ,1 ,245 ,9 ,93 ,3 
町田市／1000m2未満,196 ,8 ,137 ,15 ,58 ,11 ,41 ,2 ,254 ,9 ,178 ,6 
町田市／2000m2未満,123 ,5 ,169 ,18 ,39 ,7 ,55 ,3 ,162 ,6 ,224 ,8 
町田市／5000m2未満,81 ,4 ,252 ,28 ,32 ,6 ,95 ,5 ,113 ,4 ,347 ,12 
町田市／10000m2未満,12 ,1 ,86 ,9 ,11 ,2 ,78 ,4 ,23 ,1 ,163 ,6 
町田市／10000m2以上,3 ,0 ,50 ,5 ,21 ,4 ,1609 ,84 ,24 ,1 ,1659 ,59 
町田市／計,2310 ,100 ,915 ,100 ,521 ,100 ,1915 ,100 ,2831 ,100 ,2830 ,100 
小金井市／100m2未満,85 ,76 ,2 ,20 ,24 ,63 ,0 ,0 ,109 ,73 ,2 ,1 
小金井市／200m2未満,12 ,11 ,2 ,20 ,0 ,0 ,0 ,0 ,12 ,8 ,2 ,1 
小金井市／300m2未満,7 ,6 ,2 ,19 ,1 ,3 ,0 ,0 ,8 ,5 ,2 ,1 
小金井市／500m2未満,7 ,6 ,3 ,33 ,1 ,3 ,0 ,0 ,8 ,5 ,3 ,1 
小金井市／1000m2未満,1 ,1 ,1 ,8 ,4 ,11 ,2 ,1 ,5 ,3 ,3 ,1 
小金井市／2000m2未満,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小金井市／5000m2未満,0 ,0 ,0 ,0 ,4 ,11 ,10 ,5 ,4 ,3 ,10 ,4 
小金井市／10000m2未満,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小金井市／10000m2以上,0 ,0 ,0 ,0 ,4 ,11 ,202 ,94 ,4 ,3 ,202 ,90 
小金井市／計,112 ,100 ,9 ,100 ,38 ,100 ,215 ,100 ,150 ,100 ,223 ,100 
小平市／100m2未満,199 ,60 ,5 ,3 ,38 ,31 ,20 ,2 ,237 ,52 ,25 ,2 
小平市／200m2未満,28 ,8 ,4 ,3 ,13 ,10 ,47 ,5 ,41 ,9 ,51 ,5 
小平市／300m2未満,23 ,7 ,7 ,5 ,12 ,10 ,48 ,5 ,35 ,8 ,55 ,5 
小平市／500m2未満,26 ,8 ,12 ,9 ,16 ,13 ,63 ,7 ,42 ,9 ,75 ,7 
小平市／1000m2未満,34 ,10 ,25 ,18 ,14 ,11 ,118 ,13 ,48 ,11 ,143 ,14 
小平市／2000m2未満,15 ,5 ,29 ,21 ,9 ,7 ,170 ,19 ,24 ,5 ,198 ,19 
小平市／5000m2未満,4 ,1 ,27 ,20 ,13 ,10 ,261 ,29 ,17 ,4 ,289 ,28 
小平市／10000m2未満,1 ,0 ,16 ,12 ,5 ,4 ,93 ,10 ,6 ,1 ,109 ,10 
小平市／10000m2以上,1 ,0 ,11 ,8 ,4 ,3 ,88 ,10 ,5 ,1 ,99 ,9 
小平市／計,331 ,100 ,135 ,100 ,124 ,100 ,908 ,100 ,455 ,100 ,1043 ,100 
日野市／100m2未満,361 ,32 ,18 ,4 ,60 ,38 ,2 ,0 ,421 ,32 ,20 ,2 
日野市／200m2未満,248 ,22 ,45 ,9 ,29 ,18 ,7 ,1 ,277 ,21 ,52 ,4 
日野市／300m2未満,169 ,15 ,53 ,11 ,13 ,8 ,4 ,1 ,182 ,14 ,57 ,5 
日野市／500m2未満,178 ,16 ,107 ,21 ,18 ,11 ,11 ,2 ,196 ,15 ,118 ,10 
日野市／1000m2未満,147 ,13 ,168 ,33 ,19 ,12 ,21 ,3 ,166 ,13 ,188 ,16 
日野市／2000m2未満,34 ,3 ,69 ,14 ,8 ,5 ,36 ,5 ,42 ,3 ,106 ,9 
日野市／5000m2未満,9 ,1 ,45 ,9 ,6 ,4 ,48 ,7 ,15 ,1 ,93 ,8 
日野市／10000m2未満,0 ,0 ,0 ,0 ,3 ,2 ,196 ,29 ,3 ,0 ,196 ,16 
日野市／10000m2以上,0 ,0 ,0 ,0 ,3 ,2 ,361 ,53 ,3 ,0 ,361 ,30 
日野市／計,1146 ,100 ,506 ,100 ,159 ,100 ,685 ,100 ,1305 ,100 ,1191 ,100 
東村山市／100m2未満,120 ,31 ,3 ,2 ,10 ,23 ,0 ,0 ,130 ,30 ,4 ,1 
東村山市／200m2未満,68 ,17 ,11 ,5 ,7 ,16 ,1 ,0 ,75 ,17 ,12 ,2 
東村山市／300m2未満,45 ,12 ,11 ,5 ,2 ,5 ,0 ,0 ,47 ,11 ,11 ,2 
東村山市／500m2未満,38 ,10 ,15 ,7 ,3 ,7 ,1 ,0 ,41 ,9 ,16 ,3 
東村山市／1000m2未満,57 ,15 ,43 ,20 ,7 ,16 ,5 ,1 ,64 ,15 ,48 ,8 
東村山市／2000m2未満,33 ,8 ,47 ,22 ,7 ,16 ,10 ,2 ,40 ,9 ,57 ,9 
東村山市／5000m2未満,27 ,7 ,76 ,35 ,4 ,9 ,11 ,3 ,31 ,7 ,87 ,14 
東村山市／10000m2未満,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
東村山市／10000m2以上,1 ,0 ,10 ,5 ,3 ,7 ,366 ,93 ,4 ,1 ,376 ,62 
東村山市／計,389 ,100 ,217 ,100 ,43 ,100 ,395 ,100 ,432 ,100 ,612 ,100 
国分寺市／100m2未満,43 ,46 ,1 ,4 ,9 ,36 ,0 ,0 ,52 ,44 ,2 ,1 
国分寺市／200m2未満,14 ,15 ,2 ,6 ,5 ,20 ,1 ,0 ,19 ,16 ,3 ,1 
国分寺市／300m2未満,5 ,5 ,1 ,3 ,1 ,4 ,0 ,0 ,6 ,5 ,1 ,1 
国分寺市／500m2未満,11 ,12 ,5 ,11 ,2 ,8 ,1 ,0 ,13 ,11 ,5 ,2 
国分寺市／1000m2未満,13 ,14 ,9 ,22 ,0 ,0 ,0 ,0 ,13 ,11 ,9 ,3 
国分寺市／2000m2未満,4 ,4 ,5 ,13 ,1 ,4 ,1 ,0 ,5 ,4 ,6 ,2 
国分寺市／5000m2未満,3 ,3 ,11 ,28 ,3 ,12 ,10 ,5 ,6 ,5 ,21 ,8 
国分寺市／10000m2未満,1 ,1 ,6 ,14 ,1 ,4 ,9 ,4 ,2 ,2 ,14 ,6 
国分寺市／10000m2以上,0 ,0 ,0 ,0 ,3 ,12 ,191 ,90 ,3 ,3 ,191 ,75 
