区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),198,84,23,8,7,2,0,0,0,0,0,322
千代田区／面積(m2),4729,5804,2781,1355,1828,888,0,0,0,0,0,17385
中央区／件数(件),334,85,21,9,0,1,1,0,0,0,0,451
中央区／面積(m2),7426,5897,2533,1485,0,324,715,0,0,0,0,18380
港区／件数(件),426,189,83,35,23,8,2,1,0,0,0,767
港区／面積(m2),8226,13340,9872,5805,5500,2648,1039,1033,0,0,0,47463
新宿区／件数(件),826,460,208,108,91,23,9,2,0,0,0,1727
新宿区／面積(m2),15839,32801,25249,18511,21890,8705,5708,2990,0,0,0,131693
文京区／件数(件),636,354,131,77,46,26,3,0,2,0,0,1275
文京区／面積(m2),12262,25523,15942,13078,10856,9062,2136,0,4561,0,0,93420
台東区／件数(件),562,378,118,50,12,7,9,2,0,0,0,1138
台東区／面積(m2),14157,26880,14180,8475,2878,2553,5926,3035,0,0,0,78084
墨田区／件数(件),803,421,148,80,53,24,9,2,0,0,0,1540
墨田区／面積(m2),16369,29912,17992,13678,12792,9361,6574,2613,0,0,0,109291
江東区／件数(件),813,409,152,69,52,25,12,0,0,0,0,1532
江東区／面積(m2),17216,28866,18588,11737,12326,8889,7380,0,0,0,0,105002
品川区／件数(件),919,621,220,118,91,30,11,2,0,0,0,2012
品川区／面積(m2),18324,44730,26179,20294,21597,11357,6460,2041,0,0,0,150982
目黒区／件数(件),668,445,242,134,99,55,12,3,0,0,0,1658
目黒区／面積(m2),12126,32358,29799,23022,23798,20039,7687,4266,0,0,0,153095
大田区／件数(件),1585,1032,605,332,242,142,43,3,0,0,0,3984
大田区／面積(m2),29691,74104,73495,57254,58945,52589,26798,3358,0,0,0,376234
世田谷区／件数(件),2445,1365,968,582,462,272,110,33,1,0,0,6238
世田谷区／面積(m2),43829,99853,117855,99799,111242,102794,72749,45935,2821,0,0,696877
渋谷区／件数(件),606,308,125,86,43,26,7,0,0,0,0,1201
渋谷区／面積(m2),11604,22291,14860,14879,10343,9543,4091,0,0,0,0,87611
中野区／件数(件),955,572,323,176,133,55,18,3,1,0,0,2236
中野区／面積(m2),18723,41089,39425,30511,30982,20234,11468,4519,3114,0,0,200065
杉並区／件数(件),2021,1074,716,425,322,169,62,6,2,0,0,4797
杉並区／面積(m2),37099,78870,87013,72748,77217,63641,39659,7921,4849,0,0,469017
豊島区／件数(件),725,456,212,109,62,42,8,2,0,0,0,1616
豊島区／面積(m2),14149,33193,25562,18556,14838,15894,5224,2877,0,0,0,130293
北区／件数(件),1035,532,246,110,77,52,26,3,1,0,0,2082
北区／面積(m2),20219,37953,29461,18807,18332,19649,17610,4090,2406,0,0,168527
荒川区／件数(件),829,288,120,67,44,22,12,4,0,0,0,1386
荒川区／面積(m2),15577,20597,14422,11449,10570,8223,7964,5370,0,0,0,94172
板橋区／件数(件),1539,879,426,223,199,99,51,11,2,0,0,3429
板橋区／面積(m2),28588,63253,51528,38279,48247,37640,34904,12574,5217,0,0,320230
練馬区／件数(件),2836,1379,886,471,374,253,151,54,7,0,0,6411
練馬区／面積(m2),48586,101197,106604,81324,90010,95516,104458,76484,19894,0,0,724073
足立区／件数(件),2133,1103,587,264,264,256,156,25,2,0,0,4790
足立区／面積(m2),40231,78484,70395,45460,64004,97391,106479,34249,6034,0,0,542727
葛飾区／件数(件),1533,784,385,209,182,145,76,8,1,0,0,3323
葛飾区／面積(m2),30140,56460,46650,35928,43813,55519,49268,10360,2311,0,0,330449
江戸川区／件数(件),1922,1082,470,265,254,236,141,17,1,0,0,4388
江戸川区／面積(m2),38680,77230,57317,45652,61233,90903,93023,20563,2367,0,0,486968
合計／件数(件),26349,14300,7415,4007,3132,1970,929,181,20,0,0,58303
合計／面積(m2),503790,1030685,897702,688086,753241,743362,617320,244278,53574,0,0,5532038
