順位,標準地番号,都道府県,標準地の所在地,価　　格,変動率
1,中央－５－２２,東京都,中央区銀座４丁目２番４,"57,700,000 ",0.9 
2,中央－５－４１,東京都,中央区銀座５丁目１０３番１６,"49,700,000 ",1.2 
3,中央－５－２９,東京都,中央区銀座２丁目２番１９外,"43,300,000 ",1.6 
4,中央－５－２３,東京都,中央区銀座７丁目１番２外,"42,700,000 ",1.7 
4,新宿－５－３５,東京都,新宿区新宿３丁目８０７番１外,"37,900,000 ",5.3 
6,千代田－５－２,東京都,千代田区丸の内２丁目２番１外,"37,600,000 ",2.2 
7,新宿－５－２４,東京都,新宿区新宿３丁目３０番１３外,"36,800,000 ",4.5 
8,中央－５－２,東京都,中央区銀座６丁目４番１３外,"32,200,000 ",3.2 
9,中央－５－１８,東京都,中央区銀座４丁目１０３番１外,"31,000,000 ",5.1 
10,千代田－５－２１,東京都,千代田区大手町２丁目４番２外,"29,400,000 ",3.2 
