区市名,合計／個人（千m2）,合計／法人（千m2）,合計／合計（千m2）,宅地／個人（千m2）,宅地／法人（千m2）,宅地／合計（千m2）,農地／個人（千m2）,農地／法人（千m2）,農地／合計（千m2）,山林／個人（千m2）,山林／法人（千m2）,山林／合計（千m2）,その他／個人（千m2）,その他／法人（千m2）,その他／合計（千m2）
千代田区,1093,2977,4070,1093,2567,3661,0,0,0,0,0,0,0,410,410
中央区,1525,2412,3936,1525,2404,3929,0,0,0,0,0,0,0,7,7
港区,3911,6098,10008,3910,5391,9301,0,0,0,0,0,0,0,707,707
新宿区,6446,3741,10187,6445,3441,9886,0,0,0,0,0,0,1,301,302
文京区,4197,1756,5953,4197,1685,5882,0,0,0,0,0,0,0,71,71
台東区,2914,1889,4803,2914,1621,4535,0,0,0,0,0,0,0,268,268
墨田区,4793,2302,7096,4793,2057,6851,0,0,0,0,0,0,0,245,245
江東区,6392,9219,15611,6392,8563,14956,0,0,0,0,0,0,0,655,655
品川区,7504,6152,13657,7504,4032,11537,0,0,0,0,0,0,0,2120,2120
目黒区,7216,2057,9273,7184,1925,9108,26,0,26,5,0,5,2,132,134
大田区,18269,7527,25796,18234,6802,25036,28,2,29,5,6,10,2,718,720
世田谷区,30220,6617,36837,29157,5663,34820,994,2,996,35,19,54,35,933,968
渋谷区,5273,3205,8478,5272,2846,8118,0,0,0,0,0,0,0,360,360
中野区,8514,1853,10366,8484,1590,10074,28,0,28,0,1,1,2,261,263
杉並区,19344,3054,22398,18951,2668,21618,372,0,373,12,3,15,9,383,392
豊島区,6077,2106,8183,6077,1730,7808,0,0,0,0,0,0,0,376,376
北区,6849,3627,10476,6841,2729,9570,3,0,3,5,2,7,0,896,896
荒川区,4131,1761,5892,4131,1268,5398,0,0,0,0,0,0,0,493,493
板橋区,14001,4508,18509,13818,4261,18079,156,1,156,20,4,24,8,242,250
練馬区,27580,3517,31097,25460,2983,28444,2042,0,2043,30,4,34,47,529,577
足立区,22644,5864,28508,22122,5191,27313,508,0,508,0,0,0,14,673,687
葛飾区,14189,3235,17424,13849,2735,16584,334,0,334,0,0,0,7,499,506
江戸川区,19181,4888,24069,18693,4643,23337,462,0,463,0,0,0,25,244,269
区部計,242263,90364,332627,237047,78797,315844,4952,6,4958,111,40,151,153,11521,11674
八王子市,63194,27244,90438,30778,7336,38114,8063,81,8145,18843,12814,31657,5508,7014,12522
立川市,10441,3455,13897,7829,2973,10802,2553,3,2556,26,0,26,33,480,513
武蔵野市,5426,1353,6779,5120,1193,6313,285,0,285,0,0,0,21,160,181
三鷹市,8763,1545,10309,7257,1388,8645,1470,0,1471,14,65,79,22,92,114
青梅市,41483,18880,60362,10451,2145,12597,4447,45,4493,23998,10229,34227,2587,6460,9046
府中市,11130,4001,15131,9824,3128,12951,1240,3,1244,0,0,0,66,870,936
昭島市,5878,3229,9107,5198,2379,7577,624,2,626,40,144,185,16,704,719
調布市,9889,2124,12012,8399,1819,10218,1365,4,1369,21,4,25,103,297,400
町田市,34427,7508,41934,24012,4259,28272,5192,56,5248,4323,1268,5591,899,1925,2824
小金井市,5793,880,6672,5093,638,5731,675,4,680,16,23,39,8,215,223
小平市,10466,2675,13141,8516,1740,10257,1802,6,1809,12,2,14,135,927,1062
日野市,11170,3274,14444,8767,2473,11241,1481,11,1492,432,114,547,490,675,1165
東村山市,8594,1343,9936,6780,909,7689,1508,4,1511,95,18,113,211,411,622
国分寺市,6750,1323,8073,5267,1114,6381,1403,1,1404,38,0,38,42,208,251
国立市,3944,838,4782,3385,751,4136,530,1,530,12,0,12,17,86,103
福生市,3264,632,3896,3117,503,3619,119,1,120,14,0,14,14,128,142
狛江市,3571,405,3976,3075,344,3419,378,2,380,5,3,8,113,56,169
東大和市,5248,803,6051,4454,708,5162,609,0,609,161,28,188,24,67,91
清瀬市,5107,792,5899,3033,584,3618,1883,1,1884,62,19,81,128,188,316
東久留米市,7200,1262,8463,5548,1139,6687,1544,1,1545,41,11,52,67,112,179
武蔵村山市,7269,1623,8893,4547,872,5418,1837,1,1838,392,79,471,495,671,1166
多摩市,6714,3414,10127,5963,2154,8117,401,4,405,91,212,303,259,1044,1302
稲城市,5943,3430,9373,3875,1005,4880,1329,4,1333,559,589,1148,180,1832,2011
羽村市,4162,1916,6078,3614,1826,5440,394,1,395,79,16,95,75,74,149
あきる野市,31168,6620,37788,7431,878,8309,5295,68,5364,15449,3044,18493,2992,2629,5622
西東京市,9086,1348,10434,7694,1144,8838,1309,0,1309,6,1,7,77,203,280
市部計,326079,101916,427995,199031,45399,244430,47737,306,48043,64731,28683,93414,14581,27528,42109
合計,568342,192280,760622,436078,124196,560273,52688,312,53000,64842,28723,93565,14734,39049,53783
