区分,合計,宅地（ha）,宅地／構成比（％）,農地（ha）,農地／構成比（％）,山林（ha）,山林／構成比（％）,その他（ha）,その他／構成比（％）,,,,
昭30,37000 ,23231 ,62.8,11836 ,32.0,800,2.2,1133 ,3.1,,,,
昭35,37338 ,25278 ,67.7,10277 ,27.5,685,1.8,1097 ,2.9,,,,
昭40,36282 ,26793 ,73.8,7681 ,21.2,618,1.7,1190 ,3.3,,,,
昭45,35526 ,27920 ,78.6,5301 ,14.9,484,1.4,1822 ,5.1,,,,
昭50,34774 ,29734 ,85.5,3195 ,9.2,373,1.1,1472 ,4.2,,,,
昭55,34478 ,30634 ,88.9,2467 ,7.2,282,0.8,1096 ,3.2,,,,
昭60,33877 ,30930 ,91.3,2009 ,5.9,120,0.4,818 ,2.4,,,,
平2,34445 ,31292 ,90.8,1668 ,4.8,65,0.2,1421 ,4.1,,,,
平7,34020 ,31411 ,92.3,1221 ,3.6,48,0.1,1340 ,3.9,,,,
平8,33920 ,31375 ,92.5,1156 ,3.4,45,0.1,1344 ,4.0,,,,
平9,33762 ,31262 ,92.6,1112 ,3.3,43,0.1,1345 ,4.0,,,,
平10,33712 ,31266 ,92.7,1071 ,3.2,40,0.1,1335 ,4.0,,,,
平11,33643 ,31259 ,92.9,1026 ,3.0,34,0.1,1325 ,3.9,,,,
平12,33646 ,31313 ,93.1,999 ,3.0,33,0.1,1301 ,3.9,,,,
平13,33566 ,31319 ,93.3,928 ,2.8,31,0.1,1289 ,3.8,,,,
平14,33535 ,31394 ,93.6,839 ,2.5,28,0.1,1275 ,3.8,,,,
平15,33509 ,31419 ,93.8,814 ,2.4,27,0.1,1248 ,3.7,,,,
平16,33529 ,31479 ,93.9,782 ,2.3,25,0.1,1243 ,3.7,,,,
平17,33525 ,31524 ,94.0,762 ,2.3,25,0.1,1215 ,3.6,,,,
平18,33527 ,31556 ,94.1,739 ,2.2,24,0.1,1208 ,3.6,,,,
平19,33489 ,31563 ,94.2,716 ,2.1,22,0.1,1187 ,3.5,,,,
平20,33406 ,31486 ,94.3,693 ,2.1,21,0.1,1206 ,3.6,,,,
平21,33380 ,31484 ,94.3,675 ,2.0,20,0.1,1201 ,3.6,,,,
平22,33357 ,31489 ,94.4,654 ,1.9,20,0.1,1194 ,3.6,,,,
平23,33318 ,31497 ,94.5,615 ,1.8,19,0.1,1187 ,3.6,,,,
平24,33313 ,31509 ,94.6,600 ,1.8,19,0.1,1184 ,3.5,,,,
平25,33305 ,31530 ,94.7,580 ,1.7,19,0.1,1176 ,3.5,,,,
平26,33300 ,31547 ,94.7,562 ,1.7,18,0.1,1174 ,3.5,,,,
平27,33278 ,31542 ,94.8,545 ,1.6,17,0.1,1174 ,3.5,,,,
平28,33278 ,31562 ,94.8,530 ,1.6,16,0.0,1170 ,3.5,,,,
平29,33270 ,31570 ,94.9,515 ,1.5,16,0.0,1169 ,3.5,,,,

