区市町村名,住宅地,商業地,工業地,全用途平均
千代田区,"2,960.0","5,352.4",―,"5,053.3"
中央区,"1,204.0","6,165.2",―,"5,525.0"
港区,"1,938.0","5,410.4",564.0,"4,369.1"
新宿区,733.9,"4,905.1",―,"3,684.3"
文京区,942.3,"1,549.1",―,"1,313.1"
台東区,705.0,"1,602.2",―,"1,533.2"
墨田区,426.2,674.5,―,609.2
江東区,512.9,834.6,366.5,633.1
品川区,791.2,"1,176.3",―,992.1
目黒区,825.1,"1,650.6",―,"1,186.3"
大田区,464.5,767.4,388.0,578.0
世田谷区,609.6,"1,049.6",―,725.0
渋谷区,"1,166.5","5,621.7",―,"4,030.5"
中野区,576.0,"1,280.4",―,911.4
杉並区,567.7,964.6,―,710.2
豊島区,647.2,"2,491.5",―,"1,737.0"
北区,495.8,985.1,329.0,701.3
荒川区,552.7,786.4,―,686.2
板橋区,429.8,728.5,―,551.1
練馬区,373.5,714.3,―,457.0
足立区,325.1,563.4,257.0,421.0
葛飾区,315.0,556.3,222.0,378.3
江戸川区,351.4,664.2,―,445.2
区部,600.1,"2,637.2",360.1,"1,616.0"
八王子市,123.0,372.9,158.0,163.2
立川市,249.3,"1,697.0",―,663.0
武蔵野市,502.0,"2,133.9",―,"1,263.5"
三鷹市,392.3,"1,484.3",―,597.1
青梅市,86.4,171.0,82.3,101.4
府中市,289.9,541.6,―,357.7
昭島市,177.2,315.7,149.0,204.9
調布市,339.8,654.2,―,414.7
町田市,148.4,561.5,―,232.5
小金井市,341.1,"1,027.0",―,465.8
小平市,236.4,320.0,―,249.6
日野市,193.3,318.0,―,212.9
東村山市,187.8,355.7,―,221.4
国分寺市,269.0,"1,165.0",―,431.9
国立市,329.5,385.0,―,337.4
福生市,161.6,220.7,―,183.8
狛江市,323.4,409.0,―,337.7
東大和市,164.9,187.5,―,168.7
清瀬市,192.7,443.0,―,234.4
東久留米市,192.2,373.0,―,220.0
武蔵村山市,114.7,138.5,―,119.0
多摩市,175.4,372.2,―,234.5
稲城市,228.3,303.3,―,242.4
羽村市,141.0,229.0,91.6,156.8
あきる野市,82.7,131.0,―,90.1
西東京市,276.1,530.5,―,332.7
市部,203.5,648.1,112.6,294.9
瑞穂町,96.6,126.0,61.0,95.8
日の出町,59.3,―,―,59.3
檜原村,19.5,―,―,19.5
奥多摩町,25.7,32.2,―,28.9
西多摩郡,61.8,63.4,61.0,62.0
大島町,6.9,21.2,―,12.6
新島村,6.2,9.7,―,7.3
神津島村,6.9,9.7,―,7.8
三宅村,7.2,12.4,―,8.9
八丈町,8.9,18.9,―,13.9
小笠原村,20.3,62.0,―,27.2
島しょ,11.3,21.7,―,14.8
東　京　都,378.1,"2,145.6",250.4,"1,042.5"
