区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
千代田区／50m2未満,1172,24,43,8,276,8,9,0,1448,18,52,2
千代田区／100m2未満,1876,39,136,24,682,20,51,2,2558,31,187,6
千代田区／150m2未満,788,16,96,17,523,15,64,3,1311,16,160,5
千代田区／200m2未満,366,8,63,11,367,11,64,2,733,9,127,4
千代田区／300m2未満,296,6,72,13,415,12,102,4,711,9,174,6
千代田区／500m2未満,199,4,75,13,417,12,161,6,616,8,235,8
千代田区／1000m2未満,92,2,61,11,323,9,225,9,415,5,286,9
千代田区／2000m2未満,10,0,13,2,199,6,284,11,209,3,297,10
千代田区／5000m2未満,1,0,5,1,120,4,356,14,121,1,361,12
千代田区／10000m2未満,0,0,0,0,44,1,307,12,44,1,307,10
千代田区／10000m2以上,0,0,0,0,37,1,932,36,37,0,932,30
千代田区／計,4800,100,562,100,3403,100,2555,100,8203,100,3118,100
中央区／50m2未満,3054,40,109,16,448,10,15,1,3502,29,123,4
中央区／100m2未満,2791,37,197,29,981,22,74,3,3772,31,271,9
中央区／150m2未満,908,12,109,16,696,16,85,4,1604,13,194,6
中央区／200m2未満,348,5,60,9,458,10,79,3,806,7,139,5
中央区／300m2未満,300,4,72,11,554,12,135,6,854,7,207,7
中央区／500m2未満,135,2,51,7,543,12,206,9,678,6,257,8
中央区／1000m2未満,60,1,38,6,393,9,276,12,453,4,314,10
中央区／2000m2未満,12,0,15,2,198,4,268,11,210,2,284,9
中央区／5000m2未満,2,0,6,1,97,2,292,12,99,1,298,10
中央区／10000m2未満,0,0,0,0,36,1,251,11,36,0,251,8
中央区／10000m2以上,2,0,22,3,29,1,695,29,31,0,717,23
中央区／計,7612,100,679,100,4433,100,2376,100,12045,100,3055,100
港区／50m2未満,1981,15,72,4,382,7,11,0,2363,13,83,1
港区／100m2未満,4580,36,334,18,847,16,64,1,5427,30,398,5
港区／150m2未満,2546,20,310,17,763,14,94,2,3309,18,404,6
港区／200m2未満,1414,11,243,13,593,11,104,2,2007,11,347,5
港区／300m2未満,1188,9,286,15,716,13,177,3,1904,10,463,6
港区／500m2未満,768,6,290,15,755,14,292,5,1523,8,581,8
港区／1000m2未満,261,2,175,9,634,12,446,8,895,5,621,9
港区／2000m2未満,70,1,92,5,334,6,462,9,404,2,554,8
港区／5000m2未満,10,0,31,2,224,4,677,13,234,1,708,10
港区／10000m2未満,2,0,16,1,102,2,722,13,104,1,738,10
港区／10000m2以上,1,0,23,1,77,1,2342,43,78,0,2366,33
港区／計,12821,100,1873,100,5427,100,5392,100,18248,100,7265,100
新宿区／50m2未満,4740,14,170,4,530,9,15,0,5270,14,185,2
新宿区／100m2未満,12241,37,891,19,968,17,74,2,13209,34,965,12
新宿区／150m2未満,6298,19,766,16,901,16,111,3,7199,19,877,11
新宿区／200m2未満,3646,11,629,13,626,11,109,3,4272,11,738,9
新宿区／300m2未満,3051,9,738,16,817,14,199,6,3868,10,937,11
新宿区／500m2未満,1911,6,714,15,798,14,308,9,2709,7,1022,12
新宿区／1000m2未満,654,2,430,9,606,10,420,12,1260,3,850,10
新宿区／2000m2未満,135,0,178,4,304,5,419,12,439,1,597,7
新宿区／5000m2未満,39,0,117,2,165,3,488,14,204,1,605,7
新宿区／10000m2未満,8,0,57,1,43,1,297,8,51,0,354,4
新宿区／10000m2以上,1,0,11,0,39,1,1061,30,40,0,1072,13
新宿区／計,32724,100,4702,100,5797,100,3501,100,38521,100,8203,100
文京区／50m2未満,4636,18,170,5,305,10,9,1,4941,17,180,4
文京区／100m2未満,10262,40,740,23,482,16,37,2,10744,37,776,16
文京区／150m2未満,4862,19,591,18,459,16,56,3,5321,18,647,13
文京区／200m2未満,2466,10,425,13,367,12,64,4,2833,10,489,10
文京区／300m2未満,2005,8,484,15,401,14,99,6,2406,8,582,12
文京区／500m2未満,1222,5,458,14,391,13,150,9,1613,6,608,12
文京区／1000m2未満,400,2,258,8,277,9,189,11,677,2,448,9
文京区／2000m2未満,62,0,80,2,149,5,207,12,211,1,287,6
文京区／5000m2未満,10,0,27,1,86,3,267,16,96,0,295,6
文京区／10000m2未満,3,0,18,1,21,1,137,8,24,0,155,3
文京区／10000m2以上,0,0,0,0,18,1,474,28,18,0,474,10
文京区／計,25928,100,3252,100,2956,100,1689,100,28884,100,4941,100
台東区／50m2未満,5914,27,215,9,528,11,17,1,6442,24,232,6
台東区／100m2未満,9141,41,656,28,1081,23,82,5,10222,38,738,18
台東区／150m2未満,3574,16,432,18,858,18,105,6,4432,16,537,13
台東区／200m2未満,1569,7,269,11,565,12,98,6,2134,8,367,9
台東区／300m2未満,1134,5,273,12,620,13,151,9,1754,6,424,11
台東区／500m2未満,588,3,219,9,524,11,202,12,1112,4,421,10
台東区／1000m2未満,252,1,167,7,364,8,255,15,616,2,422,10
台東区／2000m2未満,52,0,70,3,140,3,196,12,192,1,266,7
台東区／5000m2未満,12,0,31,1,69,1,207,12,81,0,238,6
