区市名,合計／個人(千m2),合計／法人(千m2),合計／合計(千m2),宅地／個人(千m2),宅地／法人(千m2),宅地／合計(千m2),農地／個人(千m2),農地／法人(千m2),農地／合計(千m2),山林／個人(千m2),山林／法人(千m2),山林／合計(千m2),その他／個人(千m2),その他／法人(千m2),その他／合計(千m2)
千代田区,1095,2966,4060,1095,2558,3652,0,0,0,0,0,0,0,408,408
中央区,1561,2384,3945,1561,2376,3938,0,0,0,0,0,0,0,7,7
港区,3936,6081,10017,3936,5374,9309,0,0,0,0,0,0,0,708,708
新宿区,6354,3820,10173,6353,3517,9870,0,0,0,0,0,0,1,302,303
文京区,4184,1760,5944,4184,1690,5873,0,0,0,0,0,0,0,71,71
台東区,2853,1950,4802,2853,1681,4534,0,0,0,0,0,0,0,268,268
墨田区,4717,2375,7091,4717,2129,6845,0,0,0,0,0,0,0,246,246
江東区,6442,9164,15606,6442,8499,14941,0,0,0,0,0,0,0,665,665
品川区,7496,6129,13625,7496,4023,11520,0,0,0,0,0,0,0,2106,2106
目黒区,7135,2143,9278,7105,2009,9114,24,1,25,5,0,5,2,132,134
大田区,18118,7663,25780,18084,6934,25018,26,2,28,5,6,11,2,722,724
世田谷区,30056,6690,36745,29083,5983,35066,919,0,919,30,20,50,24,687,711
渋谷区,5225,3258,8483,5225,2899,8124,0,0,0,0,0,0,0,359,359
中野区,8431,1926,10357,8409,1663,10072,22,0,22,0,1,1,0,262,262
杉並区,19189,3189,22378,18825,2823,21648,349,0,349,9,3,12,6,363,369
豊島区,5972,2198,8170,5972,1822,7794,0,0,0,0,0,0,0,376,376
北区,6820,3633,10452,6813,2736,9549,3,0,3,4,3,7,0,894,894
荒川区,4069,1798,5867,4069,1305,5374,0,0,0,0,0,0,0,493,493
板橋区,13865,4619,18484,13702,4369,18071,138,0,138,16,5,21,8,245,254
練馬区,27357,3661,31018,25380,3148,28528,1898,1,1899,27,3,30,52,509,561
足立区,22402,6084,28486,21931,5412,27343,456,1,457,0,0,0,14,672,686
葛飾区,14042,3352,17394,13720,2853,16573,312,1,313,0,0,0,10,498,508
江戸川区,19014,5020,24034,18554,4770,23325,432,1,433,0,0,0,27,249,276
区部計,240332,91860,332192,235509,80571,316080,4579,6,4585,96,41,137,147,11242,11389
八王子市,62896,27569,90465,31035,7600,38635,7722,92,7814,18733,13116,31849,5405,6762,12167
立川市,10394,3512,13906,7875,3017,10893,2460,1,2461,24,2,26,35,491,526
武蔵野市,5398,1383,6781,5110,1220,6330,261,0,261,0,0,0,28,163,190
三鷹市,8748,1553,10302,7307,1395,8702,1413,1,1415,14,65,78,15,92,106
青梅市,41221,19154,60375,10482,2217,12699,4371,64,4435,23866,10359,34226,2502,6514,9016
府中市,11098,4044,15142,9874,3162,13036,1165,6,1171,0,0,0,59,875,934
昭島市,5857,3310,9167,5210,2479,7689,593,1,593,39,163,202,16,667,683
調布市,9862,2095,11957,8491,1812,10303,1189,2,1191,19,4,22,163,277,440
町田市,34263,7529,41792,24236,4305,28540,4953,57,5009,4209,1260,5470,865,1908,2773
小金井市,5765,892,6657,5122,656,5778,621,4,626,15,41,56,6,191,197
小平市,10410,2657,13067,8571,1752,10323,1707,6,1713,13,1,13,120,898,1018
日野市,11103,3290,14394,8875,2495,11370,1348,8,1355,425,113,538,455,674,1130
東村山市,8534,1372,9906,6847,949,7796,1405,3,1408,84,19,102,199,401,600
国分寺市,6715,1345,8060,5322,1136,6458,1321,5,1326,34,0,35,38,203,241
国立市,3926,844,4770,3386,753,4139,511,2,513,12,0,12,18,88,107
福生市,3242,660,3902,3103,533,3635,112,1,114,14,0,14,12,127,139
狛江市,3472,402,3874,3008,342,3350,357,2,358,5,3,8,103,55,158
東大和市,5232,820,6052,4490,727,5217,556,0,556,158,28,186,28,65,93
清瀬市,5085,808,5893,3107,601,3707,1799,1,1800,50,18,68,129,188,317
東久留米市,7160,1271,8431,5619,1147,6766,1439,2,1442,36,9,45,66,112,178
武蔵村山市,7189,1662,8851,4601,886,5487,1745,1,1746,362,79,442,482,695,1176
多摩市,6716,3447,10163,6003,2194,8197,366,14,380,99,225,324,248,1014,1262
稲城市,5906,3445,9350,4007,1034,5041,1233,2,1234,499,588,1086,167,1821,1988
羽村市,4126,1949,6075,3609,1858,5467,368,1,369,77,16,92,73,74,146
あきる野市,30931,6783,37714,7504,888,8392,5209,59,5268,15347,3076,18423,2870,2761,5631
西東京市,9092,1336,10428,7803,1131,8934,1214,0,1215,5,1,6,70,204,274
市部計,324341,103133,427474,200595,46292,246887,45436,335,45771,64139,29185,93324,14170,27321,41491
合計,564672,194993,759666,436105,126863,562968,50016,341,50357,64236,29226,93461,14317,38563,52880
ｾK衵ﾂ区市町村名,合計面積(千m2),住宅地区／面積(千m2),住宅地区／構成比(%),商業地区／面積(千m2),商業地区／構成比(%),工業地区／面積(千m2),工業地区／構成比(%),その他／面積(千m2),その他／構成比(%)
区部／千代田区,3652,482,13.2,3171,86.8,0,0,0,0
区部／中央区,3938,1360,34.5,2476,62.9,101,2.6,0,0
区部／港区,9309,6084,65.3,3017,32.4,209,2.2,0,0
区部／新宿区,9870,8667,87.8,1196,12.1,7,0.1,0,0
区部／文京区,5873,5112,87,714,12.2,46,0.8,0,0
区部／台東区,4534,2034,44.9,2500,55.1,0,0,0,0
区部／墨田区,6845,5614,82,474,6.9,758,11.1,0,0
区部／江東区,14941,10415,69.7,784,5.2,3743,25.1,0,0
区部／品川区,11520,9360,81.2,795,6.9,1365,11.8,0,0
区部／目黒区,9114,8797,96.5,317,3.5,0,0,0,0
区部／大田区,25018,22416,89.6,315,1.3,2286,9.1,0,0
区部／世田谷区,35066,34836,99.3,230,0.7,0,0,0,0
区部／渋谷区,8124,6856,84.4,1267,15.6,0,0,0,0
区部／中野区,10072,9896,98.3,176,1.7,0,0,0,0
区部／杉並区,21648,21473,99.2,175,0.8,0,0,0,0
区部／豊島区,7794,6877,88.2,917,11.8,0,0,0,0
区部／北区,9549,8821,92.4,203,2.1,525,5.5,0,0
区部／荒川区,5374,4502,83.8,161,3,711,13.2,0,0
区部／板橋区,18071,16599,91.9,152,0.8,1320,7.3,0,0
区部／練馬区,28528,28457,99.8,71,0.2,0,0,0,0
区部／足立区,27343,25510,93.3,352,1.3,1482,5.4,0,0
区部／葛飾区,16573,15646,94.4,381,2.3,546,3.3,0,0
区部／江戸川区,23325,21902,93.9,341,1.5,1082,4.6,0,0
区部計,316080,281715,89.1,20185,6.4,14181,4.5,0,0
市部／八王子市,38635,32130,83.2,596,1.5,1479,3.8,4430,11.5
市部／立川市,10893,9091,83.5,704,6.5,1097,10.1,0,0
市部／武蔵野市,6330,5572,88,581,9.2,177,2.8,0,0
市部／三鷹市,8702,8089,92.9,311,3.6,295,3.4,7,0.1
市部／青梅市,12699,10247,80.7,182,1.4,1196,9.4,1073,8.5
市部／府中市,13036,10659,81.8,298,2.3,2080,16,0,0
市部／昭島市,7689,5935,77.2,539,7,1215,15.8,0,0
市部／調布市,10303,9749,94.6,322,3.1,233,2.3,0,0
市部／町田市,28540,26594,93.2,667,2.3,579,2,700,2.5
市部／小金井市,5778,5583,96.6,188,3.3,6,0.1,0,0
市部／小平市,10323,9369,90.8,256,2.5,698,6.8,0,0
市部／日野市,11370,9457,83.2,107,0.9,1804,15.9,2,0
市部／東村山市,7796,7147,91.7,190,2.4,459,5.9,0,0
市部／国分寺市,6458,6093,94.3,125,1.9,241,3.7,0,0
市部／国立市,4139,3716,89.8,175,4.2,247,6,1,0
市部／福生市,3635,3335,91.7,185,5.1,115,3.2,0,0
市部／狛江市,3350,3174,94.7,176,5.3,0,0,0,0
市部／東大和市,5217,4855,93.1,149,2.9,213,4.1,0,0
市部／清瀬市,3707,3498,94.3,124,3.4,84,2.3,1,0
市部／東久留米市,6766,6177,91.3,321,4.7,212,3.1,56,0.9
市部／武蔵村山市,5487,4371,79.7,337,6.1,778,14.2,0,0
市部／多摩市,8197,7027,85.7,1170,14.3,0,0,0,0
市部／稲城市,5041,4743,94.1,179,3.6,105,2.1,15,0.3
市部／羽村市,5467,3569,65.3,189,3.5,1701,31.1,8,0.1
市部／あきる野市,8392,7038,83.9,99,1.2,394,4.7,862,10.3
市部／西東京市,8934,8509,95.2,264,3,160,1.8,0,0
市部計,246887,215727,87.4,8437,3.4,15569,6.3,7155,2.9
西多摩郡／瑞穂町,5037,2381,47.3,358,7.1,1732,34.4,566,11.2
西多摩郡／日の出町,2486,1360,54.7,110,4.4,189,7.6,827,33.3
西多摩郡／檜原村,418,0,0,0,0,0,0,418,100
西多摩郡／奥多摩町,841,128,15.2,0,0,0,0,713,84.8
西多摩郡計,8782,3869,44.1,468,5.3,1921,21.9,2524,28.7
多摩地域計,255669,219595,85.9,8905,3.5,17490,6.8,9679,3.8
区部･多摩計,571750,501310,87.7,29089,5.1,31672,5.5,9679,1.7
рL0_ﾛ>>飴i筈ﾔｴﾓ,､��ｦLyg�ﾎ柮ﾑkrﾂ�=､�8�G]�済､ﾞ勸aﾁvY鍔�$� ﾜﾃ+Bﾇ*rqﾋTO�ｺSﾙ捜淮�m;�bｮｶ3Wﾃﾂ/���
ｸﾉj6L�ｼwLｭ8�6聽ﾒｷ:箕P�{�
6��Tx/ｵ揄ZｯKﾔHｩ�?ﾉ�ﾂP鋿ﾋ(�"ｬ	ｨ犾ﾖ敦��a4W9ｰﾉﾓv詈X�ﾘM｣$･ﾂﾉﾓｪ�f鮏Wppﾞｾ?,�o?ﾂ饂2>Q眞ﾌﾛv詢jRx斥ﾛHﾐﾂ7ニﾃｭ[ｦJｳﾆgﾟoｸｱMｼ瑩桀M:ｭd4VﾉﾚvfmX�ｷﾂﾗem､ﾔﾂｷ32\ｾhxS､
