区分,平成31年／民有地面積A(千m2),平成31年／区分所有土地B(千m2),平成31年／非区分所有土地C(千m2),平成31年／B/A(%),平成30年／民有地面積D(千m2),平成30年／区分所有土地E(千m2),平成30年／非区分所有土地Ｆ(千m2),平成30年／E/D(%),平成31年－平成30年／民有地面積A－D(千m2),平成31年－平成30年／区分所有土地B－E(千m2),平成31年－平成30年／非区分所有土地C－F(千m2),平成31年－平成30年／B/A-E/D(%)
千代田区,4061,528,3533,13,4070,494,3576,12.1,-9,34,-43,0.9
中央区,3943,827,3116,21,3936,811,3125,20.6,6,16,-9,0.4
港区,10030,2013,8017,20.1,10008,1995,8013,19.9,22,19,4,0.1
新宿区,10189,1658,8531,16.3,10187,1627,8560,16,2,31,-29,0.3
文京区,5950,923,5027,15.5,5953,905,5048,15.2,-2,18,-20,0.3
台東区,4804,494,4309,10.3,4803,484,4320,10.1,0,11,-11,0.2
墨田区,7094,889,6206,12.5,7096,874,6222,12.3,-2,15,-16,0.2
江東区,15616,2508,13108,16.1,15611,2485,13126,15.9,5,23,-19,0.1
品川区,13646,1749,11897,12.8,13657,1693,11964,12.4,-11,56,-67,0.4
目黒区,9293,1060,8232,11.4,9273,1042,8231,11.2,19,18,1,0.2
大田区,25791,2507,23284,9.7,25796,2478,23318,9.6,-5,29,-34,0.1
世田谷区,36813,3834,32979,10.4,36837,3773,33064,10.2,-24,60,-85,0.2
渋谷区,8480,1394,7087,16.4,8478,1385,7093,16.3,2,9,-7,0.1
中野区,10366,968,9398,9.3,10366,939,9428,9.1,0,30,-29,0.3
杉並区,22394,1649,20744,7.4,22398,1637,20761,7.3,-4,12,-16,0.1
豊島区,8171,817,7354,10,8183,808,7376,9.9,-12,9,-21,0.1
北区,10467,894,9573,8.5,10476,847,9629,8.1,-9,47,-55,0.5
荒川区,5884,659,5226,11.2,5892,651,5241,11,-7,8,-15,0.1
板橋区,18489,2257,16231,12.2,18509,2233,16276,12.1,-20,24,-44,0.1
練馬区,31070,2045,29025,6.6,31097,2006,29091,6.4,-27,39,-66,0.1
足立区,28508,1759,26748,6.2,28508,1742,26766,6.1,0,17,-17,0.1
葛飾区,17421,1184,16237,6.8,17424,1171,16253,6.7,-3,13,-16,0.1
江戸川区,24055,1633,22422,6.8,24069,1627,22442,6.8,-14,6,-20,0
区部計,332534,34249,298285,10.3,332627,33706,298921,10.1,-92,544,-636,0.2
