用途,昭和58年,昭和63年,平成5年,平成6年,平成7年,平成8年,平成9年,平成10年,平成11年,平成12年,平成13年,平成14年,平成15年,平成16年,平成17年,平成18年,平成19年,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年
区部／住宅・アパート(千m2),195210,213992,238338,243700,248223,253107,258489,265491,270042,274201,279453,284550,289637,295555,301869,305197,310492,315907,320516,325166,327995,331930,335380,338830,342819,346862,350599,353898,356997,359930,362960
区部／住宅・アパート／割合(%),69.5,68.9,67,66.5,65.8,65.7,65.6,65.8,65.9,66.1,66.3,66.7,66.9,67,67.2,67.6,67.8,67.9,68.1,68.3,68.5,68.6,68.8,69,69.1,69.3,69.5,69.6,69.6,69.7,69.7
区部／事務所・店舗等(千m2),48927,58243,75171,80355,85420,88610,92030,94380,95708,96815,98403,98927,100366,103133,105032,104877,106217,107725,108771,109350,109642,110722,111893,112449,113171,113885,114024,114638,115432,116382,116661
区部／事務所・店舗等／割合(%),17.4,18.8,21.1,21.9,22.7,23,23.4,23.4,23.4,23.3,23.3,23.2,23.2,23.4,23.4,23.2,23.2,23.2,23.1,23,22.9,22.9,23,22.9,22.8,22.8,22.6,22.5,22.5,22.5,22.4
区部／工場・倉庫(千m2),29810,29306,30585,30828,31447,31417,31374,31376,31196,30932,30717,30193,29735,29233,28741,27773,27434,27365,27054,27076,26886,26541,26259,25900,25797,25480,25394,25607,25466,25433,25600
区部／工場・倉庫／割合(%),10.6,9.4,8.6,8.4,8.3,8.2,8,7.8,7.6,7.5,7.3,7.1,6.9,6.6,6.4,6.2,6,5.9,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,5,5,4.9,4.9
区部／その他(千m2),7000,8947,11474,11605,12031,11975,12186,12341,12620,12828,12961,13246,13267,13390,13438,13657,13928,14053,14206,14299,14281,14443,13938,13854,13985,13952,14117,14433,14752,14911,15417
区部／その他／割合(%),2.5,2.9,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,3,3,3,3,3,3,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3
区部／計(千m2),280947,310488,355568,366487,377121,385109,394080,403587,409565,414776,421535,426916,433006,441311,449080,451504,458071,465050,470547,475890,478803,483636,487470,491032,495772,500179,504134,508575,512647,516656,520638
区部／計／割合(%),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
多摩地域／住宅・アパート(千m2),67947,79124,91398,93338,97110,99833,102368,104998,107336,109661,112008,114845,116820,119947,123110,125022,127246,129506,131459,133152,134672,136241,137794,139541,141383,142911,144724,143795,147549,148944,150256
