区名,平成21年／件数(件),平成21年／面積(m2),平成22年／件数(件),平成22年／面積(m2),平成23年／件数(件),平成23年／面積(m2),平成24年／件数(件),平成24年／面積(m2),平成25年／件数(件),平成25年／面積(m2),平成26年／件数(件),平成26年／面積(m2),平成27年／件数(件),平成27年／面積(m2),平成28年／件数(件),平成28年／面積(m2),平成29年／件数(件),平成29年／面積(m2),平成30年／件数(件),平成30年／面積(m2),平成31年／件数(件),平成31年／面積(m2)
国等／千代田区,4,799,1,125,2,748,40,709,8,496,1,869,4,1629,4,283,8,643,5,1385,9,921
国等／中央区,2,1198,1,359,3,4177,23,4050,21,5059,14,1266,4,574,6,1013,1,98,3,1725,58,1522
国等／港区,111,26764,29,2787,28,1064,42,6609,26,17581,30,4728,24,1245,90,18041,116,17663,186,28958,41,1507
国等／新宿区,107,11091,58,6527,101,14133,150,13294,65,9004,69,8460,51,10372,78,9720,73,5236,38,3017,60,2938
国等／文京区,11,2852,10,2069,8,296,13,1563,16,1868,17,1745,14,3236,40,1301,25,2638,17,1030,17,2058
国等／台東区,2,763,5,10346,3,184,12,1478,13,639,7,502,12,1194,17,973,5,383,12,1113,10,925
国等／墨田区,56,1700,16,1463,23,1633,29,971,42,1409,62,2372,76,2548,71,2260,111,4062,97,3756,75,6984
国等／江東区,19,20366,13,3555,21,157685,38,1650,17,882,33,4288,18,22871,33,5228,4,544,5,3750,9,776
国等／品川区,45,5263,37,4313,16,1741,43,11494,23,12221,33,4981,48,6297,98,10001,162,12329,115,7784,148,8312
国等／目黒区,68,6719,28,1442,42,2199,24,2750,54,4038,22,627,55,5037,42,2830,40,3790,46,4384,38,1928
国等／大田区,73,7599,86,9524,70,7192,41,10806,58,5483,53,5489,104,6218,76,7931,41,4444,53,9508,20,2430
国等／世田谷区,125,10159,147,32667,161,20394,204,48315,254,27291,240,52430,358,35282,302,38956,381,53384,337,40066,342,60733
国等／渋谷区,72,5263,45,3850,32,3267,38,4760,21,1529,49,4042,40,8331,37,2041,21,2689,33,5612,14,14736
国等／中野区,27,549,34,15976,34,9316,37,1830,33,10750,48,4063,121,42236,128,5725,121,10604,79,5762,101,4674
国等／杉並区,70,15408,35,56868,22,4686,104,52373,56,45235,57,48875,72,72825,67,27915,19,7507,86,11840,53,29124
国等／豊島区,108,4736,46,3234,45,2143,62,12597,32,8809,31,2090,42,3252,152,9947,190,12470,154,8683,141,8688
国等／北区,23,21625,44,4708,68,8210,72,13973,52,18928,71,8939,84,36193,180,9810,154,24274,156,9998,116,14543
国等／荒川区,12,7747,11,8766,34,1993,44,3483,74,6118,88,6966,99,5465,169,24135,159,11288,121,8958,162,9077
国等／板橋区,28,13504,15,1867,11,816,20,27599,13,14053,22,5043,53,13896,43,4482,58,8805,61,17579,62,3378
