区市名,面積／令和2年(千m2),面積／平成31年(千m2),面積／令和2年－平成31年(千m2)
区部／千代田区,178,183,-5
区部／中央区,306,314,-8
区部／港区,406,417,-11
区部／新宿区,1062,1062,0
区部／文京区,910,907,4
区部／台東区,871,880,-9
区部／墨田区,1141,1135,6
区部／江東区,1222,1214,9
区部／品川区,1536,1526,10
区部／目黒区,1112,1100,12
区部／大田区,3058,3013,45
区部／世田谷区,3547,3491,56
区部／渋谷区,716,717,-1
区部／中野区,1565,1550,15
区部／杉並区,2581,2532,50
区部／豊島区,1218,1215,3
区部／北区,1524,1512,12
区部／荒川区,936,924,12
区部／板橋区,2372,2353,19
区部／練馬区,3370,3344,27
区部／足立区,3817,3767,50
区部／葛飾区,2903,2868,34
区部／江戸川区,3960,3929,31
区部／区部計,40312,39952,360
市部／八王子市,771,772,-2
市部／立川市,487,484,3
市部／武蔵野市,350,349,1
市部／三鷹市,564,564,0
市部／青梅市,260,262,-2
市部／府中市,827,815,12
市部／昭島市,276,273,3
市部／調布市,1205,708,497
市部／町田市,505,505,0
市部／小金井市,389,370,20
市部／小平市,1111,1107,5
市部／日野市,625,622,3
市部／東村山市,554,553,0
市部／国分寺市,443,437,6
市部／国立市,201,198,4
市部／福生市,150,150,0
市部／狛江市,465,463,2
市部／東大和市,246,245,0
市部／清瀬市,175,176,-1
市部／東久留米市,994,990,4
市部／武蔵村山市,206,207,-1
市部／多摩市,796,787,9
市部／稲城市,171,169,2
市部／羽村市,155,155,0
市部／あきる野市,132,133,-1
市部／西東京市,1322,1310,12
市部／市部計,13380,12806,575
区部・市部計,53693,52757,935
