区分,令和3年／民有地面積A(千m2),令和3年／区分所有土地B(千m2),令和3年／非区分所有土地C(千m2),令和3年／B/A(%),令和2年／民有地面積D(千m2),令和2年年／区分所有土地E(千m2),令和2年／非区分所有土地Ｆ(千m2),令和2年／E/D(%),令和3年－令和2年／民有地面積A－D(千m2),令和3年－令和2年／区分所有土地B－E(千m2),令和3年－令和2年／非区分所有土地C－F(千m2),令和3年－令和2年／B/A-E/D(%)
千代田区,4060,542,3519,13.3,4063,538,3526,13.2,-3,4,-7,0.1
中央区,3945,889,3056,22.5,3941,879,3063,22.3,4,11,-7,0.3
港区,10017,2090,7927,20.9,10025,2051,7974,20.5,-7,39,-47,0.4
新宿区,10173,1695,8478,16.7,10180,1676,8504,16.5,-7,19,-26,0.2
文京区,5944,951,4993,16,5947,935,5012,15.7,-3,16,-19,0.3
台東区,4802,524,4278,10.9,4802,511,4292,10.6,0,14,-14,0.3
墨田区,7091,914,6177,12.9,7095,902,6193,12.7,-4,12,-16,0.2
江東区,15606,2643,12963,16.9,15277,2257,13020,14.8,329,386,-58,2.2
品川区,13625,1822,11803,13.4,12767,918,11849,7.2,858,904,-46,6.2
目黒区,9278,1085,8193,11.7,9285,1075,8210,11.6,-7,10,-17,0.1
大田区,25780,2561,23220,9.9,25526,2261,23265,8.9,254,300,-46,1.1
世田谷区,36745,3903,32842,10.6,36788,3873,32914,10.5,-43,30,-72,0.1
渋谷区,8483,1467,7016,17.3,8481,1431,7050,16.9,2,36,-33,0.4
中野区,10357,994,9363,9.6,10363,977,9387,9.4,-6,17,-23,0.2
杉並区,22378,1667,20710,7.5,22401,1656,20745,7.4,-23,12,-35,0.1
豊島区,8170,832,7338,10.2,8177,827,7350,10.1,-7,5,-12,0.1
北区,10452,944,9509,9,10464,927,9536,8.9,-11,16,-28,0.2
荒川区,5867,673,5194,11.5,5876,668,5207,11.4,-9,5,-13,0.1
板橋区,18484,2306,16178,12.5,18486,2275,16211,12.3,-2,31,-32,0.2
練馬区,31018,2050,28968,6.6,31052,2071,28982,6.7,-34,-20,-14,-0.1
足立区,28486,1800,26687,6.3,28502,1774,26728,6.2,-15,26,-41,0.1
葛飾区,17394,1198,16196,6.9,17410,1191,16219,6.8,-16,7,-24,0
江戸川区,24034,1686,22348,7,23826,1451,22375,6.1,207,235,-28,0.9
区部計,332192,35237,296955,10.6,330735,33123,297612,10,1457,2114,-657,0.6
