区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),246,185,51,32,19,15,5,2,0,1,0,556
千代田区／面積(m2),6021,13461,6089,5431,4418,6261,3839,2801,0,9259,0,57580
中央区／件数(件),544,261,85,46,29,9,6,1,0,0,2,983
中央区／面積(m2),12642,18106,10055,7882,7178,3315,3897,1661,0,0,30864,95600
港区／件数(件),716,353,136,97,88,52,17,10,2,1,1,1473
港区／面積(m2),13057,25220,16379,16623,21190,20107,12087,14031,4818,5101,14988,163601
新宿区／件数(件),1476,641,316,156,119,77,23,6,2,0,0,2816
新宿区／面積(m2),21567,46625,38198,26393,28758,28694,16001,8538,5420,0,0,220194
文京区／件数(件),992,460,162,79,63,39,6,4,1,0,0,1806
文京区／面積(m2),19010,32165,20043,13422,14972,14826,3067,5832,4262,0,0,127599
台東区／件数(件),821,612,236,98,60,21,14,0,0,0,0,1862
台東区／面積(m2),21104,43518,28551,16850,14609,7770,9322,0,0,0,0,141724
墨田区／件数(件),1308,635,240,106,89,51,20,5,1,1,0,2456
墨田区／面積(m2),25677,44743,28911,18001,21292,19387,12904,6663,4959,5821,0,188358
江東区／件数(件),1231,626,224,109,79,59,40,10,9,2,3,2392
江東区／面積(m2),24488,44378,26952,18396,19531,21770,26862,14461,26123,12719,61488,297168
品川区／件数(件),1431,635,271,140,132,61,18,5,1,0,0,2694
品川区／面積(m2),25693,45241,32490,23817,31949,22927,13092,7346,2383,0,0,204938
目黒区／件数(件),1015,541,270,162,149,71,35,6,2,0,1,2252
目黒区／面積(m2),15642,39407,32850,27820,35907,25891,23746,7684,6309,0,13121,228377
大田区／件数(件),2672,1358,577,322,201,166,67,29,6,2,2,5402
大田区／面積(m2),49098,96173,69658,55324,48244,61653,46976,40083,18611,13719,42191,541730
世田谷区／件数(件),3671,1806,1050,492,412,259,104,30,11,0,1,7836
世田谷区／面積(m2),63881,131935,125228,84651,98623,96899,70499,39095,31815,0,11893,754519
渋谷区／件数(件),974,451,204,142,119,53,26,4,0,1,0,1974
渋谷区／面積(m2),15818,32663,24218,24287,28458,19041,16769,5191,0,5198,0,171643
中野区／件数(件),1570,784,410,199,139,68,15,7,3,0,0,3195
中野区／面積(m2),27074,56207,49273,33871,33706,24851,9512,8266,9303,0,0,252063
杉並区／件数(件),2762,1230,613,306,259,132,64,15,5,0,0,5386
杉並区／面積(m2),45950,89745,73492,52571,63042,49785,43024,20106,14318,0,0,452033
豊島区／件数(件),1297,591,264,116,91,50,14,1,0,0,0,2424
豊島区／面積(m2),22981,41724,32314,19633,22185,18629,9227,1161,0,0,0,167854
北区／件数(件),1684,723,262,110,85,38,14,7,1,0,1,2925
北区／面積(m2),29668,50706,31400,18855,20374,14236,8861,10030,3200,0,12828,200158
荒川区／件数(件),1153,462,174,76,56,45,24,4,1,0,0,1995
荒川区／面積(m2),22383,32288,20785,13044,13372,17056,16100,4683,2017,0,0,141728
板橋区／件数(件),2219,1266,500,194,197,116,58,12,3,3,0,4568
板橋区／面積(m2),36798,90823,60467,33235,47533,44378,38460,16245,8587,19028,0,395554
練馬区／件数(件),3719,1672,1048,316,280,156,73,38,13,0,1,7316
練馬区／面積(m2),52022,118980,122944,54558,66900,60554,52239,49618,38968,0,11496,628279
足立区／件数(件),4204,2075,682,302,226,168,98,34,6,1,0,7796
足立区／面積(m2),63129,151250,80895,51702,54706,64952,68484,46131,17253,6000,0,604502
葛飾区／件数(件),2781,1364,435,185,148,114,70,14,0,0,0,5111
葛飾区／面積(m2),47160,96975,51126,31639,36502,42684,47468,19269,0,0,0,372823
江戸川区／件数(件),2925,1543,460,215,182,143,124,17,2,1,0,5612
江戸川区／面積(m2),55443,110664,54518,37072,44653,53829,86166,20984,8356,5286,0,476971
合計／件数(件),41411,20274,8670,4000,3222,1963,935,261,69,13,12,80830
合計／面積(m2),716306,1452997,1036836,685077,778102,739495,638602,349879,206702,82131,198869,6884996
